CurrencyName,BuyingRate,CashBuyingRate,SellingRate,CashSellingRate,MiddleRate,PubTime
AED,,167.29,,179.72,173.8,2021.05.29 10:30:00
AED,,167.29,,179.72,173.8,2021.05.29 10:30:00
AED,,167.29,,179.72,173.8,2021.05.29 05:30:00
AED,,167.29,,179.72,173.8,2021.05.29 05:30:00
AED,,167.29,,179.72,173.8,2021.05.29 05:30:00
AED,,167.29,,179.72,173.8,2021.05.29 04:46:20
AED,,167.29,,179.72,173.8,2021.05.29 00:00:05
AED,,167.29,,179.72,173.8,2021.05.28 23:36:51
AED,,167.29,,179.72,173.8,2021.05.28 23:36:51
AED,,167.29,,179.72,173.8,2021.05.28 23:36:51
AED,,167.29,,179.72,173.8,2021.05.28 23:07:15
AED,,167.29,,179.72,173.8,2021.05.28 22:43:05
AED,,167.35,,179.78,173.8,2021.05.28 22:13:15
AED,,167.35,,179.78,173.8,2021.05.28 21:55:33
AED,,167.35,,179.78,173.8,2021.05.28 21:33:51
AED,,167.38,,179.82,173.8,2021.05.28 21:29:53
AED,,167.42,,179.86,173.8,2021.05.28 21:07:56
AED,,167.44,,179.88,173.8,2021.05.28 20:55:26
AED,,167.4,,179.84,173.8,2021.05.28 20:22:00
AED,,167.46,,179.9,173.8,2021.05.28 20:15:55
AED,,167.43,,179.87,173.8,2021.05.28 20:13:36
AED,,167.4,,179.84,173.8,2021.05.28 20:10:29
AED,,167.38,,179.82,173.8,2021.05.28 20:10:19
AED,,167.35,,179.78,173.8,2021.05.28 20:01:20
AED,,167.32,,179.75,173.8,2021.05.28 19:52:08
AED,,167.29,,179.72,173.8,2021.05.28 19:47:02
AED,,167.27,,179.7,173.8,2021.05.28 19:43:05
AED,,167.24,,179.67,173.8,2021.05.28 19:34:17
AED,,167.22,,179.64,173.8,2021.05.28 19:19:38
AED,,167.19,,179.61,173.8,2021.05.28 18:54:14
AED,,167.17,,179.59,173.8,2021.05.28 18:49:27
AED,,167.14,,179.56,173.8,2021.05.28 18:38:49
AED,,167.12,,179.54,173.8,2021.05.28 18:31:46
AED,,167.17,,179.59,173.8,2021.05.28 18:24:38
AED,,167.21,,179.63,173.8,2021.05.28 18:01:20
AED,,167.22,,179.64,173.8,2021.05.28 18:00:07
AED,,167.24,,179.67,173.8,2021.05.28 17:45:36
AED,,167.22,,179.64,173.8,2021.05.28 17:38:35
AED,,167.21,,179.63,173.8,2021.05.28 17:32:45
AED,,167.21,,179.63,173.8,2021.05.28 17:31:07
AED,,167.18,,179.6,173.8,2021.05.28 17:29:44
AED,,167.17,,179.59,173.8,2021.05.28 17:29:30
AED,,167.13,,179.55,173.8,2021.05.28 17:28:35
AED,,167.1,,179.51,173.8,2021.05.28 17:19:41
AED,,167.15,,179.57,173.8,2021.05.28 17:12:49
AED,,167.17,,179.59,173.8,2021.05.28 17:11:15
AED,,167.13,,179.55,173.8,2021.05.28 17:09:23
AED,,167.1,,179.51,173.8,2021.05.28 17:03:58
AED,,167.11,,179.53,173.8,2021.05.28 17:01:47
AED,,167.11,,179.53,173.8,2021.05.28 16:59:49
AED,,167.13,,179.55,173.8,2021.05.28 16:59:02
AED,,167.11,,179.53,173.8,2021.05.28 16:56:22
AED,,167.1,,179.51,173.8,2021.05.28 16:47:36
AED,,167.11,,179.53,173.8,2021.05.28 16:41:49
AED,,167.1,,179.51,173.8,2021.05.28 16:39:38
