CurrencyName,BuyingRate,CashBuyingRate,SellingRate,CashSellingRate,MiddleRate,PubTime
AUD,489.24,474.04,492.84,495.02,494.14,2021.05.29 10:30:00
AUD,489.24,474.04,492.84,495.02,494.14,2021.05.29 10:30:00
AUD,489.24,474.04,492.84,495.02,494.14,2021.05.29 05:30:00
AUD,489.24,474.04,492.84,495.02,494.14,2021.05.29 05:30:00
AUD,489.24,474.04,492.84,495.02,494.14,2021.05.29 05:30:00
AUD,489.24,474.04,492.84,495.02,494.14,2021.05.29 04:46:20
AUD,489.3,474.1,492.9,495.08,494.14,2021.05.29 00:00:05
AUD,489.3,474.1,492.9,495.08,494.14,2021.05.28 23:36:51
AUD,489.3,474.1,492.9,495.08,494.14,2021.05.28 23:36:51
AUD,489.3,474.1,492.9,495.08,494.14,2021.05.28 23:36:51
AUD,489.17,473.97,492.77,494.95,494.14,2021.05.28 23:07:15
AUD,489.36,474.15,492.96,495.14,494.14,2021.05.28 22:43:05
AUD,489.58,474.37,493.18,495.37,494.14,2021.05.28 22:13:15
AUD,489.33,474.13,492.93,495.11,494.14,2021.05.28 21:55:33
AUD,488.5,473.32,492.09,494.28,494.14,2021.05.28 21:33:51
AUD,488.13,472.97,491.72,493.9,494.14,2021.05.28 21:29:53
AUD,488.52,473.34,492.12,494.3,494.14,2021.05.28 21:07:56
AUD,487.84,472.69,491.43,493.61,494.14,2021.05.28 20:55:26
AUD,488.33,473.16,491.92,494.1,494.14,2021.05.28 20:22:00
AUD,488.42,473.25,492.01,494.2,494.14,2021.05.28 20:15:55
AUD,488.28,473.11,491.87,494.05,494.14,2021.05.28 20:13:36
AUD,488.21,473.04,491.8,493.98,494.14,2021.05.28 20:10:29
AUD,488.19,473.02,491.78,493.96,494.14,2021.05.28 20:10:19
AUD,488.56,473.38,492.16,494.34,494.14,2021.05.28 20:01:20
AUD,488.61,473.43,492.21,494.39,494.14,2021.05.28 19:52:08
AUD,488.47,473.29,492.06,494.25,494.14,2021.05.28 19:47:02
AUD,488.78,473.59,492.38,494.56,494.14,2021.05.28 19:43:05
AUD,488.7,473.52,492.3,494.48,494.14,2021.05.28 19:34:17
AUD,488.88,473.69,492.48,494.66,494.14,2021.05.28 19:19:38
AUD,489.44,474.23,493.04,495.22,494.14,2021.05.28 18:54:14
AUD,489.42,474.21,493.02,495.2,494.14,2021.05.28 18:49:27
AUD,489.6,474.39,493.2,495.39,494.14,2021.05.28 18:38:49
AUD,489.4,474.19,493,495.18,494.14,2021.05.28 18:31:46
AUD,489.87,474.65,493.47,495.66,494.14,2021.05.28 18:24:38
AUD,489.86,474.64,493.46,495.65,494.14,2021.05.28 18:01:20
AUD,489.77,474.55,493.37,495.56,494.14,2021.05.28 18:00:07
AUD,489.97,474.74,493.57,495.76,494.14,2021.05.28 17:45:36
AUD,489.7,474.48,493.3,495.49,494.14,2021.05.28 17:38:35
AUD,489.92,474.7,493.52,495.71,494.14,2021.05.28 17:32:45
AUD,489.92,474.7,493.52,495.71,494.14,2021.05.28 17:31:07
AUD,489.78,474.56,493.38,495.57,494.14,2021.05.28 17:29:44
AUD,489.74,474.52,493.34,495.53,494.14,2021.05.28 17:29:30
AUD,489.63,474.42,493.23,495.42,494.14,2021.05.28 17:28:35
AUD,489.74,474.52,493.34,495.53,494.14,2021.05.28 17:19:41
AUD,489.96,474.73,493.56,495.75,494.14,2021.05.28 17:12:49
AUD,490.06,474.83,493.66,495.85,494.14,2021.05.28 17:11:15
AUD,489.94,474.71,493.54,495.73,494.14,2021.05.28 17:09:23
AUD,490.12,474.89,493.72,495.91,494.14,2021.05.28 17:03:58
AUD,489.97,474.74,493.57,495.76,494.14,2021.05.28 17:01:47
AUD,490.1,474.87,493.7,495.89,494.14,2021.05.28 16:59:49
AUD,490.13,474.9,493.73,495.92,494.14,2021.05.28 16:59:02
AUD,490.03,474.8,493.63,495.82,494.14,2021.05.28 16:56:22
AUD,490.25,475.01,493.85,496.04,494.14,2021.05.28 16:47:36
AUD,490.29,475.05,493.89,496.08,494.14,2021.05.28 16:41:49
AUD,489.93,474.7,493.53,495.72,494.14,2021.05.28 16:39:38
AUD,490.08,474.85,493.68,495.87,494.14,2021.05.28 16:37:22
AUD,490.08,474.85,493.68,495.87,494.14,2021.05.28 16:32:33
AUD,490.05,474.82,493.65,495.84,494.14,2021.05.28 16:31:33
AUD,490.15,474.92,493.75,495.94,494.14,2021.05.28 16:30:57
AUD,490.25,475.01,493.85,496.04,494.14,2021.05.28 16:30:12
AUD,490.22,474.98,493.82,496.01,494.14,2021.05.28 16:27:52
AUD,490.39,475.15,493.99,496.18,494.14,2021.05.28 16:24:04
AUD,490.42,475.18,494.02,496.21,494.14,2021.05.28 16:21:33
AUD,490.54,475.29,494.14,496.33,494.14,2021.05.28 16:20:05
AUD,490.52,475.27,494.12,496.31,494.14,2021.05.28 16:17:04
AUD,490.47,475.23,494.07,496.26,494.14,2021.05.28 16:16:13
AUD,490.56,475.31,494.16,496.35,494.14,2021.05.28 16:14:10
AUD,490.35,475.11,493.95,496.14,494.14,2021.05.28 16:12:51
AUD,490.62,475.37,494.22,496.41,494.14,2021.05.28 16:08:00
AUD,490.61,475.36,494.21,496.4,494.14,2021.05.28 16:07:32
AUD,490.52,475.27,494.12,496.31,494.14,2021.05.28 16:04:52
AUD,490.56,475.31,494.16,496.35,494.14,2021.05.28 16:02:47
AUD,490.45,475.21,494.05,496.24,494.14,2021.05.28 16:01:05
AUD,490.34,475.1,493.94,496.13,494.14,2021.05.28 16:00:01
AUD,490.45,475.21,494.05,496.24,494.14,2021.05.28 15:59:48
AUD,490.52,475.27,494.12,496.31,494.14,2021.05.28 15:58:32
AUD,490.43,475.19,494.03,496.22,494.14,2021.05.28 15:53:20
AUD,490.47,475.23,494.07,496.26,494.14,2021.05.28 15:50:04
AUD,490.45,475.21,494.05,496.24,494.14,2021.05.28 15:48:11
AUD,490.49,475.25,494.09,496.28,494.14,2021.05.28 15:47:50
AUD,490.46,475.22,494.06,496.25,494.14,2021.05.28 15:39:19
AUD,490.41,475.17,494.01,496.2,494.14,2021.05.28 15:37:49
AUD,490.37,475.13,493.97,496.16,494.14,2021.05.28 15:36:09
AUD,490.41,475.17,494.01,496.2,494.14,2021.05.28 15:35:40
AUD,490.39,475.15,493.99,496.18,494.14,2021.05.28 15:32:15
AUD,490.36,475.12,493.96,496.15,494.14,2021.05.28 15:30:09
AUD,490.32,475.08,493.92,496.11,494.14,2021.05.28 15:26:31
AUD,490.17,474.94,493.77,495.96,494.14,2021.05.28 15:23:10
AUD,490.21,474.98,493.81,496,494.14,2021.05.28 15:22:48
AUD,490.36,475.12,493.96,496.15,494.14,2021.05.28 15:21:18
AUD,490.32,475.08,493.92,496.11,494.14,2021.05.28 15:18:05
AUD,490.44,475.2,494.04,496.23,494.14,2021.05.28 15:16:09
AUD,490.33,475.09,493.93,496.12,494.14,2021.05.28 15:15:40
AUD,490.55,475.3,494.15,496.34,494.14,2021.05.28 15:14:46
AUD,490.49,475.25,494.09,496.28,494.14,2021.05.28 15:12:49
AUD,490.32,475.08,493.92,496.11,494.14,2021.05.28 15:09:26
AUD,490.49,475.25,494.09,496.28,494.14,2021.05.28 15:08:17
AUD,490.46,475.22,494.06,496.25,494.14,2021.05.28 15:06:07
AUD,490.36,475.12,493.96,496.15,494.14,2021.05.28 15:03:14
AUD,490.45,475.21,494.05,496.24,494.14,2021.05.28 15:00:59
AUD,490.49,475.25,494.09,496.28,494.14,2021.05.28 15:00:09
AUD,490.4,475.16,494,496.19,494.14,2021.05.28 14:58:40
AUD,490.31,475.07,493.91,496.1,494.14,2021.05.28 14:56:40
AUD,490.22,474.98,493.82,496.01,494.14,2021.05.28 14:53:46
AUD,490.18,474.95,493.78,495.97,494.14,2021.05.28 14:49:18
AUD,490.42,475.18,494.02,496.21,494.14,2021.05.28 14:44:50
AUD,490.45,475.21,494.05,496.24,494.14,2021.05.28 14:43:29
AUD,490.49,475.25,494.09,496.28,494.14,2021.05.28 14:36:18
AUD,490.46,475.22,494.06,496.25,494.14,2021.05.28 14:35:42
AUD,490.37,475.13,493.97,496.16,494.14,2021.05.28 14:30:34
AUD,490.24,475,493.84,496.03,494.14,2021.05.28 14:25:35
AUD,490.22,474.98,493.82,496.01,494.14,2021.05.28 14:22:48
AUD,490.31,475.07,493.91,496.1,494.14,2021.05.28 14:19:26
AUD,490.12,474.89,493.72,495.91,494.14,2021.05.28 14:17:54
AUD,490.65,475.4,494.25,496.44,494.14,2021.05.28 14:14:29
AUD,490.69,475.44,494.29,496.48,494.14,2021.05.28 14:12:15
AUD,490.59,475.34,494.19,496.38,494.14,2021.05.28 14:11:38
AUD,490.68,475.43,494.28,496.47,494.14,2021.05.28 14:10:52
AUD,490.73,475.48,494.33,496.52,494.14,2021.05.28 14:05:23
AUD,490.7,475.45,494.3,496.49,494.14,2021.05.28 14:01:46
AUD,490.6,475.35,494.2,496.39,494.14,2021.05.28 14:01:04
AUD,490.69,475.44,494.29,496.48,494.14,2021.05.28 13:55:10
AUD,490.65,475.4,494.25,496.44,494.14,2021.05.28 13:53:32
AUD,490.79,475.54,494.4,496.6,494.14,2021.05.28 13:44:22
AUD,490.88,475.63,494.49,496.69,494.14,2021.05.28 13:43:47
AUD,490.97,475.72,494.58,496.78,494.14,2021.05.28 13:42:45
AUD,490.93,475.68,494.54,496.74,494.14,2021.05.28 13:42:17
AUD,490.97,475.72,494.58,496.78,494.14,2021.05.28 13:42:11
AUD,491.21,475.95,494.83,497.02,494.14,2021.05.28 13:32:59
AUD,491.36,476.1,494.98,497.17,494.14,2021.05.28 13:22:38
AUD,491.43,476.16,495.05,497.24,494.14,2021.05.28 12:22:17
AUD,491.59,476.32,495.21,497.4,494.14,2021.05.28 12:13:40
AUD,491.61,476.34,495.23,497.42,494.14,2021.05.28 12:12:26
AUD,491.54,476.27,495.16,497.35,494.14,2021.05.28 12:06:00
AUD,491.45,476.18,495.07,497.26,494.14,2021.05.28 12:05:08
AUD,491.62,476.35,495.24,497.43,494.14,2021.05.28 11:59:25
AUD,491.49,476.22,495.11,497.3,494.14,2021.05.28 11:56:01
AUD,491.68,476.4,495.3,497.49,494.14,2021.05.28 11:53:03
AUD,491.65,476.38,495.27,497.46,494.14,2021.05.28 11:49:16
AUD,491.62,476.35,495.24,497.43,494.14,2021.05.28 11:46:59
AUD,491.53,476.26,495.15,497.34,494.14,2021.05.28 11:41:23
AUD,491.76,476.48,495.38,497.57,494.14,2021.05.28 11:34:55
AUD,491.86,476.58,495.48,497.67,494.14,2021.05.28 11:29:31
AUD,491.84,476.56,495.46,497.65,494.14,2021.05.28 11:21:30
AUD,491.88,476.6,495.5,497.69,494.14,2021.05.28 11:18:16
AUD,491.79,476.51,495.41,497.6,494.14,2021.05.28 11:15:44
AUD,491.83,476.55,495.45,497.64,494.14,2021.05.28 11:11:46
AUD,491.93,476.65,495.55,497.75,494.14,2021.05.28 11:00:54
AUD,491.84,476.56,495.46,497.65,494.14,2021.05.28 10:57:15
AUD,491.88,476.6,495.5,497.69,494.14,2021.05.28 10:52:15
AUD,491.98,476.69,495.6,497.8,494.14,2021.05.28 10:46:15
AUD,491.96,476.67,495.58,497.78,494.14,2021.05.28 10:40:39
AUD,491.87,476.59,495.49,497.68,494.14,2021.05.28 10:35:42
AUD,491.91,476.63,495.53,497.73,494.14,2021.05.28 10:31:16
AUD,491.86,476.58,495.48,497.67,494.14,2021.05.28 10:30:00
AUD,491.93,476.65,495.55,497.75,494.14,2021.05.28 10:30:12
AUD,491.86,476.58,495.48,497.67,494.14,2021.05.28 10:30:00
AUD,491.86,476.58,495.48,497.67,494.14,2021.05.28 10:30:00
AUD,491.86,476.58,495.48,497.67,494.14,2021.05.28 10:20:48
AUD,491.86,476.58,495.48,497.67,494.14,2021.05.28 10:18:51
AUD,491.88,476.6,495.5,497.69,494.14,2021.05.28 10:17:02
AUD,492.07,476.78,495.69,497.89,494.14,2021.05.28 10:11:58
AUD,492.07,476.78,495.69,497.89,494.14,2021.05.28 10:11:58
AUD,492.07,476.78,495.69,497.89,494.14,2021.05.28 10:10:34
AUD,492.11,476.82,495.73,497.93,494.14,2021.05.28 10:10:15
AUD,492.11,476.82,495.73,497.93,494.14,2021.05.28 10:10:15
AUD,492.11,476.82,495.73,497.93,494.14,2021.05.28 10:10:03
AUD,492.09,476.8,495.71,497.91,494.14,2021.05.28 09:57:22
AUD,492.17,476.88,495.79,497.99,494.14,2021.05.28 09:52:30
AUD,492.15,476.86,495.77,497.97,494.14,2021.05.28 09:50:01
AUD,492.17,476.88,495.79,497.99,494.14,2021.05.28 09:48:15
AUD,492.06,476.77,495.68,497.88,494.14,2021.05.28 09:42:18
AUD,491.97,476.68,495.59,497.79,494.14,2021.05.28 09:41:30
AUD,492.14,476.85,495.76,497.96,494.14,2021.05.28 09:40:48
AUD,492.11,476.82,495.73,497.93,494.14,2021.05.28 09:38:50
AUD,492.09,476.8,495.71,497.91,494.14,2021.05.28 09:38:29
AUD,492.05,476.76,495.67,497.87,494.14,2021.05.28 09:36:19
AUD,492.19,476.9,495.81,498.01,494.14,2021.05.28 09:35:42
AUD,492.2,476.91,495.82,498.02,494.14,2021.05.28 09:34:00
AUD,492.31,477.01,495.93,498.13,494.14,2021.05.28 09:33:00
AUD,492.26,476.96,495.88,498.08,494.14,2021.05.28 09:32:31
AUD,492.28,476.98,495.9,498.1,494.14,2021.05.28 09:32:00
AUD,492.27,476.97,495.89,498.09,494.14,2021.05.28 09:31:51
AUD,492.36,477.06,495.98,498.18,494.14,2021.05.28 09:19:30
AUD,492.36,477.06,495.98,498.18,494.14,2021.05.28 09:19:18
AUD,492.36,477.06,495.98,498.18,495.53,2021.05.28 09:18:29
AUD,492.29,476.99,495.91,498.11,495.53,2021.05.28 09:10:21
AUD,492.29,476.99,495.91,498.11,495.53,2021.05.28 08:58:35
AUD,492.17,476.88,495.79,497.99,495.53,2021.05.28 08:27:06
AUD,492.36,477.06,495.98,498.18,495.53,2021.05.28 07:41:26
AUD,492.42,477.12,496.04,498.24,495.53,2021.05.28 07:33:22
AUD,492.29,476.99,495.91,498.11,495.53,2021.05.28 07:30:49
AUD,492.29,476.99,495.91,498.11,495.53,2021.05.28 07:24:36
AUD,492.36,477.06,495.98,498.18,495.53,2021.05.28 06:50:09
AUD,492.1,476.81,495.72,497.92,495.53,2021.05.28 05:30:00
AUD,492.1,476.81,495.72,497.92,495.53,2021.05.28 05:30:00
AUD,492.1,476.81,495.72,497.92,495.53,2021.05.28 05:30:00
AUD,492.1,476.81,495.72,497.92,495.53,2021.05.28 00:00:05
AUD,492.1,476.81,495.72,497.92,495.53,2021.05.27 23:34:24
AUD,492.1,476.81,495.72,497.92,495.53,2021.05.27 23:34:24
AUD,492.1,476.81,495.72,497.92,495.53,2021.05.27 23:34:24
AUD,492.49,477.19,496.11,498.31,495.53,2021.05.27 23:19:31
AUD,493,477.68,496.62,498.82,495.53,2021.05.27 23:00:08
AUD,493.25,477.92,496.87,499.08,495.53,2021.05.27 22:43:02
AUD,491.98,476.69,495.6,497.8,495.53,2021.05.27 21:45:57
AUD,492.23,476.94,495.85,498.05,495.53,2021.05.27 21:31:11
AUD,492.36,477.06,495.98,498.18,495.53,2021.05.27 21:12:02
AUD,492.36,477.06,495.98,498.18,495.53,2021.05.27 21:08:35
AUD,492.17,476.88,495.79,497.99,495.53,2021.05.27 21:06:13
AUD,492.28,476.98,495.9,498.1,495.53,2021.05.27 20:51:22
AUD,492.22,476.93,495.84,498.04,495.53,2021.05.27 20:51:16
AUD,492.25,476.95,495.87,498.07,495.53,2021.05.27 20:45:41
AUD,492.38,477.08,496,498.2,495.53,2021.05.27 20:40:37
AUD,492.5,477.2,496.12,498.32,495.53,2021.05.27 20:40:27
AUD,492.37,477.07,495.99,498.19,495.53,2021.05.27 20:27:38
AUD,492.16,476.87,495.78,497.98,495.53,2021.05.27 20:25:20
AUD,492.04,476.75,495.66,497.86,495.53,2021.05.27 20:19:23
AUD,492.21,476.92,495.83,498.03,495.53,2021.05.27 20:15:34
AUD,492.14,476.85,495.76,497.96,495.53,2021.05.27 20:15:25
AUD,492.32,477.02,495.94,498.14,495.53,2021.05.27 20:08:19
