CurrencyName,BuyingRate,CashBuyingRate,SellingRate,CashSellingRate,MiddleRate,PubTime
BRL,,117.05,,132.9,,2021.05.29 10:30:00
BRL,,117.05,,132.9,,2021.05.29 10:30:00
BRL,,117.05,,132.9,,2021.05.29 05:30:00
BRL,,117.05,,132.9,,2021.05.29 05:30:00
BRL,,117.05,,132.9,,2021.05.29 05:30:00
BRL,,117.05,,132.9,,2021.05.29 04:46:20
BRL,,117.05,,132.9,,2021.05.29 00:00:05
BRL,,117.05,,132.9,,2021.05.28 23:36:51
BRL,,117.05,,132.9,,2021.05.28 23:36:51
BRL,,117.05,,132.9,,2021.05.28 23:36:51
BRL,,117.06,,132.91,,2021.05.28 23:07:15
BRL,,117,,132.85,,2021.05.28 22:43:05
BRL,,116.96,,132.79,,2021.05.28 22:13:15
BRL,,116.82,,132.64,,2021.05.28 21:55:33
BRL,,116.97,,132.81,,2021.05.28 21:33:51
BRL,,116.84,,132.66,,2021.05.28 21:29:53
BRL,,116.83,,132.65,,2021.05.28 21:07:56
BRL,,116.45,,132.22,,2021.05.28 20:55:26
BRL,,116.41,,132.17,,2021.05.28 20:22:00
BRL,,116.37,,132.13,,2021.05.28 20:15:55
BRL,,116.31,,132.06,,2021.05.28 20:13:36
BRL,,116.44,,132.21,,2021.05.28 20:10:29
BRL,,116.39,,132.15,,2021.05.28 20:10:19
BRL,,116.22,,131.96,,2021.05.28 20:01:20
BRL,,116.7,,132.5,,2021.05.28 19:52:08
BRL,,116.68,,132.48,,2021.05.28 19:47:02
BRL,,116.66,,132.46,,2021.05.28 19:43:05
BRL,,116.64,,132.44,,2021.05.28 19:34:17
BRL,,116.62,,132.41,,2021.05.28 19:19:38
BRL,,116.6,,132.39,,2021.05.28 18:54:14
BRL,,116.58,,132.37,,2021.05.28 18:49:27
BRL,,116.56,,132.35,,2021.05.28 18:38:49
BRL,,116.54,,132.33,,2021.05.28 18:31:46
BRL,,116.58,,132.37,,2021.05.28 18:24:38
BRL,,116.61,,132.4,,2021.05.28 18:01:20
BRL,,116.62,,132.41,,2021.05.28 18:00:07
BRL,,116.64,,132.44,,2021.05.28 17:45:36
BRL,,116.62,,132.41,,2021.05.28 17:38:35
BRL,,116.61,,132.4,,2021.05.28 17:32:45
BRL,,116.61,,132.4,,2021.05.28 17:31:07
BRL,,116.59,,132.38,,2021.05.28 17:29:44
BRL,,116.58,,132.37,,2021.05.28 17:29:30
BRL,,116.55,,132.34,,2021.05.28 17:28:35
BRL,,116.54,,132.33,,2021.05.28 17:19:41
BRL,,116.57,,132.36,,2021.05.28 17:12:49
BRL,,116.58,,132.37,,2021.05.28 17:11:15
BRL,,116.55,,132.34,,2021.05.28 17:09:23
BRL,,116.54,,132.33,,2021.05.28 17:03:58
BRL,,116.54,,132.33,,2021.05.28 17:01:47
BRL,,116.54,,132.33,,2021.05.28 16:59:49
BRL,,116.55,,132.34,,2021.05.28 16:59:02
BRL,,116.54,,132.33,,2021.05.28 16:56:22
BRL,,116.54,,132.33,,2021.05.28 16:47:36
BRL,,116.54,,132.33,,2021.05.28 16:41:49
BRL,,116.54,,132.33,,2021.05.28 16:39:38
BRL,,116.53,,132.32,,2021.05.28 16:37:22
BRL,,116.57,,132.36,,2021.05.28 16:32:33
BRL,,116.56,,132.35,,2021.05.28 16:31:33
BRL,,116.57,,132.36,,2021.05.28 16:30:57
BRL,,116.58,,132.37,,2021.05.28 16:30:12
BRL,,116.59,,132.38,,2021.05.28 16:27:52
BRL,,116.6,,132.39,,2021.05.28 16:24:04
BRL,,116.59,,132.38,,2021.05.28 16:21:33
BRL,,116.59,,132.38,,2021.05.28 16:20:05
BRL,,116.6,,132.39,,2021.05.28 16:17:04
BRL,,116.62,,132.41,,2021.05.28 16:16:13
BRL,,116.61,,132.4,,2021.05.28 16:14:10
BRL,,116.59,,132.38,,2021.05.28 16:12:51
BRL,,116.61,,132.4,,2021.05.28 16:08:00
BRL,,116.64,,132.44,,2021.05.28 16:07:32
BRL,,116.65,,132.45,,2021.05.28 16:04:52
BRL,,116.66,,132.46,,2021.05.28 16:02:47
BRL,,116.68,,132.48,,2021.05.28 16:01:05
BRL,,116.67,,132.47,,2021.05.28 16:00:01
BRL,,116.68,,132.48,,2021.05.28 15:59:48
BRL,,116.7,,132.5,,2021.05.28 15:58:32
BRL,,116.71,,132.51,,2021.05.28 15:53:20
BRL,,116.72,,132.52,,2021.05.28 15:50:04
BRL,,116.73,,132.53,,2021.05.28 15:48:11
BRL,,116.74,,132.54,,2021.05.28 15:47:50
BRL,,116.75,,132.55,,2021.05.28 15:39:19
BRL,,116.76,,132.57,,2021.05.28 15:37:49
BRL,,116.75,,132.55,,2021.05.28 15:36:09
BRL,,116.76,,132.57,,2021.05.28 15:35:40
BRL,,116.76,,132.58,,2021.05.28 15:32:15
BRL,,116.77,,132.59,,2021.05.28 15:30:09
BRL,,116.76,,132.58,,2021.05.28 15:26:31
BRL,,116.77,,132.59,,2021.05.28 15:23:10
BRL,,116.78,,132.6,,2021.05.28 15:22:48
BRL,,116.77,,132.59,,2021.05.28 15:21:18
BRL,,116.76,,132.58,,2021.05.28 15:18:05
BRL,,116.75,,132.55,,2021.05.28 15:16:09
BRL,,116.75,,132.55,,2021.05.28 15:15:40
BRL,,116.74,,132.54,,2021.05.28 15:14:46
BRL,,116.74,,132.54,,2021.05.28 15:12:49
BRL,,116.73,,132.53,,2021.05.28 15:09:26
BRL,,116.74,,132.54,,2021.05.28 15:08:17
BRL,,116.75,,132.55,,2021.05.28 15:06:07
BRL,,116.74,,132.54,,2021.05.28 15:03:14
BRL,,116.73,,132.53,,2021.05.28 15:00:59
BRL,,116.74,,132.54,,2021.05.28 15:00:09
BRL,,116.75,,132.55,,2021.05.28 14:58:40
BRL,,116.75,,132.55,,2021.05.28 14:56:40
BRL,,116.76,,132.57,,2021.05.28 14:53:46
BRL,,116.75,,132.55,,2021.05.28 14:49:18
BRL,,116.74,,132.54,,2021.05.28 14:44:50
BRL,,116.73,,132.53,,2021.05.28 14:43:29
BRL,,116.74,,132.54,,2021.05.28 14:36:18
BRL,,116.75,,132.55,,2021.05.28 14:35:42
BRL,,116.75,,132.55,,2021.05.28 14:30:34
BRL,,116.75,,132.55,,2021.05.28 14:25:35
BRL,,116.76,,132.57,,2021.05.28 14:22:48
BRL,,116.75,,132.55,,2021.05.28 14:19:26
BRL,,116.75,,132.55,,2021.05.28 14:17:54
BRL,,116.75,,132.55,,2021.05.28 14:14:29
BRL,,116.75,,132.55,,2021.05.28 14:12:15
BRL,,116.75,,132.55,,2021.05.28 14:11:38
BRL,,116.74,,132.54,,2021.05.28 14:10:52
BRL,,116.72,,132.52,,2021.05.28 14:05:23
BRL,,116.73,,132.53,,2021.05.28 14:01:46
BRL,,116.72,,132.52,,2021.05.28 14:01:04
BRL,,116.71,,132.51,,2021.05.28 13:55:10
BRL,,116.7,,132.5,,2021.05.28 13:53:32
BRL,,116.69,,132.49,,2021.05.28 13:44:22
BRL,,116.68,,132.48,,2021.05.28 13:43:47
BRL,,116.67,,132.47,,2021.05.28 13:42:45
BRL,,116.66,,132.46,,2021.05.28 13:42:17
BRL,,116.67,,132.47,,2021.05.28 13:42:11
BRL,,116.65,,132.45,,2021.05.28 13:32:59
BRL,,116.64,,132.44,,2021.05.28 13:22:38
BRL,,116.64,,132.44,,2021.05.28 12:22:17
BRL,,116.65,,132.45,,2021.05.28 12:13:40
BRL,,116.67,,132.47,,2021.05.28 12:12:26
BRL,,116.67,,132.47,,2021.05.28 12:06:00
BRL,,116.68,,132.48,,2021.05.28 12:05:08
BRL,,116.69,,132.49,,2021.05.28 11:59:25
BRL,,116.69,,132.49,,2021.05.28 11:56:01
BRL,,116.69,,132.49,,2021.05.28 11:53:03
BRL,,116.68,,132.48,,2021.05.28 11:49:16
BRL,,116.69,,132.49,,2021.05.28 11:46:59
BRL,,116.7,,132.5,,2021.05.28 11:41:23
BRL,,116.71,,132.51,,2021.05.28 11:34:55
BRL,,116.72,,132.52,,2021.05.28 11:29:31
BRL,,116.73,,132.53,,2021.05.28 11:21:30
BRL,,116.74,,132.54,,2021.05.28 11:18:16
BRL,,116.75,,132.55,,2021.05.28 11:15:44
BRL,,116.75,,132.55,,2021.05.28 11:11:46
BRL,,116.76,,132.57,,2021.05.28 11:00:54
BRL,,116.76,,132.58,,2021.05.28 10:57:15
BRL,,116.77,,132.59,,2021.05.28 10:52:15
BRL,,116.78,,132.6,,2021.05.28 10:46:15
BRL,,116.79,,132.61,,2021.05.28 10:40:39
BRL,,116.8,,132.62,,2021.05.28 10:35:42
BRL,,116.81,,132.63,,2021.05.28 10:31:16
BRL,,116.78,,132.6,,2021.05.28 10:30:00
BRL,,116.8,,132.62,,2021.05.28 10:30:12
BRL,,116.78,,132.6,,2021.05.28 10:30:00
BRL,,116.78,,132.6,,2021.05.28 10:30:00
BRL,,116.78,,132.6,,2021.05.28 10:20:48
BRL,,116.78,,132.6,,2021.05.28 10:18:51
BRL,,116.77,,132.59,,2021.05.28 10:17:02
BRL,,116.77,,132.59,,2021.05.28 10:11:58
BRL,,116.77,,132.59,,2021.05.28 10:11:58
BRL,,116.77,,132.59,,2021.05.28 10:10:34
BRL,,116.78,,132.6,,2021.05.28 10:10:15
BRL,,116.78,,132.6,,2021.05.28 10:10:15
BRL,,116.78,,132.6,,2021.05.28 10:10:03
BRL,,116.79,,132.61,,2021.05.28 09:57:22
BRL,,116.78,,132.6,,2021.05.28 09:52:30
BRL,,116.79,,132.61,,2021.05.28 09:50:01
BRL,,116.78,,132.6,,2021.05.28 09:48:15
BRL,,116.8,,132.62,,2021.05.28 09:42:18
BRL,,116.81,,132.63,,2021.05.28 09:41:30
BRL,,116.82,,132.64,,2021.05.28 09:40:48
BRL,,116.83,,132.65,,2021.05.28 09:38:50
BRL,,116.84,,132.66,,2021.05.28 09:38:29
BRL,,116.83,,132.65,,2021.05.28 09:36:19
BRL,,116.85,,132.67,,2021.05.28 09:35:42
BRL,,116.87,,132.7,,2021.05.28 09:34:00
BRL,,116.88,,132.71,,2021.05.28 09:33:00
BRL,,116.9,,132.73,,2021.05.28 09:32:31
BRL,,116.94,,132.77,,2021.05.28 09:32:00
BRL,,116.92,,132.75,,2021.05.28 09:31:51
BRL,,116.91,,132.74,,2021.05.28 09:19:30
BRL,,116.91,,132.74,,2021.05.28 09:19:18
BRL,,116.91,,132.74,,2021.05.28 09:18:29
BRL,,116.91,,132.74,,2021.05.28 09:10:21
BRL,,116.91,,132.74,,2021.05.28 08:58:35
BRL,,116.91,,132.74,,2021.05.28 08:27:06
BRL,,116.91,,132.74,,2021.05.28 07:41:26
BRL,,116.91,,132.74,,2021.05.28 07:33:22
BRL,,116.91,,132.74,,2021.05.28 07:30:49
BRL,,116.91,,132.74,,2021.05.28 07:24:36
BRL,,116.27,,132.01,,2021.05.28 06:50:09
BRL,,116.27,,132.01,,2021.05.28 05:30:00
BRL,,116.27,,132.01,,2021.05.28 05:30:00
BRL,,116.27,,132.01,,2021.05.28 05:30:00
BRL,,116.27,,132.01,,2021.05.28 00:00:05
BRL,,116.27,,132.01,,2021.05.27 23:34:24
BRL,,116.27,,132.01,,2021.05.27 23:34:24
BRL,,116.27,,132.01,,2021.05.27 23:34:24
BRL,,116.35,,132.11,,2021.05.27 23:19:31
BRL,,116.39,,132.15,,2021.05.27 23:00:08
BRL,,116.16,,131.89,,2021.05.27 22:43:02
BRL,,115.73,,131.4,,2021.05.27 21:45:57
BRL,,115.67,,131.33,,2021.05.27 21:31:11
BRL,,115.75,,131.42,,2021.05.27 21:12:02
BRL,,115.76,,131.43,,2021.05.27 21:08:35
BRL,,115.65,,131.31,,2021.05.27 21:06:13
BRL,,115.73,,131.4,,2021.05.27 20:51:22
BRL,,115.84,,131.53,,2021.05.27 20:51:16
BRL,,115.83,,131.52,,2021.05.27 20:45:41
BRL,,115.77,,131.44,,2021.05.27 20:40:37
BRL,,115.81,,131.5,,2021.05.27 20:40:27
BRL,,115.58,,131.24,,2021.05.27 20:27:38
BRL,,115.63,,131.29,,2021.05.27 20:25:20
BRL,,115.36,,130.99,,2021.05.27 20:19:23
BRL,,115.52,,131.16,,2021.05.27 20:15:34
BRL,,115.43,,131.06,,2021.05.27 20:15:25
BRL,,115.47,,131.11,,2021.05.27 20:08:19
BRL,,115.39,,131.02,,2021.05.27 20:08:06
BRL,,115.22,,130.82,,2021.05.27 20:00:27
BRL,,115.16,,130.76,,2021.05.27 19:48:50
BRL,,115.13,,130.72,,2021.05.27 19:48:28
