CurrencyName,BuyingRate,CashBuyingRate,SellingRate,CashSellingRate,MiddleRate,PubTime
CAD,525.68,509.08,529.56,531.89,528.81,2021.05.29 10:30:00
CAD,525.68,509.08,529.56,531.89,528.81,2021.05.29 10:30:00
CAD,525.68,509.08,529.56,531.89,528.81,2021.05.29 05:30:00
CAD,525.68,509.08,529.56,531.89,528.81,2021.05.29 05:30:00
CAD,525.68,509.08,529.56,531.89,528.81,2021.05.29 05:30:00
CAD,525.68,509.08,529.56,531.89,528.81,2021.05.29 04:46:20
CAD,525.51,508.92,529.39,531.72,528.81,2021.05.29 00:00:05
CAD,525.51,508.92,529.39,531.72,528.81,2021.05.28 23:36:51
CAD,525.51,508.92,529.39,531.72,528.81,2021.05.28 23:36:51
CAD,525.51,508.92,529.39,531.72,528.81,2021.05.28 23:36:51
CAD,525.42,508.83,529.3,531.63,528.81,2021.05.28 23:07:15
CAD,526.08,509.47,529.96,532.3,528.81,2021.05.28 22:43:05
CAD,526.24,509.62,530.12,532.46,528.81,2021.05.28 22:13:15
CAD,525.33,508.74,529.21,531.54,528.81,2021.05.28 21:55:33
CAD,525.02,508.45,528.89,531.23,528.81,2021.05.28 21:33:51
CAD,524.84,508.27,528.71,531.05,528.81,2021.05.28 21:29:53
CAD,524.75,508.18,528.62,530.96,528.81,2021.05.28 21:07:56
CAD,524.31,507.76,528.18,530.51,528.81,2021.05.28 20:55:26
CAD,524.45,507.9,528.32,530.65,528.81,2021.05.28 20:22:00
CAD,524.44,507.89,528.31,530.64,528.81,2021.05.28 20:15:55
CAD,524.23,507.68,528.1,530.43,528.81,2021.05.28 20:13:36
CAD,524.15,507.6,528.01,530.34,528.81,2021.05.28 20:10:29
CAD,524.07,507.52,527.93,530.26,528.81,2021.05.28 20:10:19
CAD,524.24,507.69,528.11,530.44,528.81,2021.05.28 20:01:20
CAD,523.99,507.44,527.85,530.18,528.81,2021.05.28 19:52:08
CAD,523.78,507.24,527.64,529.97,528.81,2021.05.28 19:47:02
CAD,523.87,507.33,527.73,530.06,528.81,2021.05.28 19:43:05
CAD,523.74,507.2,527.6,529.93,528.81,2021.05.28 19:34:17
CAD,523.97,507.42,527.83,530.16,528.81,2021.05.28 19:19:38
CAD,524.26,507.71,528.13,530.46,528.81,2021.05.28 18:54:14
CAD,524.1,507.55,527.96,530.29,528.81,2021.05.28 18:49:27
CAD,524.23,507.68,528.1,530.43,528.81,2021.05.28 18:38:49
CAD,523.98,507.43,527.84,530.17,528.81,2021.05.28 18:31:46
CAD,524.22,507.67,528.09,530.42,528.81,2021.05.28 18:24:38
CAD,524.39,507.84,528.26,530.59,528.81,2021.05.28 18:01:20
CAD,524.43,507.88,528.3,530.63,528.81,2021.05.28 18:00:07
CAD,524.52,507.96,528.39,530.72,528.81,2021.05.28 17:45:36
CAD,524.39,507.84,528.26,530.59,528.81,2021.05.28 17:38:35
CAD,524.52,507.96,528.39,530.72,528.81,2021.05.28 17:32:45
CAD,524.52,507.96,528.39,530.72,528.81,2021.05.28 17:31:07
CAD,524.53,507.97,528.4,530.73,528.81,2021.05.28 17:29:44
CAD,524.36,507.81,528.23,530.56,528.81,2021.05.28 17:29:30
CAD,524.36,507.81,528.23,530.56,528.81,2021.05.28 17:28:35
CAD,524.37,507.82,528.24,530.57,528.81,2021.05.28 17:19:41
CAD,524.62,508.06,528.49,530.82,528.81,2021.05.28 17:12:49
CAD,524.57,508.01,528.44,530.77,528.81,2021.05.28 17:11:15
CAD,524.36,507.81,528.23,530.56,528.81,2021.05.28 17:09:23
CAD,524.5,507.94,528.37,530.7,528.81,2021.05.28 17:03:58
CAD,524.62,508.06,528.49,530.82,528.81,2021.05.28 17:01:47
CAD,524.89,508.32,528.76,531.1,528.81,2021.05.28 16:59:49
CAD,524.75,508.18,528.62,530.96,528.81,2021.05.28 16:59:02
CAD,524.76,508.19,528.63,530.97,528.81,2021.05.28 16:56:22
CAD,524.98,508.41,528.85,531.19,528.81,2021.05.28 16:47:36
CAD,525.06,508.48,528.93,531.27,528.81,2021.05.28 16:41:49
CAD,524.93,508.36,528.8,531.14,528.81,2021.05.28 16:39:38
CAD,525.02,508.45,528.89,531.23,528.81,2021.05.28 16:37:22
CAD,525.27,508.69,529.14,531.48,528.81,2021.05.28 16:32:33
CAD,525.1,508.52,528.97,531.31,528.81,2021.05.28 16:31:33
CAD,525.14,508.56,529.01,531.35,528.81,2021.05.28 16:30:57
CAD,525.23,508.65,529.1,531.44,528.81,2021.05.28 16:30:12
CAD,525.22,508.64,529.09,531.43,528.81,2021.05.28 16:27:52
CAD,525.35,508.76,529.23,531.56,528.81,2021.05.28 16:24:04
CAD,525.36,508.77,529.24,531.57,528.81,2021.05.28 16:21:33
CAD,525.62,509.02,529.5,531.83,528.81,2021.05.28 16:20:05
CAD,525.53,508.94,529.41,531.74,528.81,2021.05.28 16:17:04
CAD,525.61,509.01,529.49,531.82,528.81,2021.05.28 16:16:13
CAD,525.39,508.8,529.27,531.6,528.81,2021.05.28 16:14:10
CAD,525.27,508.69,529.14,531.48,528.81,2021.05.28 16:12:51
CAD,525.53,508.94,529.41,531.74,528.81,2021.05.28 16:08:00
CAD,525.61,509.01,529.49,531.82,528.81,2021.05.28 16:07:32
CAD,525.43,508.84,529.31,531.64,528.81,2021.05.28 16:04:52
CAD,525.56,508.97,529.44,531.77,528.81,2021.05.28 16:02:47
CAD,525.6,509.01,529.48,531.81,528.81,2021.05.28 16:01:05
CAD,525.42,508.83,529.3,531.63,528.81,2021.05.28 16:00:01
CAD,525.42,508.83,529.3,531.63,528.81,2021.05.28 15:59:48
CAD,525.42,508.83,529.3,531.63,528.81,2021.05.28 15:58:32
CAD,525.28,508.7,529.15,531.49,528.81,2021.05.28 15:53:20
CAD,525.33,508.74,529.21,531.54,528.81,2021.05.28 15:50:04
CAD,525.45,508.86,529.33,531.66,528.81,2021.05.28 15:48:11
CAD,525.41,508.82,529.29,531.62,528.81,2021.05.28 15:47:50
CAD,525.41,508.82,529.29,531.62,528.81,2021.05.28 15:39:19
CAD,525.36,508.77,529.24,531.57,528.81,2021.05.28 15:37:49
CAD,525.32,508.74,529.2,531.53,528.81,2021.05.28 15:36:09
CAD,525.36,508.77,529.24,531.57,528.81,2021.05.28 15:35:40
CAD,525.36,508.77,529.24,531.57,528.81,2021.05.28 15:32:15
CAD,525.35,508.76,529.23,531.56,528.81,2021.05.28 15:30:09
CAD,525.31,508.73,529.19,531.52,528.81,2021.05.28 15:26:31
CAD,525.31,508.73,529.19,531.52,528.81,2021.05.28 15:23:10
CAD,525.22,508.64,529.09,531.43,528.81,2021.05.28 15:22:48
CAD,525.35,508.76,529.23,531.56,528.81,2021.05.28 15:21:18
CAD,525.44,508.85,529.32,531.65,528.81,2021.05.28 15:18:05
CAD,525.45,508.86,529.33,531.66,528.81,2021.05.28 15:16:09
CAD,525.36,508.77,529.24,531.57,528.81,2021.05.28 15:15:40
CAD,525.45,508.86,529.33,531.66,528.81,2021.05.28 15:14:46
CAD,525.5,508.91,529.38,531.71,528.81,2021.05.28 15:12:49
CAD,525.32,508.74,529.2,531.53,528.81,2021.05.28 15:09:26
CAD,525.37,508.78,529.25,531.58,528.81,2021.05.28 15:08:17
CAD,525.41,508.82,529.29,531.62,528.81,2021.05.28 15:06:07
CAD,525.37,508.78,529.25,531.58,528.81,2021.05.28 15:03:14
CAD,525.5,508.91,529.38,531.71,528.81,2021.05.28 15:00:59
CAD,525.45,508.86,529.33,531.66,528.81,2021.05.28 15:00:09
CAD,525.49,508.9,529.37,531.7,528.81,2021.05.28 14:58:40
CAD,525.49,508.9,529.37,531.7,528.81,2021.05.28 14:56:40
CAD,525.36,508.77,529.24,531.57,528.81,2021.05.28 14:53:46
CAD,525.32,508.74,529.2,531.53,528.81,2021.05.28 14:49:18
CAD,525.45,508.86,529.33,531.66,528.81,2021.05.28 14:44:50
CAD,525.59,509,529.47,531.8,528.81,2021.05.28 14:43:29
CAD,525.45,508.86,529.33,531.66,528.81,2021.05.28 14:36:18
CAD,525.36,508.77,529.24,531.57,528.81,2021.05.28 14:35:42
CAD,525.54,508.95,529.42,531.75,528.81,2021.05.28 14:30:34
CAD,525.4,508.81,529.28,531.61,528.81,2021.05.28 14:25:35
CAD,525.18,508.6,529.05,531.39,528.81,2021.05.28 14:22:48
CAD,525.36,508.77,529.24,531.57,528.81,2021.05.28 14:19:26
CAD,525.14,508.56,529.01,531.35,528.81,2021.05.28 14:17:54
CAD,525.36,508.77,529.24,531.57,528.81,2021.05.28 14:14:29
CAD,525.36,508.77,529.24,531.57,528.81,2021.05.28 14:12:15
CAD,525.28,508.7,529.15,531.49,528.81,2021.05.28 14:11:38
CAD,525.37,508.78,529.25,531.58,528.81,2021.05.28 14:10:52
CAD,525.33,508.74,529.21,531.54,528.81,2021.05.28 14:05:23
CAD,525.24,508.66,529.11,531.45,528.81,2021.05.28 14:01:46
CAD,525.2,508.62,529.07,531.41,528.81,2021.05.28 14:01:04
CAD,525.15,508.57,529.02,531.36,528.81,2021.05.28 13:55:10
CAD,525.16,508.58,529.03,531.37,528.81,2021.05.28 13:53:32
CAD,525.07,508.49,528.94,531.28,528.81,2021.05.28 13:44:22
CAD,525.07,508.49,528.94,531.28,528.81,2021.05.28 13:43:47
CAD,525.03,508.46,528.9,531.24,528.81,2021.05.28 13:42:45
CAD,525.21,508.63,529.08,531.42,528.81,2021.05.28 13:42:17
CAD,525.08,508.5,528.95,531.29,528.81,2021.05.28 13:42:11
CAD,525.21,508.63,529.08,531.42,528.81,2021.05.28 13:32:59
CAD,525.26,508.68,529.13,531.47,528.81,2021.05.28 13:22:38
CAD,525.39,508.8,529.27,531.6,528.81,2021.05.28 12:22:17
CAD,525.43,508.84,529.31,531.64,528.81,2021.05.28 12:13:40
CAD,525.51,508.92,529.39,531.72,528.81,2021.05.28 12:12:26
CAD,525.47,508.88,529.35,531.68,528.81,2021.05.28 12:06:00
CAD,525.51,508.92,529.39,531.72,528.81,2021.05.28 12:05:08
CAD,525.68,509.08,529.56,531.89,528.81,2021.05.28 11:59:25
CAD,525.59,509,529.47,531.8,528.81,2021.05.28 11:56:01
CAD,525.59,509,529.47,531.8,528.81,2021.05.28 11:53:03
CAD,525.55,508.96,529.43,531.76,528.81,2021.05.28 11:49:16
CAD,525.55,508.96,529.43,531.76,528.81,2021.05.28 11:46:59
CAD,525.55,508.96,529.43,531.76,528.81,2021.05.28 11:41:23
CAD,525.55,508.96,529.43,531.76,528.81,2021.05.28 11:34:55
CAD,525.63,509.03,529.51,531.84,528.81,2021.05.28 11:29:31
CAD,525.54,508.95,529.42,531.75,528.81,2021.05.28 11:21:30
CAD,525.63,509.03,529.51,531.84,528.81,2021.05.28 11:18:16
CAD,525.58,508.99,529.46,531.79,528.81,2021.05.28 11:15:44
CAD,525.58,508.99,529.46,531.79,528.81,2021.05.28 11:11:46
CAD,525.58,508.99,529.46,531.79,528.81,2021.05.28 11:00:54
CAD,525.53,508.94,529.41,531.74,528.81,2021.05.28 10:57:15
CAD,525.75,509.15,529.63,531.96,528.81,2021.05.28 10:52:15
CAD,525.66,509.06,529.54,531.87,528.81,2021.05.28 10:46:15
CAD,525.65,509.05,529.53,531.86,528.81,2021.05.28 10:40:39
CAD,525.7,509.1,529.58,531.91,528.81,2021.05.28 10:35:42
CAD,525.74,509.14,529.62,531.95,528.81,2021.05.28 10:31:16
