CurrencyName,BuyingRate,CashBuyingRate,SellingRate,CashSellingRate,MiddleRate,PubTime
CHF,705.39,683.63,710.35,713.39,711.46,2021.05.29 10:30:00
CHF,705.39,683.63,710.35,713.39,711.46,2021.05.29 10:30:00
CHF,705.39,683.63,710.35,713.39,711.46,2021.05.29 05:30:00
CHF,705.39,683.63,710.35,713.39,711.46,2021.05.29 05:30:00
CHF,705.39,683.63,710.35,713.39,711.46,2021.05.29 05:30:00
CHF,705.39,683.63,710.35,713.39,711.46,2021.05.29 04:46:20
CHF,705.47,683.7,710.43,713.47,711.46,2021.05.29 00:00:05
CHF,705.47,683.7,710.43,713.47,711.46,2021.05.28 23:36:51
CHF,705.47,683.7,710.43,713.47,711.46,2021.05.28 23:36:51
CHF,705.47,683.7,710.43,713.47,711.46,2021.05.28 23:36:51
CHF,705,683.25,709.96,713,711.46,2021.05.28 23:07:15
CHF,705.31,683.55,710.27,713.31,711.46,2021.05.28 22:43:05
CHF,705.46,683.69,710.42,713.46,711.46,2021.05.28 22:13:15
CHF,704.6,682.85,709.54,712.59,711.46,2021.05.28 21:55:33
CHF,703.9,682.18,708.84,711.88,711.46,2021.05.28 21:33:51
CHF,703.61,681.9,708.55,711.59,711.46,2021.05.28 21:29:53
CHF,703.73,682.01,708.67,711.71,711.46,2021.05.28 21:07:56
CHF,703.44,681.73,708.38,711.42,711.46,2021.05.28 20:55:26
CHF,703.65,681.94,708.59,711.63,711.46,2021.05.28 20:22:00
CHF,703.56,681.85,708.5,711.54,711.46,2021.05.28 20:15:55
CHF,703.44,681.73,708.38,711.42,711.46,2021.05.28 20:13:36
CHF,703.41,681.7,708.35,711.39,711.46,2021.05.28 20:10:29
CHF,703.3,681.6,708.24,711.28,711.46,2021.05.28 20:10:19
CHF,703.9,682.18,708.84,711.88,711.46,2021.05.28 20:01:20
CHF,704.18,682.45,709.12,712.16,711.46,2021.05.28 19:52:08
CHF,704.14,682.41,709.08,712.12,711.46,2021.05.28 19:47:02
CHF,704.19,682.46,709.13,712.17,711.46,2021.05.28 19:43:05
CHF,704.24,682.51,709.18,712.22,711.46,2021.05.28 19:34:17
CHF,704.74,683,709.7,712.74,711.46,2021.05.28 19:19:38
CHF,704.71,682.97,709.67,712.71,711.46,2021.05.28 18:54:14
CHF,704.76,683.02,709.72,712.76,711.46,2021.05.28 18:49:27
CHF,704.88,683.13,709.84,712.88,711.46,2021.05.28 18:38:49
CHF,704.85,683.1,709.81,712.85,711.46,2021.05.28 18:31:46
CHF,705.39,683.63,710.35,713.39,711.46,2021.05.28 18:24:38
CHF,705.47,683.7,710.43,713.47,711.46,2021.05.28 18:01:20
CHF,705.45,683.68,710.41,713.45,711.46,2021.05.28 18:00:07
CHF,705.64,683.87,710.6,713.64,711.46,2021.05.28 17:45:36
CHF,705.45,683.68,710.41,713.45,711.46,2021.05.28 17:38:35
CHF,705.79,684.01,710.75,713.79,711.46,2021.05.28 17:32:45
CHF,705.79,684.01,710.75,713.79,711.46,2021.05.28 17:31:07
CHF,705.68,683.91,710.64,713.68,711.46,2021.05.28 17:29:44
CHF,705.54,683.77,710.5,713.54,711.46,2021.05.28 17:29:30
CHF,705.45,683.68,710.41,713.45,711.46,2021.05.28 17:28:35
CHF,705.82,684.04,710.78,713.82,711.46,2021.05.28 17:19:41
CHF,706.04,684.25,711,714.05,711.46,2021.05.28 17:12:49
CHF,706.17,684.38,711.13,714.18,711.46,2021.05.28 17:11:15
CHF,705.85,684.07,710.81,713.85,711.46,2021.05.28 17:09:23
CHF,705.9,684.12,710.86,713.91,711.46,2021.05.28 17:03:58
CHF,705.79,684.01,710.75,713.79,711.46,2021.05.28 17:01:47
CHF,705.87,684.09,710.83,713.88,711.46,2021.05.28 16:59:49
CHF,705.85,684.07,710.81,713.85,711.46,2021.05.28 16:59:02
CHF,705.56,683.79,710.52,713.56,711.46,2021.05.28 16:56:22
CHF,706.13,684.34,711.09,714.14,711.46,2021.05.28 16:47:36
CHF,706.19,684.4,711.15,714.2,711.46,2021.05.28 16:41:49
CHF,706.13,684.34,711.09,714.14,711.46,2021.05.28 16:39:38
CHF,706.31,684.51,711.27,714.32,711.46,2021.05.28 16:37:22
CHF,706.51,684.71,711.47,714.52,711.46,2021.05.28 16:32:33
CHF,706.38,684.58,711.34,714.39,711.46,2021.05.28 16:31:33
CHF,706.43,684.63,711.39,714.44,711.46,2021.05.28 16:30:57
CHF,706.49,684.69,711.45,714.5,711.46,2021.05.28 16:30:12
CHF,706.47,684.67,711.43,714.48,711.46,2021.05.28 16:27:52
CHF,706.28,684.48,711.24,714.29,711.46,2021.05.28 16:24:04
CHF,706.31,684.51,711.27,714.32,711.46,2021.05.28 16:21:33
