CurrencyName,BuyingRate,CashBuyingRate,SellingRate,CashSellingRate,MiddleRate,PubTime
DKK,103.99,100.78,104.83,105.33,104.65,2021.05.29 10:30:00
DKK,103.99,100.78,104.83,105.33,104.65,2021.05.29 10:30:00
DKK,103.99,100.78,104.83,105.33,104.65,2021.05.29 05:30:00
DKK,103.99,100.78,104.83,105.33,104.65,2021.05.29 05:30:00
DKK,103.99,100.78,104.83,105.33,104.65,2021.05.29 05:30:00
DKK,103.99,100.78,104.83,105.33,104.65,2021.05.29 04:46:20
DKK,104.01,100.8,104.85,105.35,104.65,2021.05.29 00:00:05
DKK,104.01,100.8,104.85,105.35,104.65,2021.05.28 23:36:51
DKK,104.01,100.8,104.85,105.35,104.65,2021.05.28 23:36:51
DKK,104.01,100.8,104.85,105.35,104.65,2021.05.28 23:36:51
DKK,103.89,100.69,104.73,105.23,104.65,2021.05.28 23:07:15
DKK,103.91,100.7,104.75,105.25,104.65,2021.05.28 22:43:05
DKK,103.83,100.63,104.67,105.17,104.65,2021.05.28 22:13:15
DKK,103.76,100.56,104.6,105.1,104.65,2021.05.28 21:55:33
DKK,103.65,100.45,104.49,104.99,104.65,2021.05.28 21:33:51
DKK,103.63,100.43,104.47,104.97,104.65,2021.05.28 21:29:53
DKK,103.62,100.42,104.46,104.96,104.65,2021.05.28 21:07:56
DKK,103.6,100.41,104.44,104.94,104.65,2021.05.28 20:55:26
DKK,103.64,100.44,104.48,104.98,104.65,2021.05.28 20:22:00
DKK,103.63,100.43,104.47,104.97,104.65,2021.05.28 20:15:55
DKK,103.63,100.43,104.47,104.97,104.65,2021.05.28 20:13:36
DKK,103.62,100.42,104.46,104.96,104.65,2021.05.28 20:10:29
DKK,103.61,100.41,104.45,104.95,104.65,2021.05.28 20:10:19
DKK,103.69,100.49,104.53,105.03,104.65,2021.05.28 20:01:20
DKK,103.72,100.52,104.56,105.06,104.65,2021.05.28 19:52:08
DKK,103.72,100.52,104.56,105.06,104.65,2021.05.28 19:47:02
DKK,103.74,100.54,104.58,105.08,104.65,2021.05.28 19:43:05
DKK,103.72,100.52,104.56,105.06,104.65,2021.05.28 19:34:17
DKK,103.79,100.59,104.63,105.13,104.65,2021.05.28 19:19:38
DKK,103.77,100.57,104.61,105.11,104.65,2021.05.28 18:54:14
DKK,103.75,100.55,104.59,105.09,104.65,2021.05.28 18:49:27
DKK,103.81,100.61,104.65,105.15,104.65,2021.05.28 18:38:49
DKK,103.8,100.6,104.64,105.14,104.65,2021.05.28 18:31:46
DKK,103.89,100.69,104.73,105.23,104.65,2021.05.28 18:24:38
DKK,103.88,100.68,104.72,105.22,104.65,2021.05.28 18:01:20
DKK,103.88,100.68,104.72,105.22,104.65,2021.05.28 18:00:07
DKK,103.9,100.69,104.74,105.24,104.65,2021.05.28 17:45:36
DKK,103.87,100.67,104.71,105.21,104.65,2021.05.28 17:38:35
DKK,103.92,100.71,104.76,105.26,104.65,2021.05.28 17:32:45
DKK,103.91,100.7,104.75,105.25,104.65,2021.05.28 17:31:07
DKK,103.88,100.68,104.72,105.22,104.65,2021.05.28 17:29:44
DKK,103.87,100.67,104.71,105.21,104.65,2021.05.28 17:29:30
DKK,103.85,100.65,104.69,105.19,104.65,2021.05.28 17:28:35
DKK,103.89,100.69,104.73,105.23,104.65,2021.05.28 17:19:41
DKK,103.91,100.7,104.75,105.25,104.65,2021.05.28 17:12:49
DKK,103.92,100.71,104.76,105.26,104.65,2021.05.28 17:11:15
DKK,103.89,100.69,104.73,105.23,104.65,2021.05.28 17:09:23
DKK,103.9,100.69,104.74,105.24,104.65,2021.05.28 17:03:58
DKK,103.89,100.69,104.73,105.23,104.65,2021.05.28 17:01:47
DKK,103.91,100.7,104.75,105.25,104.65,2021.05.28 16:59:49
DKK,103.9,100.69,104.74,105.24,104.65,2021.05.28 16:59:02
DKK,103.88,100.68,104.72,105.22,104.65,2021.05.28 16:56:22
DKK,103.92,100.71,104.76,105.26,104.65,2021.05.28 16:47:36
DKK,103.91,100.7,104.75,105.25,104.65,2021.05.28 16:41:49
DKK,103.89,100.69,104.73,105.23,104.65,2021.05.28 16:39:38
DKK,103.91,100.7,104.75,105.25,104.65,2021.05.28 16:37:22
DKK,103.93,100.72,104.77,105.27,104.65,2021.05.28 16:32:33
DKK,103.91,100.7,104.75,105.25,104.65,2021.05.28 16:31:33
DKK,103.93,100.72,104.77,105.27,104.65,2021.05.28 16:30:57
DKK,103.95,100.74,104.79,105.29,104.65,2021.05.28 16:30:12
DKK,103.95,100.74,104.79,105.29,104.65,2021.05.28 16:27:52
DKK,103.94,100.73,104.78,105.28,104.65,2021.05.28 16:24:04
DKK,103.95,100.74,104.79,105.29,104.65,2021.05.28 16:21:33
DKK,103.97,100.76,104.81,105.31,104.65,2021.05.28 16:20:05
DKK,103.97,100.76,104.81,105.31,104.65,2021.05.28 16:17:04
DKK,103.96,100.75,104.8,105.3,104.65,2021.05.28 16:16:13
DKK,103.96,100.75,104.8,105.3,104.65,2021.05.28 16:14:10
DKK,103.95,100.74,104.79,105.29,104.65,2021.05.28 16:12:51
DKK,103.95,100.74,104.79,105.29,104.65,2021.05.28 16:08:00
DKK,103.98,100.77,104.82,105.32,104.65,2021.05.28 16:07:32
DKK,103.96,100.75,104.8,105.3,104.65,2021.05.28 16:04:52
DKK,103.96,100.75,104.8,105.3,104.65,2021.05.28 16:02:47
DKK,103.94,100.73,104.78,105.28,104.65,2021.05.28 16:01:05
DKK,103.93,100.72,104.77,105.27,104.65,2021.05.28 16:00:01
DKK,103.94,100.73,104.78,105.28,104.65,2021.05.28 15:59:48
DKK,103.96,100.75,104.8,105.3,104.65,2021.05.28 15:58:32
DKK,103.96,100.75,104.8,105.3,104.65,2021.05.28 15:53:20
DKK,103.98,100.77,104.82,105.32,104.65,2021.05.28 15:50:04
DKK,104,100.79,104.84,105.34,104.65,2021.05.28 15:48:11
DKK,104.01,100.8,104.85,105.35,104.65,2021.05.28 15:47:50
DKK,104.01,100.8,104.85,105.35,104.65,2021.05.28 15:39:19
DKK,104,100.79,104.84,105.34,104.65,2021.05.28 15:37:49
DKK,103.99,100.78,104.83,105.33,104.65,2021.05.28 15:36:09
DKK,104,100.79,104.84,105.34,104.65,2021.05.28 15:35:40
DKK,103.98,100.77,104.82,105.32,104.65,2021.05.28 15:32:15
