CurrencyName,BuyingRate,CashBuyingRate,SellingRate,CashSellingRate,MiddleRate,PubTime
EUR,773.96,749.91,779.67,782.18,778.22,2021.05.29 10:30:00
EUR,773.96,749.91,779.67,782.18,778.22,2021.05.29 10:30:00
EUR,773.96,749.91,779.67,782.18,778.22,2021.05.29 05:30:00
EUR,773.96,749.91,779.67,782.18,778.22,2021.05.29 05:30:00
EUR,773.96,749.91,779.67,782.18,778.22,2021.05.29 05:30:00
EUR,773.96,749.91,779.67,782.18,778.22,2021.05.29 04:46:20
EUR,774.09,750.04,779.8,782.31,778.22,2021.05.29 00:00:05
EUR,774.09,750.04,779.8,782.31,778.22,2021.05.28 23:36:51
EUR,774.09,750.04,779.8,782.31,778.22,2021.05.28 23:36:51
EUR,774.09,750.04,779.8,782.31,778.22,2021.05.28 23:36:51
EUR,773.21,749.18,778.91,781.41,778.22,2021.05.28 23:07:15
EUR,773.39,749.36,779.1,781.6,778.22,2021.05.28 22:43:05
EUR,772.75,748.74,778.45,780.95,778.22,2021.05.28 22:13:15
EUR,772.18,748.19,777.87,780.38,778.22,2021.05.28 21:55:33
EUR,771.42,747.45,777.11,779.61,778.22,2021.05.28 21:33:51
EUR,771.28,747.32,776.97,779.47,778.22,2021.05.28 21:29:53
EUR,771.21,747.25,776.9,779.4,778.22,2021.05.28 21:07:56
EUR,771.08,747.12,776.77,779.27,778.22,2021.05.28 20:55:26
EUR,771.4,747.43,777.09,779.59,778.22,2021.05.28 20:22:00
EUR,771.26,747.3,776.95,779.45,778.22,2021.05.28 20:15:55
EUR,771.27,747.31,776.96,779.46,778.22,2021.05.28 20:13:36
EUR,771.21,747.25,776.9,779.4,778.22,2021.05.28 20:10:29
EUR,771.09,747.13,776.78,779.28,778.22,2021.05.28 20:10:19
EUR,771.73,747.75,777.42,779.92,778.22,2021.05.28 20:01:20
EUR,771.8,747.82,777.49,779.99,778.22,2021.05.28 19:52:08
EUR,771.94,747.95,777.63,780.13,778.22,2021.05.28 19:47:02
EUR,772.07,748.08,777.76,780.26,778.22,2021.05.28 19:43:05
EUR,771.95,747.96,777.64,780.14,778.22,2021.05.28 19:34:17
EUR,772.46,748.46,778.15,780.66,778.22,2021.05.28 19:19:38
EUR,772.28,748.28,777.97,780.48,778.22,2021.05.28 18:54:14
EUR,772.22,748.22,777.91,780.42,778.22,2021.05.28 18:49:27
EUR,772.61,748.6,778.3,780.81,778.22,2021.05.28 18:38:49
EUR,772.55,748.54,778.24,780.75,778.22,2021.05.28 18:31:46
EUR,773.17,749.14,778.87,781.37,778.22,2021.05.28 18:24:38
EUR,773.17,749.14,778.87,781.37,778.22,2021.05.28 18:01:20
EUR,773.1,749.07,778.8,781.3,778.22,2021.05.28 18:00:07
EUR,773.22,749.19,778.92,781.42,778.22,2021.05.28 17:45:36
EUR,773.1,749.07,778.8,781.3,778.22,2021.05.28 17:38:35
EUR,773.41,749.38,779.12,781.62,778.22,2021.05.28 17:32:45
EUR,773.36,749.33,779.06,781.56,778.22,2021.05.28 17:31:07
EUR,773.11,749.08,778.81,781.31,778.22,2021.05.28 17:29:44
EUR,772.98,748.96,778.68,781.18,778.22,2021.05.28 17:29:30
EUR,772.86,748.84,778.56,781.06,778.22,2021.05.28 17:28:35
EUR,773.19,749.16,778.89,781.39,778.22,2021.05.28 17:19:41
EUR,773.3,749.27,779,781.5,778.22,2021.05.28 17:12:49
EUR,773.42,749.39,779.13,781.63,778.22,2021.05.28 17:11:15
EUR,773.18,749.15,778.88,781.38,778.22,2021.05.28 17:09:23
EUR,773.31,749.28,779.01,781.51,778.22,2021.05.28 17:03:58
EUR,773.18,749.15,778.88,781.38,778.22,2021.05.28 17:01:47
EUR,773.37,749.34,779.07,781.57,778.22,2021.05.28 16:59:49
EUR,773.31,749.28,779.01,781.51,778.22,2021.05.28 16:59:02
EUR,773.12,749.09,778.82,781.32,778.22,2021.05.28 16:56:22
EUR,773.37,749.34,779.08,781.58,778.22,2021.05.28 16:47:36
EUR,773.37,749.34,779.07,781.57,778.22,2021.05.28 16:41:49
EUR,773.19,749.16,778.89,781.39,778.22,2021.05.28 16:39:38
EUR,773.37,749.34,779.08,781.58,778.22,2021.05.28 16:37:22
EUR,773.68,749.64,779.39,781.9,778.22,2021.05.28 16:32:33
EUR,773.37,749.34,779.07,781.57,778.22,2021.05.28 16:31:33
EUR,773.42,749.39,779.13,781.63,778.22,2021.05.28 16:30:57
EUR,773.61,749.58,779.32,781.83,778.22,2021.05.28 16:30:12
EUR,773.61,749.58,779.32,781.83,778.22,2021.05.28 16:27:52
EUR,773.54,749.51,779.25,781.76,778.22,2021.05.28 16:24:04
EUR,773.61,749.58,779.32,781.83,778.22,2021.05.28 16:21:33
EUR,773.73,749.69,779.44,781.95,778.22,2021.05.28 16:20:05
EUR,773.73,749.69,779.44,781.95,778.22,2021.05.28 16:17:04
EUR,773.66,749.62,779.37,781.88,778.22,2021.05.28 16:16:13
EUR,773.66,749.62,779.37,781.88,778.22,2021.05.28 16:14:10
EUR,773.73,749.69,779.44,781.95,778.22,2021.05.28 16:12:51
EUR,773.79,749.75,779.5,782.01,778.22,2021.05.28 16:08:00
EUR,773.72,749.68,779.43,781.94,778.22,2021.05.28 16:07:32
EUR,773.72,749.68,779.43,781.94,778.22,2021.05.28 16:04:52
EUR,773.65,749.62,779.36,781.87,778.22,2021.05.28 16:02:47
EUR,773.58,749.55,779.29,781.8,778.22,2021.05.28 16:01:05
EUR,773.52,749.49,779.23,781.74,778.22,2021.05.28 16:00:01
EUR,773.58,749.55,779.29,781.8,778.22,2021.05.28 15:59:48
EUR,773.77,749.73,779.48,781.99,778.22,2021.05.28 15:58:32
EUR,773.7,749.66,779.41,781.92,778.22,2021.05.28 15:53:20
EUR,773.95,749.9,779.66,782.17,778.22,2021.05.28 15:50:04
EUR,773.95,749.9,779.66,782.17,778.22,2021.05.28 15:48:11
EUR,774.01,749.96,779.72,782.23,778.22,2021.05.28 15:47:50
EUR,774.01,749.96,779.72,782.23,778.22,2021.05.28 15:39:19
EUR,774,749.95,779.71,782.22,778.22,2021.05.28 15:37:49
EUR,773.88,749.84,779.59,782.1,778.22,2021.05.28 15:36:09
EUR,773.94,749.9,779.65,782.16,778.22,2021.05.28 15:35:40
EUR,773.81,749.77,779.52,782.03,778.22,2021.05.28 15:32:15
EUR,773.87,749.83,779.58,782.09,778.22,2021.05.28 15:30:09
EUR,773.94,749.9,779.65,782.16,778.22,2021.05.28 15:26:31
EUR,773.68,749.64,779.39,781.9,778.22,2021.05.28 15:23:10
EUR,773.68,749.64,779.39,781.9,778.22,2021.05.28 15:22:48
EUR,774,749.95,779.71,782.22,778.22,2021.05.28 15:21:18
EUR,773.87,749.83,779.58,782.09,778.22,2021.05.28 15:18:05
EUR,773.81,749.77,779.52,782.03,778.22,2021.05.28 15:16:09
EUR,773.75,749.71,779.46,781.97,778.22,2021.05.28 15:15:40
EUR,773.88,749.84,779.59,782.1,778.22,2021.05.28 15:14:46
EUR,773.63,749.6,779.34,781.85,778.22,2021.05.28 15:12:49
EUR,773.63,749.6,779.34,781.85,778.22,2021.05.28 15:09:26
EUR,773.76,749.72,779.47,781.98,778.22,2021.05.28 15:08:17
EUR,773.69,749.65,779.4,781.91,778.22,2021.05.28 15:06:07
EUR,773.37,749.34,779.08,781.58,778.22,2021.05.28 15:03:14
EUR,773.57,749.54,779.28,781.79,778.22,2021.05.28 15:00:59
EUR,773.57,749.54,779.28,781.79,778.22,2021.05.28 15:00:09
EUR,773.5,749.47,779.21,781.72,778.22,2021.05.28 14:58:40
EUR,773.5,749.47,779.21,781.72,778.22,2021.05.28 14:56:40
EUR,773.37,749.34,779.08,781.58,778.22,2021.05.28 14:53:46
EUR,773.19,749.16,778.89,781.39,778.22,2021.05.28 14:49:18
EUR,773.63,749.6,779.34,781.85,778.22,2021.05.28 14:44:50
EUR,773.63,749.6,779.34,781.85,778.22,2021.05.28 14:43:29
EUR,773.57,749.54,779.28,781.79,778.22,2021.05.28 14:36:18
EUR,773.63,749.6,779.34,781.85,778.22,2021.05.28 14:35:42
EUR,773.37,749.34,779.08,781.58,778.22,2021.05.28 14:30:34
EUR,773.25,749.22,778.95,781.45,778.22,2021.05.28 14:25:35
EUR,773.25,749.22,778.95,781.45,778.22,2021.05.28 14:22:48
EUR,773.12,749.09,778.82,781.32,778.22,2021.05.28 14:19:26
EUR,773.12,749.09,778.82,781.32,778.22,2021.05.28 14:17:54
EUR,773.19,749.16,778.89,781.39,778.22,2021.05.28 14:14:29
EUR,773.12,749.09,778.82,781.32,778.22,2021.05.28 14:12:15
EUR,773.06,749.04,778.76,781.26,778.22,2021.05.28 14:11:38
EUR,773.19,749.16,778.89,781.39,778.22,2021.05.28 14:10:52
EUR,773.2,749.17,778.9,781.4,778.22,2021.05.28 14:05:23
EUR,773.13,749.1,778.83,781.33,778.22,2021.05.28 14:01:46
EUR,773.13,749.1,778.83,781.33,778.22,2021.05.28 14:01:04
EUR,773.14,749.11,778.84,781.34,778.22,2021.05.28 13:55:10
EUR,773.01,748.99,778.71,781.21,778.22,2021.05.28 13:53:32
EUR,773.02,749,778.72,781.22,778.22,2021.05.28 13:44:22
EUR,773.02,749,778.72,781.22,778.22,2021.05.28 13:43:47
EUR,773.02,749,778.72,781.22,778.22,2021.05.28 13:42:45
EUR,773.09,749.06,778.79,781.29,778.22,2021.05.28 13:42:17
EUR,773.28,749.25,778.98,781.48,778.22,2021.05.28 13:42:11
EUR,773.09,749.06,778.79,781.29,778.22,2021.05.28 13:32:59
EUR,773.09,749.06,778.79,781.29,778.22,2021.05.28 13:22:38
EUR,773.53,749.5,779.24,781.75,778.22,2021.05.28 12:22:17
EUR,773.53,749.5,779.24,781.75,778.22,2021.05.28 12:13:40
EUR,773.65,749.62,779.36,781.87,778.22,2021.05.28 12:12:26
EUR,773.52,749.49,779.23,781.74,778.22,2021.05.28 12:06:00
EUR,773.58,749.55,779.29,781.8,778.22,2021.05.28 12:05:08
EUR,773.58,749.55,779.29,781.8,778.22,2021.05.28 11:59:25
EUR,773.64,749.61,779.35,781.86,778.22,2021.05.28 11:56:01
EUR,773.64,749.61,779.35,781.86,778.22,2021.05.28 11:53:03
EUR,773.58,749.55,779.29,781.8,778.22,2021.05.28 11:49:16
EUR,773.58,749.55,779.29,781.8,778.22,2021.05.28 11:46:59
EUR,773.64,749.61,779.35,781.86,778.22,2021.05.28 11:41:23
EUR,773.64,749.61,779.35,781.86,778.22,2021.05.28 11:34:55
EUR,773.7,749.66,779.41,781.92,778.22,2021.05.28 11:29:31
