CurrencyName,BuyingRate,CashBuyingRate,SellingRate,CashSellingRate,MiddleRate,PubTime
GBP,900.79,872.8,907.42,911.43,906.54,2021.05.29 10:30:00
GBP,900.79,872.8,907.42,911.43,906.54,2021.05.29 10:30:00
GBP,900.79,872.8,907.42,911.43,906.54,2021.05.29 05:30:00
GBP,900.79,872.8,907.42,911.43,906.54,2021.05.29 05:30:00
GBP,900.79,872.8,907.42,911.43,906.54,2021.05.29 05:30:00
GBP,900.79,872.8,907.42,911.43,906.54,2021.05.29 04:46:20
GBP,900.66,872.67,907.29,911.3,906.54,2021.05.29 00:00:05
GBP,900.66,872.67,907.29,911.3,906.54,2021.05.28 23:36:51
GBP,900.66,872.67,907.29,911.3,906.54,2021.05.28 23:36:51
GBP,900.66,872.67,907.29,911.3,906.54,2021.05.28 23:36:51
GBP,899.9,871.94,906.53,910.53,906.54,2021.05.28 23:07:15
GBP,898.62,870.7,905.24,909.24,906.54,2021.05.28 22:43:05
GBP,899.1,871.16,905.72,909.73,906.54,2021.05.28 22:13:15
GBP,899.1,871.16,905.72,909.73,906.54,2021.05.28 21:55:33
GBP,898.84,870.91,905.46,909.47,906.54,2021.05.28 21:33:51
GBP,898.35,870.44,904.97,908.97,906.54,2021.05.28 21:29:53
GBP,898.93,871,905.55,909.56,906.54,2021.05.28 21:07:56
GBP,898.44,870.53,905.06,909.06,906.54,2021.05.28 20:55:26
GBP,899.06,871.13,905.68,909.69,906.54,2021.05.28 20:22:00
GBP,899.41,871.46,906.03,910.04,906.54,2021.05.28 20:15:55
GBP,899.14,871.2,905.76,909.77,906.54,2021.05.28 20:13:36
GBP,898.93,871,905.55,909.56,906.54,2021.05.28 20:10:29
GBP,898.79,870.87,905.41,909.41,906.54,2021.05.28 20:10:19
GBP,899.1,871.16,905.72,909.73,906.54,2021.05.28 20:01:20
GBP,899.02,871.09,905.64,909.65,906.54,2021.05.28 19:52:08
GBP,899.13,871.19,905.75,909.76,906.54,2021.05.28 19:47:02
GBP,899.05,871.12,905.67,909.68,906.54,2021.05.28 19:43:05
GBP,898.97,871.04,905.59,909.6,906.54,2021.05.28 19:34:17
GBP,899.02,871.09,905.64,909.65,906.54,2021.05.28 19:19:38
GBP,899.26,871.32,905.88,909.89,906.54,2021.05.28 18:54:14
GBP,899,871.07,905.62,909.63,906.54,2021.05.28 18:49:27
GBP,899.3,871.36,905.92,909.93,906.54,2021.05.28 18:38:49
GBP,899.22,871.28,905.84,909.85,906.54,2021.05.28 18:31:46
GBP,899.76,871.8,906.39,910.39,906.54,2021.05.28 18:24:38
GBP,899.78,871.82,906.41,910.41,906.54,2021.05.28 18:01:20
GBP,899.85,871.89,906.48,910.48,906.54,2021.05.28 18:00:07
GBP,899.99,872.02,906.62,910.63,906.54,2021.05.28 17:45:36
GBP,899.85,871.89,906.48,910.48,906.54,2021.05.28 17:38:35
GBP,900.04,872.07,906.67,910.68,906.54,2021.05.28 17:32:45
GBP,900.1,872.13,906.73,910.74,906.54,2021.05.28 17:31:07
GBP,899.96,871.99,906.59,910.59,906.54,2021.05.28 17:29:44
GBP,899.82,871.86,906.45,910.45,906.54,2021.05.28 17:29:30
GBP,899.61,871.66,906.23,910.24,906.54,2021.05.28 17:28:35
GBP,899.59,871.64,906.21,910.22,906.54,2021.05.28 17:19:41
GBP,899.94,871.98,906.57,910.57,906.54,2021.05.28 17:12:49
GBP,900.27,872.29,906.9,910.91,906.54,2021.05.28 17:11:15
GBP,900.05,872.08,906.68,910.69,906.54,2021.05.28 17:09:23
GBP,899.85,871.89,906.48,910.48,906.54,2021.05.28 17:03:58
GBP,900.05,872.08,906.68,910.69,906.54,2021.05.28 17:01:47
GBP,900.24,872.27,906.87,910.88,906.54,2021.05.28 16:59:49
GBP,900.25,872.28,906.88,910.89,906.54,2021.05.28 16:59:02
GBP,900.11,872.14,906.74,910.75,906.54,2021.05.28 16:56:22
GBP,900.29,872.31,906.92,910.93,906.54,2021.05.28 16:47:36
GBP,900.43,872.45,907.06,911.07,906.54,2021.05.28 16:41:49
GBP,900.04,872.07,906.67,910.68,906.54,2021.05.28 16:39:38
GBP,900.22,872.25,906.85,910.86,906.54,2021.05.28 16:37:22
GBP,900.01,872.04,906.64,910.65,906.54,2021.05.28 16:32:33
GBP,900,872.03,906.63,910.64,906.54,2021.05.28 16:31:33
GBP,900.01,872.04,906.64,910.65,906.54,2021.05.28 16:30:57
GBP,900.2,872.23,906.83,910.84,906.54,2021.05.28 16:30:12
GBP,900.53,872.55,907.16,911.17,906.54,2021.05.28 16:27:52
GBP,900.92,872.92,907.55,911.56,906.54,2021.05.28 16:24:04
GBP,900.78,872.79,907.41,911.42,906.54,2021.05.28 16:21:33
GBP,900.98,872.98,907.61,911.62,906.54,2021.05.28 16:20:05
GBP,900.54,872.56,907.17,911.18,906.54,2021.05.28 16:17:04
GBP,900.62,872.63,907.25,911.26,906.54,2021.05.28 16:16:13
GBP,900.86,872.86,907.49,911.5,906.54,2021.05.28 16:14:10
GBP,900.66,872.67,907.29,911.3,906.54,2021.05.28 16:12:51
GBP,900.61,872.62,907.24,911.25,906.54,2021.05.28 16:08:00
GBP,900.69,872.7,907.32,911.33,906.54,2021.05.28 16:07:32
GBP,900.76,872.77,907.39,911.4,906.54,2021.05.28 16:04:52
GBP,900.84,872.84,907.47,911.48,906.54,2021.05.28 16:02:47
GBP,900.79,872.8,907.42,911.43,906.54,2021.05.28 16:01:05
GBP,900.52,872.54,907.15,911.16,906.54,2021.05.28 16:00:01
GBP,900.66,872.67,907.29,911.3,906.54,2021.05.28 15:59:48
GBP,900.74,872.75,907.37,911.38,906.54,2021.05.28 15:58:32
GBP,900.36,872.38,906.99,911,906.54,2021.05.28 15:53:20
GBP,900.62,872.63,907.25,911.26,906.54,2021.05.28 15:50:04
GBP,900.76,872.77,907.39,911.4,906.54,2021.05.28 15:48:11
GBP,900.89,872.89,907.52,911.53,906.54,2021.05.28 15:47:50
GBP,900.84,872.84,907.47,911.48,906.54,2021.05.28 15:39:19
GBP,900.85,872.85,907.48,911.49,906.54,2021.05.28 15:37:49
GBP,900.72,872.73,907.35,911.36,906.54,2021.05.28 15:36:09
GBP,900.53,872.55,907.16,911.17,906.54,2021.05.28 15:35:40
GBP,900.73,872.74,907.36,911.37,906.54,2021.05.28 15:32:15
GBP,900.74,872.75,907.37,911.38,906.54,2021.05.28 15:30:09
GBP,900.48,872.5,907.11,911.12,906.54,2021.05.28 15:26:31
GBP,900.42,872.44,907.05,911.06,906.54,2021.05.28 15:23:10
GBP,900.49,872.51,907.12,911.13,906.54,2021.05.28 15:22:48
GBP,900.8,872.81,907.43,911.44,906.54,2021.05.28 15:21:18
GBP,900.99,872.99,907.62,911.63,906.54,2021.05.28 15:18:05
GBP,900.91,872.91,907.54,911.55,906.54,2021.05.28 15:16:09
GBP,900.84,872.84,907.47,911.48,906.54,2021.05.28 15:15:40
GBP,900.96,872.96,907.59,911.6,906.54,2021.05.28 15:14:46
GBP,900.96,872.96,907.59,911.6,906.54,2021.05.28 15:12:49
GBP,900.95,872.95,907.58,911.59,906.54,2021.05.28 15:09:26
GBP,901.14,873.14,907.78,911.79,906.54,2021.05.28 15:08:17
GBP,901.27,873.27,907.91,911.93,906.54,2021.05.28 15:06:07
GBP,901.33,873.33,907.97,911.99,906.54,2021.05.28 15:03:14
GBP,901.45,873.44,908.09,912.11,906.54,2021.05.28 15:00:59
GBP,901.39,873.39,908.03,912.05,906.54,2021.05.28 15:00:09
GBP,901.21,873.21,907.85,911.87,906.54,2021.05.28 14:58:40
GBP,901.15,873.15,907.79,911.81,906.54,2021.05.28 14:56:40
GBP,901.1,873.11,907.74,911.75,906.54,2021.05.28 14:53:46
GBP,900.65,872.66,907.28,911.29,906.54,2021.05.28 14:49:18
GBP,901.01,873.02,907.65,911.66,906.54,2021.05.28 14:44:50
GBP,901,873.01,907.64,911.65,906.54,2021.05.28 14:43:29
GBP,900.89,872.89,907.52,911.53,906.54,2021.05.28 14:36:18
GBP,900.96,872.96,907.59,911.6,906.54,2021.05.28 14:35:42
GBP,900.97,872.97,907.6,911.61,906.54,2021.05.28 14:30:34
GBP,900.65,872.66,907.28,911.29,906.54,2021.05.28 14:25:35
GBP,900.47,872.49,907.1,911.11,906.54,2021.05.28 14:22:48
GBP,900.46,872.48,907.09,911.1,906.54,2021.05.28 14:19:26
GBP,900.53,872.55,907.16,911.17,906.54,2021.05.28 14:17:54
GBP,900.58,872.59,907.21,911.22,906.54,2021.05.28 14:14:29
GBP,900.91,872.91,907.54,911.55,906.54,2021.05.28 14:12:15
GBP,900.65,872.66,907.28,911.29,906.54,2021.05.28 14:11:38
GBP,900.83,872.84,907.46,911.47,906.54,2021.05.28 14:10:52
GBP,900.75,872.76,907.38,911.39,906.54,2021.05.28 14:05:23
GBP,900.7,872.71,907.33,911.34,906.54,2021.05.28 14:01:46
GBP,900.69,872.7,907.32,911.33,906.54,2021.05.28 14:01:04
GBP,900.43,872.45,907.06,911.07,906.54,2021.05.28 13:55:10
GBP,900.42,872.44,907.05,911.06,906.54,2021.05.28 13:53:32
GBP,900.35,872.37,906.98,910.99,906.54,2021.05.28 13:44:22
GBP,900.4,872.42,907.03,911.04,906.54,2021.05.28 13:43:47
GBP,900.4,872.42,907.03,911.04,906.54,2021.05.28 13:42:45
GBP,900.39,872.41,907.02,911.03,906.54,2021.05.28 13:42:17
GBP,900.4,872.42,907.03,911.04,906.54,2021.05.28 13:42:11
GBP,900.51,872.53,907.14,911.15,906.54,2021.05.28 13:32:59
GBP,900.63,872.64,907.26,911.27,906.54,2021.05.28 13:22:38
GBP,900.88,872.88,907.51,911.52,906.54,2021.05.28 12:22:17
GBP,900.96,872.96,907.59,911.6,906.54,2021.05.28 12:13:40
GBP,901.09,873.1,907.73,911.74,906.54,2021.05.28 12:12:26
GBP,900.91,872.91,907.54,911.55,906.54,2021.05.28 12:06:00
GBP,900.91,872.91,907.54,911.55,906.54,2021.05.28 12:05:08
GBP,900.98,872.98,907.61,911.62,906.54,2021.05.28 11:59:25
GBP,901.04,873.05,907.68,911.69,906.54,2021.05.28 11:56:01
GBP,900.86,872.86,907.49,911.5,906.54,2021.05.28 11:53:03
GBP,900.72,872.73,907.35,911.36,906.54,2021.05.28 11:49:16
GBP,900.86,872.86,907.49,911.5,906.54,2021.05.28 11:46:59
GBP,900.86,872.86,907.49,911.5,906.54,2021.05.28 11:41:23
GBP,900.87,872.87,907.5,911.51,906.54,2021.05.28 11:34:55
GBP,901.12,873.12,907.76,911.77,906.54,2021.05.28 11:29:31
GBP,901.07,873.08,907.71,911.72,906.54,2021.05.28 11:21:30
GBP,901.14,873.14,907.78,911.79,906.54,2021.05.28 11:18:16
