CurrencyName,BuyingRate,CashBuyingRate,SellingRate,CashSellingRate,MiddleRate,PubTime
HKD,81.88,81.23,82.2,82.2,82.28,2021.05.29 10:30:00
HKD,81.88,81.23,82.2,82.2,82.28,2021.05.29 10:30:00
HKD,81.88,81.23,82.2,82.2,82.28,2021.05.29 05:30:00
HKD,81.88,81.23,82.2,82.2,82.28,2021.05.29 05:30:00
HKD,81.88,81.23,82.2,82.2,82.28,2021.05.29 05:30:00
HKD,81.88,81.23,82.2,82.2,82.28,2021.05.29 04:46:20
HKD,81.89,81.24,82.21,82.21,82.28,2021.05.29 00:00:05
HKD,81.89,81.24,82.21,82.21,82.28,2021.05.28 23:36:51
HKD,81.89,81.24,82.21,82.21,82.28,2021.05.28 23:36:51
HKD,81.89,81.24,82.21,82.21,82.28,2021.05.28 23:36:51
HKD,81.89,81.24,82.21,82.21,82.28,2021.05.28 23:07:15
HKD,81.89,81.24,82.21,82.21,82.28,2021.05.28 22:43:05
HKD,81.91,81.26,82.23,82.23,82.28,2021.05.28 22:13:15
HKD,81.91,81.26,82.23,82.23,82.28,2021.05.28 21:55:33
HKD,81.91,81.26,82.23,82.23,82.28,2021.05.28 21:33:51
HKD,81.92,81.27,82.24,82.24,82.28,2021.05.28 21:29:53
HKD,81.94,81.29,82.27,82.27,82.28,2021.05.28 21:07:56
HKD,81.95,81.3,82.28,82.28,82.28,2021.05.28 20:55:26
HKD,81.93,81.28,82.26,82.26,82.28,2021.05.28 20:22:00
HKD,81.96,81.31,82.29,82.29,82.28,2021.05.28 20:15:55
HKD,81.94,81.29,82.27,82.27,82.28,2021.05.28 20:13:36
HKD,81.93,81.28,82.26,82.26,82.28,2021.05.28 20:10:29
HKD,81.92,81.27,82.24,82.24,82.28,2021.05.28 20:10:19
HKD,81.91,81.26,82.23,82.23,82.28,2021.05.28 20:01:20
HKD,81.89,81.24,82.21,82.21,82.28,2021.05.28 19:52:08
HKD,81.88,81.23,82.2,82.2,82.28,2021.05.28 19:47:02
HKD,81.86,81.21,82.18,82.18,82.28,2021.05.28 19:43:05
HKD,81.85,81.2,82.17,82.17,82.28,2021.05.28 19:34:17
HKD,81.84,81.19,82.16,82.16,82.28,2021.05.28 19:19:38
HKD,81.83,81.18,82.15,82.15,82.28,2021.05.28 18:54:14
HKD,81.82,81.17,82.14,82.14,82.28,2021.05.28 18:49:27
HKD,81.81,81.16,82.13,82.13,82.28,2021.05.28 18:38:49
HKD,81.8,81.15,82.12,82.12,82.28,2021.05.28 18:31:46
HKD,81.82,81.17,82.14,82.14,82.28,2021.05.28 18:24:38
HKD,81.84,81.19,82.16,82.16,82.28,2021.05.28 18:01:20
HKD,81.85,81.2,82.17,82.17,82.28,2021.05.28 18:00:07
HKD,81.86,81.21,82.18,82.18,82.28,2021.05.28 17:45:36
HKD,81.85,81.2,82.17,82.17,82.28,2021.05.28 17:38:35
HKD,81.84,81.19,82.16,82.16,82.28,2021.05.28 17:32:45
HKD,81.84,81.19,82.16,82.16,82.28,2021.05.28 17:31:07
HKD,81.83,81.18,82.15,82.15,82.28,2021.05.28 17:29:44
HKD,81.82,81.17,82.14,82.14,82.28,2021.05.28 17:29:30
HKD,81.8,81.15,82.12,82.12,82.28,2021.05.28 17:28:35
HKD,81.79,81.14,82.11,82.11,82.28,2021.05.28 17:19:41
HKD,81.82,81.17,82.14,82.14,82.28,2021.05.28 17:12:49
HKD,81.83,81.18,82.15,82.15,82.28,2021.05.28 17:11:15
HKD,81.81,81.16,82.13,82.13,82.28,2021.05.28 17:09:23
HKD,81.79,81.14,82.11,82.11,82.28,2021.05.28 17:03:58
HKD,81.8,81.15,82.12,82.12,82.28,2021.05.28 17:01:47
HKD,81.8,81.15,82.12,82.12,82.28,2021.05.28 16:59:49
HKD,81.81,81.16,82.13,82.13,82.28,2021.05.28 16:59:02
HKD,81.81,81.16,82.13,82.13,82.28,2021.05.28 16:56:22
HKD,81.79,81.14,82.11,82.11,82.28,2021.05.28 16:47:36
HKD,81.8,81.15,82.12,82.12,82.28,2021.05.28 16:41:49
HKD,81.79,81.14,82.11,82.11,82.28,2021.05.28 16:39:38
HKD,81.79,81.14,82.11,82.11,82.28,2021.05.28 16:37:22
HKD,81.82,81.17,82.14,82.14,82.28,2021.05.28 16:32:33
HKD,81.81,81.16,82.13,82.13,82.28,2021.05.28 16:31:33
HKD,81.82,81.17,82.14,82.14,82.28,2021.05.28 16:30:57
HKD,81.82,81.17,82.14,82.14,82.28,2021.05.28 16:30:12
HKD,81.83,81.18,82.15,82.15,82.28,2021.05.28 16:27:52
HKD,81.84,81.19,82.16,82.16,82.28,2021.05.28 16:24:04
HKD,81.83,81.18,82.15,82.15,82.28,2021.05.28 16:21:33
HKD,81.83,81.18,82.15,82.15,82.28,2021.05.28 16:20:05
HKD,81.84,81.19,82.16,82.16,82.28,2021.05.28 16:17:04
HKD,81.85,81.2,82.17,82.17,82.28,2021.05.28 16:16:13
HKD,81.85,81.2,82.17,82.17,82.28,2021.05.28 16:14:10
HKD,81.83,81.18,82.15,82.15,82.28,2021.05.28 16:12:51
HKD,81.85,81.2,82.17,82.17,82.28,2021.05.28 16:08:00
HKD,81.87,81.22,82.19,82.19,82.28,2021.05.28 16:07:32
HKD,81.87,81.22,82.19,82.19,82.28,2021.05.28 16:04:52
HKD,81.88,81.23,82.2,82.2,82.28,2021.05.28 16:02:47
HKD,81.89,81.24,82.21,82.21,82.28,2021.05.28 16:01:05
HKD,81.89,81.24,82.21,82.21,82.28,2021.05.28 16:00:01
HKD,81.89,81.24,82.21,82.21,82.28,2021.05.28 15:59:48
HKD,81.91,81.26,82.23,82.23,82.28,2021.05.28 15:58:32
HKD,81.91,81.26,82.23,82.23,82.28,2021.05.28 15:53:20
HKD,81.92,81.27,82.24,82.24,82.28,2021.05.28 15:50:04
HKD,81.92,81.27,82.24,82.24,82.28,2021.05.28 15:48:11
HKD,81.93,81.28,82.26,82.26,82.28,2021.05.28 15:47:50
HKD,81.94,81.29,82.27,82.27,82.28,2021.05.28 15:39:19
HKD,81.95,81.3,82.28,82.28,82.28,2021.05.28 15:37:49
HKD,81.94,81.29,82.27,82.27,82.28,2021.05.28 15:36:09
HKD,81.95,81.3,82.28,82.28,82.28,2021.05.28 15:35:40
HKD,81.96,81.31,82.29,82.29,82.28,2021.05.28 15:32:15
HKD,81.96,81.31,82.29,82.29,82.28,2021.05.28 15:30:09
HKD,81.96,81.31,82.29,82.29,82.28,2021.05.28 15:26:31
HKD,81.97,81.32,82.3,82.3,82.28,2021.05.28 15:23:10
HKD,81.97,81.32,82.3,82.3,82.28,2021.05.28 15:22:48
HKD,81.97,81.32,82.3,82.3,82.28,2021.05.28 15:21:18
HKD,81.97,81.32,82.3,82.3,82.28,2021.05.28 15:18:05
HKD,81.95,81.3,82.28,82.28,82.28,2021.05.28 15:16:09
HKD,81.95,81.3,82.28,82.28,82.28,2021.05.28 15:15:40
HKD,81.94,81.29,82.27,82.27,82.28,2021.05.28 15:14:46
HKD,81.94,81.29,82.27,82.27,82.28,2021.05.28 15:12:49
HKD,81.94,81.29,82.27,82.27,82.28,2021.05.28 15:09:26
HKD,81.94,81.29,82.27,82.27,82.28,2021.05.28 15:08:17
HKD,81.95,81.3,82.28,82.28,82.28,2021.05.28 15:06:07
HKD,81.94,81.29,82.27,82.27,82.28,2021.05.28 15:03:14
HKD,81.94,81.29,82.27,82.27,82.28,2021.05.28 15:00:59
HKD,81.94,81.29,82.27,82.27,82.28,2021.05.28 15:00:09
HKD,81.95,81.3,82.28,82.28,82.28,2021.05.28 14:58:40
HKD,81.96,81.31,82.29,82.29,82.28,2021.05.28 14:56:40
HKD,81.96,81.31,82.29,82.29,82.28,2021.05.28 14:53:46
HKD,81.96,81.31,82.29,82.29,82.28,2021.05.28 14:49:18
HKD,81.94,81.29,82.27,82.27,82.28,2021.05.28 14:44:50
HKD,81.94,81.29,82.27,82.27,82.28,2021.05.28 14:43:29
HKD,81.94,81.29,82.27,82.27,82.28,2021.05.28 14:36:18
HKD,81.95,81.3,82.28,82.28,82.28,2021.05.28 14:35:42
HKD,81.96,81.31,82.29,82.29,82.28,2021.05.28 14:30:34
HKD,81.96,81.31,82.29,82.29,82.28,2021.05.28 14:25:35
HKD,81.97,81.32,82.3,82.3,82.28,2021.05.28 14:22:48
HKD,81.96,81.31,82.29,82.29,82.28,2021.05.28 14:19:26
HKD,81.96,81.31,82.29,82.29,82.28,2021.05.28 14:17:54
HKD,81.95,81.3,82.28,82.28,82.28,2021.05.28 14:14:29
HKD,81.96,81.31,82.29,82.29,82.28,2021.05.28 14:12:15
HKD,81.96,81.31,82.29,82.29,82.28,2021.05.28 14:11:38
HKD,81.95,81.3,82.28,82.28,82.28,2021.05.28 14:10:52
HKD,81.94,81.29,82.27,82.27,82.28,2021.05.28 14:05:23
HKD,81.94,81.29,82.27,82.27,82.28,2021.05.28 14:01:46
HKD,81.94,81.29,82.27,82.27,82.28,2021.05.28 14:01:04
HKD,81.93,81.28,82.26,82.26,82.28,2021.05.28 13:55:10
HKD,81.93,81.28,82.26,82.26,82.28,2021.05.28 13:53:32
HKD,81.92,81.27,82.24,82.24,82.28,2021.05.28 13:44:22
HKD,81.91,81.26,82.23,82.23,82.28,2021.05.28 13:43:47
HKD,81.91,81.26,82.23,82.23,82.28,2021.05.28 13:42:45
HKD,81.9,81.25,82.22,82.22,82.28,2021.05.28 13:42:17
HKD,81.91,81.26,82.23,82.23,82.28,2021.05.28 13:42:11
HKD,81.9,81.25,82.22,82.22,82.28,2021.05.28 13:32:59
HKD,81.89,81.24,82.21,82.21,82.28,2021.05.28 13:22:38
HKD,81.89,81.24,82.21,82.21,82.28,2021.05.28 12:22:17
HKD,81.9,81.25,82.22,82.22,82.28,2021.05.28 12:13:40
HKD,81.91,81.26,82.23,82.23,82.28,2021.05.28 12:12:26
HKD,81.91,81.26,82.23,82.23,82.28,2021.05.28 12:06:00
HKD,81.91,81.26,82.23,82.23,82.28,2021.05.28 12:05:08
HKD,81.92,81.27,82.24,82.24,82.28,2021.05.28 11:59:25
HKD,81.92,81.27,82.24,82.24,82.28,2021.05.28 11:56:01
HKD,81.92,81.27,82.24,82.24,82.28,2021.05.28 11:53:03
HKD,81.91,81.26,82.23,82.23,82.28,2021.05.28 11:49:16
HKD,81.92,81.27,82.24,82.24,82.28,2021.05.28 11:46:59
HKD,81.93,81.28,82.26,82.26,82.28,2021.05.28 11:41:23
HKD,81.93,81.28,82.26,82.26,82.28,2021.05.28 11:34:55
HKD,81.94,81.29,82.27,82.27,82.28,2021.05.28 11:29:31
HKD,81.94,81.29,82.27,82.27,82.28,2021.05.28 11:21:30
HKD,81.95,81.3,82.28,82.28,82.28,2021.05.28 11:18:16
HKD,81.96,81.31,82.29,82.29,82.28,2021.05.28 11:15:44
HKD,81.96,81.31,82.29,82.29,82.28,2021.05.28 11:11:46
HKD,81.97,81.32,82.3,82.3,82.28,2021.05.28 11:00:54
HKD,81.97,81.32,82.3,82.3,82.28,2021.05.28 10:57:15
HKD,81.98,81.33,82.31,82.31,82.28,2021.05.28 10:52:15
HKD,81.99,81.34,82.32,82.32,82.28,2021.05.28 10:46:15
HKD,81.99,81.34,82.32,82.32,82.28,2021.05.28 10:40:39
HKD,82,81.35,82.33,82.33,82.28,2021.05.28 10:35:42
HKD,82,81.35,82.33,82.33,82.28,2021.05.28 10:31:16
HKD,81.99,81.34,82.32,82.32,82.28,2021.05.28 10:30:00
HKD,82,81.35,82.33,82.33,82.28,2021.05.28 10:30:12
HKD,81.99,81.34,82.32,82.32,82.28,2021.05.28 10:30:00
HKD,81.99,81.34,82.32,82.32,82.28,2021.05.28 10:30:00
HKD,81.99,81.34,82.32,82.32,82.28,2021.05.28 10:20:48
HKD,81.99,81.34,82.32,82.32,82.28,2021.05.28 10:18:51
HKD,81.98,81.33,82.31,82.31,82.28,2021.05.28 10:17:02
HKD,81.98,81.33,82.31,82.31,82.28,2021.05.28 10:11:58
HKD,81.98,81.33,82.31,82.31,82.28,2021.05.28 10:11:58
HKD,81.98,81.33,82.31,82.31,82.28,2021.05.28 10:10:34
HKD,81.99,81.34,82.32,82.32,82.28,2021.05.28 10:10:15
HKD,81.99,81.34,82.32,82.32,82.28,2021.05.28 10:10:15
HKD,81.99,81.34,82.32,82.32,82.28,2021.05.28 10:10:03
HKD,81.99,81.34,82.32,82.32,82.28,2021.05.28 09:57:22
HKD,81.99,81.34,82.32,82.32,82.28,2021.05.28 09:52:30
