CurrencyName,BuyingRate,CashBuyingRate,SellingRate,CashSellingRate,MiddleRate,PubTime
IDR,,0.0431,,0.0465,,2021.05.29 10:30:00
IDR,,0.0431,,0.0465,,2021.05.29 10:30:00
IDR,,0.0431,,0.0465,,2021.05.29 05:30:00
IDR,,0.0431,,0.0465,,2021.05.29 05:30:00
IDR,,0.0431,,0.0465,,2021.05.29 05:30:00
IDR,,0.0431,,0.0465,,2021.05.29 04:46:20
IDR,,0.0431,,0.0465,,2021.05.29 00:00:05
IDR,,0.0431,,0.0465,,2021.05.28 23:36:51
IDR,,0.0431,,0.0465,,2021.05.28 23:36:51
IDR,,0.0431,,0.0465,,2021.05.28 23:36:51
IDR,,0.0431,,0.0465,,2021.05.28 23:07:15
IDR,,0.0431,,0.0465,,2021.05.28 22:43:05
IDR,,0.0431,,0.0465,,2021.05.28 22:13:15
IDR,,0.0431,,0.0465,,2021.05.28 21:55:33
IDR,,0.0431,,0.0465,,2021.05.28 21:33:51
IDR,,0.0431,,0.0465,,2021.05.28 21:29:53
IDR,,0.0431,,0.0465,,2021.05.28 21:07:56
IDR,,0.0431,,0.0465,,2021.05.28 20:55:26
IDR,,0.0431,,0.0465,,2021.05.28 20:22:00
IDR,,0.0431,,0.0465,,2021.05.28 20:15:55
IDR,,0.0431,,0.0465,,2021.05.28 20:13:36
IDR,,0.0431,,0.0465,,2021.05.28 20:10:29
IDR,,0.0431,,0.0465,,2021.05.28 20:10:19
IDR,,0.0431,,0.0465,,2021.05.28 20:01:20
IDR,,0.0431,,0.0465,,2021.05.28 19:52:08
IDR,,0.0431,,0.0465,,2021.05.28 19:47:02
IDR,,0.0431,,0.0465,,2021.05.28 19:43:05
IDR,,0.0431,,0.0465,,2021.05.28 19:34:17
IDR,,0.0431,,0.0465,,2021.05.28 19:19:38
IDR,,0.0431,,0.0465,,2021.05.28 18:54:14
IDR,,0.043,,0.0464,,2021.05.28 18:49:27
IDR,,0.043,,0.0464,,2021.05.28 18:38:49
IDR,,0.043,,0.0464,,2021.05.28 18:31:46
IDR,,0.043,,0.0464,,2021.05.28 18:24:38
IDR,,0.0431,,0.0465,,2021.05.28 18:01:20
IDR,,0.0431,,0.0465,,2021.05.28 18:00:07
IDR,,0.0431,,0.0465,,2021.05.28 17:45:36
IDR,,0.0431,,0.0465,,2021.05.28 17:38:35
IDR,,0.0431,,0.0465,,2021.05.28 17:32:45
IDR,,0.0431,,0.0465,,2021.05.28 17:31:07
IDR,,0.043,,0.0464,,2021.05.28 17:29:44
IDR,,0.043,,0.0464,,2021.05.28 17:29:30
IDR,,0.043,,0.0464,,2021.05.28 17:28:35
IDR,,0.043,,0.0464,,2021.05.28 17:19:41
IDR,,0.043,,0.0464,,2021.05.28 17:12:49
IDR,,0.043,,0.0464,,2021.05.28 17:11:15
IDR,,0.043,,0.0464,,2021.05.28 17:09:23
IDR,,0.043,,0.0464,,2021.05.28 17:03:58
IDR,,0.043,,0.0464,,2021.05.28 17:01:47
IDR,,0.043,,0.0464,,2021.05.28 16:59:49
IDR,,0.043,,0.0464,,2021.05.28 16:59:02
IDR,,0.043,,0.0464,,2021.05.28 16:56:22
IDR,,0.043,,0.0464,,2021.05.28 16:47:36
IDR,,0.043,,0.0464,,2021.05.28 16:41:49
IDR,,0.043,,0.0464,,2021.05.28 16:39:38
IDR,,0.043,,0.0464,,2021.05.28 16:37:22
IDR,,0.043,,0.0464,,2021.05.28 16:32:33
IDR,,0.043,,0.0464,,2021.05.28 16:31:33
IDR,,0.043,,0.0464,,2021.05.28 16:30:57
IDR,,0.043,,0.0464,,2021.05.28 16:30:12
IDR,,0.043,,0.0464,,2021.05.28 16:27:52
IDR,,0.0431,,0.0465,,2021.05.28 16:24:04
IDR,,0.043,,0.0464,,2021.05.28 16:21:33
IDR,,0.043,,0.0464,,2021.05.28 16:20:05
IDR,,0.0431,,0.0465,,2021.05.28 16:17:04
IDR,,0.0431,,0.0465,,2021.05.28 16:16:13
IDR,,0.0431,,0.0465,,2021.05.28 16:14:10
IDR,,0.043,,0.0464,,2021.05.28 16:12:51
IDR,,0.0431,,0.0465,,2021.05.28 16:08:00
IDR,,0.0431,,0.0465,,2021.05.28 16:07:32
IDR,,0.0431,,0.0465,,2021.05.28 16:04:52
IDR,,0.0431,,0.0465,,2021.05.28 16:02:47
IDR,,0.0431,,0.0465,,2021.05.28 16:01:05
IDR,,0.0431,,0.0465,,2021.05.28 16:00:01
IDR,,0.0431,,0.0465,,2021.05.28 15:59:48
IDR,,0.0431,,0.0465,,2021.05.28 15:58:32
IDR,,0.043,,0.0464,,2021.05.28 15:53:20
IDR,,0.043,,0.0464,,2021.05.28 15:50:04
IDR,,0.043,,0.0464,,2021.05.28 15:48:11
IDR,,0.043,,0.0464,,2021.05.28 15:47:50
IDR,,0.043,,0.0464,,2021.05.28 15:39:19
IDR,,0.043,,0.0464,,2021.05.28 15:37:49
IDR,,0.043,,0.0464,,2021.05.28 15:36:09
IDR,,0.043,,0.0464,,2021.05.28 15:35:40
IDR,,0.043,,0.0464,,2021.05.28 15:32:15
IDR,,0.043,,0.0464,,2021.05.28 15:30:09
IDR,,0.043,,0.0464,,2021.05.28 15:26:31
IDR,,0.043,,0.0464,,2021.05.28 15:23:10
IDR,,0.043,,0.0464,,2021.05.28 15:22:48
IDR,,0.043,,0.0464,,2021.05.28 15:21:18
IDR,,0.043,,0.0464,,2021.05.28 15:18:05
IDR,,0.043,,0.0464,,2021.05.28 15:16:09
IDR,,0.043,,0.0464,,2021.05.28 15:15:40
IDR,,0.043,,0.0464,,2021.05.28 15:14:46
IDR,,0.043,,0.0464,,2021.05.28 15:12:49
IDR,,0.043,,0.0464,,2021.05.28 15:09:26
IDR,,0.043,,0.0464,,2021.05.28 15:08:17
IDR,,0.043,,0.0464,,2021.05.28 15:06:07
IDR,,0.043,,0.0464,,2021.05.28 15:03:14
IDR,,0.043,,0.0464,,2021.05.28 15:00:59
IDR,,0.043,,0.0464,,2021.05.28 15:00:09
IDR,,0.043,,0.0464,,2021.05.28 14:58:40
IDR,,0.043,,0.0464,,2021.05.28 14:56:40
