CurrencyName,BuyingRate,CashBuyingRate,SellingRate,CashSellingRate,MiddleRate,PubTime
INR,,8.2643,,9.3193,,2021.05.29 10:30:00
INR,,8.2643,,9.3193,,2021.05.29 10:30:00
INR,,8.2643,,9.3193,,2021.05.29 05:30:00
INR,,8.2643,,9.3193,,2021.05.29 05:30:00
INR,,8.2643,,9.3193,,2021.05.29 05:30:00
INR,,8.2643,,9.3193,,2021.05.29 04:46:20
INR,,8.2643,,9.3193,,2021.05.29 00:00:05
INR,,8.2643,,9.3193,,2021.05.28 23:36:51
INR,,8.2643,,9.3193,,2021.05.28 23:36:51
INR,,8.2643,,9.3193,,2021.05.28 23:36:51
INR,,8.2663,,9.3215,,2021.05.28 23:07:15
INR,,8.265,,9.3201,,2021.05.28 22:43:05
INR,,8.2652,,9.3204,,2021.05.28 22:13:15
INR,,8.2644,,9.3194,,2021.05.28 21:55:33
INR,,8.2605,,9.3151,,2021.05.28 21:33:51
INR,,8.2588,,9.3132,,2021.05.28 21:29:53
INR,,8.2577,,9.3119,,2021.05.28 21:07:56
INR,,8.2569,,9.3109,,2021.05.28 20:55:26
INR,,8.259,,9.3134,,2021.05.28 20:22:00
INR,,8.2593,,9.3137,,2021.05.28 20:15:55
INR,,8.2593,,9.3137,,2021.05.28 20:13:36
INR,,8.2585,,9.3127,,2021.05.28 20:10:29
INR,,8.2571,,9.3113,,2021.05.28 20:10:19
INR,,8.2572,,9.3114,,2021.05.28 20:01:20
INR,,8.2572,,9.3114,,2021.05.28 19:52:08
INR,,8.2562,,9.3102,,2021.05.28 19:47:02
INR,,8.254,,9.3078,,2021.05.28 19:43:05
INR,,8.2545,,9.3083,,2021.05.28 19:34:17
INR,,8.2543,,9.3081,,2021.05.28 19:19:38
INR,,8.2518,,9.3052,,2021.05.28 18:54:14
INR,,8.2512,,9.3046,,2021.05.28 18:49:27
INR,,8.2513,,9.3047,,2021.05.28 18:38:49
INR,,8.25,,9.3032,,2021.05.28 18:31:46
INR,,8.2533,,9.3069,,2021.05.28 18:24:38
INR,,8.2562,,9.3102,,2021.05.28 18:01:20
INR,,8.26,,9.3144,,2021.05.28 18:00:07
INR,,8.2647,,9.3197,,2021.05.28 17:45:36
INR,,8.2596,,9.314,,2021.05.28 17:38:35
INR,,8.2607,,9.3153,,2021.05.28 17:32:45
INR,,8.261,,9.3156,,2021.05.28 17:31:07
INR,,8.2582,,9.3124,,2021.05.28 17:29:44
INR,,8.2575,,9.3117,,2021.05.28 17:29:30
INR,,8.2577,,9.3119,,2021.05.28 17:28:35
INR,,8.2536,,9.3072,,2021.05.28 17:19:41
INR,,8.2556,,9.3095,,2021.05.28 17:12:49
INR,,8.26,,9.3144,,2021.05.28 17:11:15
INR,,8.2541,,9.3079,,2021.05.28 17:09:23
INR,,8.255,,9.3088,,2021.05.28 17:03:58
INR,,8.2554,,9.3092,,2021.05.28 17:01:47
INR,,8.2548,,9.3086,,2021.05.28 16:59:49
INR,,8.2555,,9.3093,,2021.05.28 16:59:02
INR,,8.2559,,9.3099,,2021.05.28 16:56:22
INR,,8.2558,,9.3098,,2021.05.28 16:47:36
INR,,8.2576,,9.3118,,2021.05.28 16:41:49
INR,,8.2556,,9.3095,,2021.05.28 16:39:38
INR,,8.2544,,9.3082,,2021.05.28 16:37:22
INR,,8.2556,,9.3095,,2021.05.28 16:32:33
INR,,8.2572,,9.3114,,2021.05.28 16:31:33
INR,,8.2578,,9.312,,2021.05.28 16:30:57
INR,,8.2581,,9.3123,,2021.05.28 16:30:12
INR,,8.2575,,9.3117,,2021.05.28 16:27:52
INR,,8.2578,,9.312,,2021.05.28 16:24:04
INR,,8.257,,9.311,,2021.05.28 16:21:33
INR,,8.2584,,9.3126,,2021.05.28 16:20:05
INR,,8.2565,,9.3105,,2021.05.28 16:17:04
INR,,8.2569,,9.3109,,2021.05.28 16:16:13
INR,,8.2582,,9.3124,,2021.05.28 16:14:10
INR,,8.2569,,9.3109,,2021.05.28 16:12:51
INR,,8.2573,,9.3115,,2021.05.28 16:08:00
INR,,8.2624,,9.3172,,2021.05.28 16:07:32
INR,,8.2625,,9.3173,,2021.05.28 16:04:52
INR,,8.2625,,9.3173,,2021.05.28 16:02:47
INR,,8.2649,,9.3199,,2021.05.28 16:01:05
INR,,8.2629,,9.3177,,2021.05.28 16:00:01
INR,,8.2627,,9.3175,,2021.05.28 15:59:48
INR,,8.2634,,9.3184,,2021.05.28 15:58:32
INR,,8.2621,,9.3169,,2021.05.28 15:53:20
INR,,8.2621,,9.3169,,2021.05.28 15:50:04
INR,,8.2636,,9.3186,,2021.05.28 15:48:11
INR,,8.2635,,9.3185,,2021.05.28 15:47:50
INR,,8.2624,,9.3172,,2021.05.28 15:39:19
INR,,8.2633,,9.3181,,2021.05.28 15:37:49
INR,,8.2642,,9.3192,,2021.05.28 15:36:09
INR,,8.2646,,9.3196,,2021.05.28 15:35:40
INR,,8.2662,,9.3214,,2021.05.28 15:32:15
INR,,8.2679,,9.3233,,2021.05.28 15:30:09
INR,,8.2675,,9.3229,,2021.05.28 15:26:31
INR,,8.267,,9.3224,,2021.05.28 15:23:10
INR,,8.2668,,9.3222,,2021.05.28 15:22:48
INR,,8.2673,,9.3227,,2021.05.28 15:21:18
INR,,8.2681,,9.3235,,2021.05.28 15:18:05
INR,,8.2667,,9.3221,,2021.05.28 15:16:09
INR,,8.2672,,9.3226,,2021.05.28 15:15:40
INR,,8.2659,,9.3211,,2021.05.28 15:14:46
INR,,8.2664,,9.3216,,2021.05.28 15:12:49
INR,,8.2657,,9.3209,,2021.05.28 15:09:26
INR,,8.2664,,9.3216,,2021.05.28 15:08:17
INR,,8.2663,,9.3215,,2021.05.28 15:06:07
INR,,8.2661,,9.3213,,2021.05.28 15:03:14
INR,,8.267,,9.3224,,2021.05.28 15:00:59
INR,,8.2675,,9.3229,,2021.05.28 15:00:09
INR,,8.2666,,9.322,,2021.05.28 14:58:40
INR,,8.2667,,9.3221,,2021.05.28 14:56:40
INR,,8.2675,,9.3229,,2021.05.28 14:53:46
INR,,8.2669,,9.3223,,2021.05.28 14:49:18
INR,,8.2654,,9.3206,,2021.05.28 14:44:50
INR,,8.2654,,9.3206,,2021.05.28 14:43:29
INR,,8.2667,,9.3221,,2021.05.28 14:36:18
INR,,8.2671,,9.3225,,2021.05.28 14:35:42
INR,,8.2663,,9.3215,,2021.05.28 14:30:34
INR,,8.2649,,9.3199,,2021.05.28 14:25:35
INR,,8.2654,,9.3206,,2021.05.28 14:22:48
INR,,8.265,,9.3202,,2021.05.28 14:19:26
INR,,8.2636,,9.3186,,2021.05.28 14:17:54
INR,,8.2634,,9.3182,,2021.05.28 14:14:29
INR,,8.2656,,9.3208,,2021.05.28 14:12:15
INR,,8.2656,,9.3208,,2021.05.28 14:11:38
INR,,8.2654,,9.3206,,2021.05.28 14:10:52
INR,,8.2673,,9.3227,,2021.05.28 14:05:23
INR,,8.2671,,9.3225,,2021.05.28 14:01:46
INR,,8.2667,,9.3221,,2021.05.28 14:01:04
INR,,8.2644,,9.3194,,2021.05.28 13:55:10
INR,,8.266,,9.3212,,2021.05.28 13:53:32
INR,,8.2733,,9.3295,,2021.05.28 13:44:22
INR,,8.273,,9.3292,,2021.05.28 13:43:47
INR,,8.2693,,9.3249,,2021.05.28 13:42:45
INR,,8.2685,,9.3241,,2021.05.28 13:42:17
INR,,8.2692,,9.3248,,2021.05.28 13:42:11
INR,,8.2719,,9.3279,,2021.05.28 13:32:59
INR,,8.2701,,9.3259,,2021.05.28 13:22:38
INR,,8.2544,,9.3082,,2021.05.28 12:22:17
INR,,8.2524,,9.306,,2021.05.28 12:13:40
INR,,8.2537,,9.3073,,2021.05.28 12:12:26
INR,,8.2535,,9.3071,,2021.05.28 12:06:00
INR,,8.254,,9.3078,,2021.05.28 12:05:08
INR,,8.2521,,9.3055,,2021.05.28 11:59:25
INR,,8.2519,,9.3053,,2021.05.28 11:56:01
INR,,8.2488,,9.3018,,2021.05.28 11:53:03
INR,,8.249,,9.302,,2021.05.28 11:49:16
INR,,8.2487,,9.3017,,2021.05.28 11:46:59
INR,,8.251,,9.3044,,2021.05.28 11:41:23
INR,,8.2506,,9.3038,,2021.05.28 11:34:55
INR,,8.2505,,9.3037,,2021.05.28 11:29:31
INR,,8.2511,,9.3045,,2021.05.28 11:21:30
INR,,8.2493,,9.3023,,2021.05.28 11:18:16
INR,,8.2499,,9.3031,,2021.05.28 11:15:44
INR,,8.2506,,9.3038,,2021.05.28 11:11:46
INR,,8.2509,,9.3042,,2021.05.28 11:00:54
INR,,8.2521,,9.3055,,2021.05.28 10:57:15
INR,,8.2527,,9.3063,,2021.05.28 10:52:15
INR,,8.254,,9.3076,,2021.05.28 10:46:15
INR,,8.2546,,9.3084,,2021.05.28 10:40:39
