CurrencyName,BuyingRate,CashBuyingRate,SellingRate,CashSellingRate,MiddleRate,PubTime
JPY,5.778,5.5985,5.8205,5.8295,5.811,2021.05.29 10:30:00
JPY,5.778,5.5985,5.8205,5.8295,5.811,2021.05.29 10:30:00
JPY,5.778,5.5985,5.8205,5.8295,5.811,2021.05.29 05:30:00
JPY,5.778,5.5985,5.8205,5.8295,5.811,2021.05.29 05:30:00
JPY,5.778,5.5985,5.8205,5.8295,5.811,2021.05.29 05:30:00
JPY,5.778,5.5985,5.8205,5.8295,5.811,2021.05.29 04:46:20
JPY,5.7775,5.598,5.82,5.829,5.811,2021.05.29 00:00:05
JPY,5.7775,5.598,5.82,5.829,5.811,2021.05.28 23:36:51
JPY,5.7775,5.598,5.82,5.829,5.811,2021.05.28 23:36:51
JPY,5.7775,5.598,5.82,5.829,5.811,2021.05.28 23:36:51
JPY,5.7733,5.5939,5.8158,5.8247,5.811,2021.05.28 23:07:15
JPY,5.7727,5.5933,5.8152,5.8241,5.811,2021.05.28 22:43:05
JPY,5.7751,5.5957,5.8176,5.8265,5.811,2021.05.28 22:13:15
JPY,5.7714,5.5921,5.8139,5.8228,5.811,2021.05.28 21:55:33
JPY,5.7677,5.5885,5.8101,5.8191,5.811,2021.05.28 21:33:51
JPY,5.7655,5.5864,5.8079,5.8169,5.811,2021.05.28 21:29:53
JPY,5.7664,5.5873,5.8088,5.8178,5.811,2021.05.28 21:07:56
JPY,5.7641,5.585,5.8065,5.8155,5.811,2021.05.28 20:55:26
JPY,5.7711,5.5918,5.8135,5.8225,5.811,2021.05.28 20:22:00
JPY,5.7713,5.592,5.8138,5.8227,5.811,2021.05.28 20:15:55
JPY,5.7704,5.5911,5.8128,5.8218,5.811,2021.05.28 20:13:36
JPY,5.77,5.5907,5.8124,5.8214,5.811,2021.05.28 20:10:29
JPY,5.7691,5.5899,5.8115,5.8205,5.811,2021.05.28 20:10:19
JPY,5.7703,5.591,5.8127,5.8217,5.811,2021.05.28 20:01:20
JPY,5.7705,5.5912,5.8129,5.8219,5.811,2021.05.28 19:52:08
JPY,5.7701,5.5908,5.8125,5.8215,5.811,2021.05.28 19:47:02
JPY,5.7692,5.59,5.8116,5.8206,5.811,2021.05.28 19:43:05
JPY,5.7688,5.5896,5.8112,5.8202,5.811,2021.05.28 19:34:17
JPY,5.7684,5.5892,5.8108,5.8198,5.811,2021.05.28 19:19:38
JPY,5.7707,5.5914,5.8131,5.8221,5.811,2021.05.28 18:54:14
JPY,5.7698,5.5905,5.8122,5.8212,5.811,2021.05.28 18:49:27
JPY,5.7704,5.5911,5.8128,5.8218,5.811,2021.05.28 18:38:49
JPY,5.7695,5.5902,5.8119,5.8209,5.811,2021.05.28 18:31:46
JPY,5.7729,5.5935,5.8154,5.8243,5.811,2021.05.28 18:24:38
JPY,5.7727,5.5933,5.8152,5.8241,5.811,2021.05.28 18:01:20
JPY,5.7726,5.5932,5.8151,5.824,5.811,2021.05.28 18:00:07
JPY,5.7741,5.5947,5.8166,5.8255,5.811,2021.05.28 17:45:36
JPY,5.7737,5.5943,5.8162,5.8251,5.811,2021.05.28 17:38:35
JPY,5.7738,5.5944,5.8163,5.8252,5.811,2021.05.28 17:32:45
JPY,5.7732,5.5938,5.8157,5.8246,5.811,2021.05.28 17:31:07
JPY,5.7728,5.5934,5.8153,5.8242,5.811,2021.05.28 17:29:44
JPY,5.7724,5.593,5.8149,5.8238,5.811,2021.05.28 17:29:30
JPY,5.7716,5.5923,5.8141,5.823,5.811,2021.05.28 17:28:35
JPY,5.7712,5.5919,5.8137,5.8226,5.811,2021.05.28 17:19:41
JPY,5.7735,5.5941,5.816,5.8249,5.811,2021.05.28 17:12:49
JPY,5.774,5.5946,5.8165,5.8254,5.811,2021.05.28 17:11:15
JPY,5.7721,5.5928,5.8146,5.8235,5.811,2021.05.28 17:09:23
JPY,5.7712,5.5919,5.8137,5.8226,5.811,2021.05.28 17:03:58
JPY,5.7706,5.5913,5.813,5.822,5.811,2021.05.28 17:01:47
JPY,5.7716,5.5923,5.8141,5.823,5.811,2021.05.28 16:59:49
JPY,5.7721,5.5928,5.8146,5.8235,5.811,2021.05.28 16:59:02
JPY,5.7722,5.5929,5.8147,5.8236,5.811,2021.05.28 16:56:22
JPY,5.7738,5.5944,5.8163,5.8252,5.811,2021.05.28 16:47:36
JPY,5.7727,5.5933,5.8152,5.8241,5.811,2021.05.28 16:41:49
JPY,5.7722,5.5929,5.8147,5.8236,5.811,2021.05.28 16:39:38
JPY,5.7723,5.5929,5.8148,5.8237,5.811,2021.05.28 16:37:22
JPY,5.773,5.5936,5.8155,5.8244,5.811,2021.05.28 16:32:33
JPY,5.772,5.5927,5.8145,5.8234,5.811,2021.05.28 16:31:33
JPY,5.773,5.5936,5.8155,5.8244,5.811,2021.05.28 16:30:57
JPY,5.7734,5.594,5.8159,5.8248,5.811,2021.05.28 16:30:12
JPY,5.7739,5.5945,5.8164,5.8253,5.811,2021.05.28 16:27:52
JPY,5.7738,5.5944,5.8163,5.8252,5.811,2021.05.28 16:24:04
JPY,5.7744,5.595,5.8169,5.8258,5.811,2021.05.28 16:21:33
JPY,5.7744,5.595,5.8169,5.8258,5.811,2021.05.28 16:20:05
JPY,5.7749,5.5955,5.8174,5.8263,5.811,2021.05.28 16:17:04
JPY,5.7753,5.5958,5.8178,5.8267,5.811,2021.05.28 16:16:13
JPY,5.7748,5.5954,5.8173,5.8262,5.811,2021.05.28 16:14:10
JPY,5.7744,5.595,5.8169,5.8258,5.811,2021.05.28 16:12:51
JPY,5.7748,5.5954,5.8173,5.8262,5.811,2021.05.28 16:08:00
JPY,5.7756,5.5961,5.8181,5.827,5.811,2021.05.28 16:07:32
JPY,5.7756,5.5961,5.8181,5.827,5.811,2021.05.28 16:04:52
JPY,5.7755,5.596,5.818,5.8269,5.811,2021.05.28 16:02:47
JPY,5.7764,5.5969,5.8189,5.8279,5.811,2021.05.28 16:01:05
JPY,5.7749,5.5955,5.8174,5.8263,5.811,2021.05.28 16:00:01
JPY,5.7754,5.5959,5.8179,5.8268,5.811,2021.05.28 15:59:48
JPY,5.7773,5.5978,5.8198,5.8288,5.811,2021.05.28 15:58:32
JPY,5.7767,5.5972,5.8192,5.8282,5.811,2021.05.28 15:53:20
