CurrencyName,BuyingRate,CashBuyingRate,SellingRate,CashSellingRate,MiddleRate,PubTime
KRW,0.5695,0.5495,0.5741,0.5951,0.5709,2021.05.29 10:30:00
KRW,0.5695,0.5495,0.5741,0.5951,0.5709,2021.05.29 10:30:00
KRW,0.5695,0.5495,0.5741,0.5951,0.5709,2021.05.29 05:30:00
KRW,0.5695,0.5495,0.5741,0.5951,0.5709,2021.05.29 05:30:00
KRW,0.5695,0.5495,0.5741,0.5951,0.5709,2021.05.29 05:30:00
KRW,0.5695,0.5495,0.5741,0.5951,0.5709,2021.05.29 04:46:20
KRW,0.5691,0.5491,0.5737,0.5947,0.5709,2021.05.29 00:00:05
KRW,0.5691,0.5491,0.5737,0.5947,0.5709,2021.05.28 23:36:51
KRW,0.5691,0.5491,0.5737,0.5947,0.5709,2021.05.28 23:36:51
KRW,0.5691,0.5491,0.5737,0.5947,0.5709,2021.05.28 23:36:51
KRW,0.5689,0.5489,0.5735,0.5945,0.5709,2021.05.28 23:07:15
KRW,0.5691,0.5491,0.5737,0.5947,0.5709,2021.05.28 22:43:05
KRW,0.5691,0.5491,0.5737,0.5947,0.5709,2021.05.28 22:13:15
KRW,0.5691,0.5491,0.5737,0.5947,0.5709,2021.05.28 21:55:33
KRW,0.5686,0.5486,0.5732,0.5942,0.5709,2021.05.28 21:33:51
KRW,0.5685,0.5485,0.5731,0.5941,0.5709,2021.05.28 21:29:53
KRW,0.5686,0.5486,0.5732,0.5942,0.5709,2021.05.28 21:07:56
KRW,0.5686,0.5486,0.5732,0.5942,0.5709,2021.05.28 20:55:26
KRW,0.5684,0.5484,0.573,0.594,0.5709,2021.05.28 20:22:00
KRW,0.5685,0.5485,0.5731,0.5941,0.5709,2021.05.28 20:15:55
KRW,0.5684,0.5484,0.573,0.594,0.5709,2021.05.28 20:13:36
KRW,0.5684,0.5484,0.573,0.594,0.5709,2021.05.28 20:10:29
KRW,0.5683,0.5483,0.5729,0.5939,0.5709,2021.05.28 20:10:19
KRW,0.5685,0.5485,0.5731,0.5941,0.5709,2021.05.28 20:01:20
KRW,0.5686,0.5486,0.5732,0.5942,0.5709,2021.05.28 19:52:08
KRW,0.5687,0.5487,0.5733,0.5943,0.5709,2021.05.28 19:47:02
KRW,0.5686,0.5486,0.5732,0.5942,0.5709,2021.05.28 19:43:05
