CurrencyName,BuyingRate,CashBuyingRate,SellingRate,CashSellingRate,MiddleRate,PubTime
MOP,79.59,76.92,79.9,82.57,,2021.05.29 10:30:00
MOP,79.59,76.92,79.9,82.57,,2021.05.29 10:30:00
MOP,79.59,76.92,79.9,82.57,,2021.05.29 05:30:00
MOP,79.59,76.92,79.9,82.57,,2021.05.29 05:30:00
MOP,79.59,76.92,79.9,82.57,,2021.05.29 05:30:00
MOP,79.59,76.92,79.9,82.57,,2021.05.29 04:46:20
MOP,79.6,76.93,79.91,82.58,,2021.05.29 00:00:05
MOP,79.6,76.93,79.91,82.58,,2021.05.28 23:36:51
MOP,79.6,76.93,79.91,82.58,,2021.05.28 23:36:51
MOP,79.6,76.93,79.91,82.58,,2021.05.28 23:36:51
MOP,79.6,76.93,79.91,82.58,,2021.05.28 23:07:15
MOP,79.6,76.93,79.91,82.58,,2021.05.28 22:43:05
MOP,79.61,76.94,79.92,82.59,,2021.05.28 22:13:15
MOP,79.61,76.94,79.92,82.59,,2021.05.28 21:55:33
MOP,79.61,76.94,79.92,82.59,,2021.05.28 21:33:51
MOP,79.62,76.95,79.93,82.6,,2021.05.28 21:29:53
MOP,79.64,76.97,79.95,82.62,,2021.05.28 21:07:56
MOP,79.65,76.98,79.96,82.63,,2021.05.28 20:55:26
MOP,79.63,76.96,79.94,82.61,,2021.05.28 20:22:00
MOP,79.66,76.99,79.97,82.64,,2021.05.28 20:15:55
MOP,79.64,76.97,79.95,82.62,,2021.05.28 20:13:36
MOP,79.63,76.96,79.94,82.61,,2021.05.28 20:10:29
MOP,79.62,76.95,79.93,82.6,,2021.05.28 20:10:19
MOP,79.61,76.94,79.92,82.59,,2021.05.28 20:01:20
MOP,79.6,76.93,79.91,82.58,,2021.05.28 19:52:08
MOP,79.59,76.92,79.9,82.57,,2021.05.28 19:47:02
MOP,79.57,76.9,79.88,82.55,,2021.05.28 19:43:05
MOP,79.56,76.89,79.87,82.54,,2021.05.28 19:34:17
MOP,79.55,76.88,79.86,82.53,,2021.05.28 19:19:38
MOP,79.54,76.87,79.85,82.52,,2021.05.28 18:54:14
MOP,79.53,76.86,79.84,82.5,,2021.05.28 18:49:27
MOP,79.52,76.85,79.83,82.49,,2021.05.28 18:38:49
MOP,79.51,76.84,79.82,82.48,,2021.05.28 18:31:46
MOP,79.53,76.86,79.84,82.5,,2021.05.28 18:24:38
MOP,79.55,76.88,79.86,82.53,,2021.05.28 18:01:20
MOP,79.56,76.89,79.87,82.54,,2021.05.28 18:00:07
MOP,79.57,76.9,79.88,82.55,,2021.05.28 17:45:36
MOP,79.56,76.89,79.87,82.54,,2021.05.28 17:38:35
MOP,79.55,76.88,79.86,82.53,,2021.05.28 17:32:45
MOP,79.55,76.88,79.86,82.53,,2021.05.28 17:31:07
MOP,79.54,76.87,79.85,82.52,,2021.05.28 17:29:44
MOP,79.53,76.86,79.84,82.5,,2021.05.28 17:29:30
MOP,79.51,76.84,79.82,82.48,,2021.05.28 17:28:35
MOP,79.5,76.83,79.81,82.47,,2021.05.28 17:19:41
MOP,79.53,76.86,79.84,82.5,,2021.05.28 17:12:49
MOP,79.54,76.87,79.85,82.52,,2021.05.28 17:11:15
MOP,79.52,76.85,79.83,82.49,,2021.05.28 17:09:23
MOP,79.5,76.83,79.81,82.47,,2021.05.28 17:03:58
MOP,79.51,76.84,79.82,82.48,,2021.05.28 17:01:47
MOP,79.51,76.84,79.82,82.48,,2021.05.28 16:59:49
MOP,79.52,76.85,79.83,82.49,,2021.05.28 16:59:02
MOP,79.52,76.85,79.83,82.49,,2021.05.28 16:56:22
MOP,79.5,76.83,79.81,82.47,,2021.05.28 16:47:36
MOP,79.51,76.84,79.82,82.48,,2021.05.28 16:41:49
MOP,79.5,76.83,79.81,82.47,,2021.05.28 16:39:38
MOP,79.5,76.83,79.81,82.47,,2021.05.28 16:37:22
MOP,79.53,76.86,79.84,82.5,,2021.05.28 16:32:33
MOP,79.52,76.85,79.83,82.49,,2021.05.28 16:31:33
MOP,79.53,76.86,79.84,82.5,,2021.05.28 16:30:57
MOP,79.53,76.86,79.84,82.5,,2021.05.28 16:30:12
MOP,79.54,76.87,79.85,82.52,,2021.05.28 16:27:52
MOP,79.55,76.88,79.86,82.53,,2021.05.28 16:24:04
MOP,79.54,76.87,79.85,82.52,,2021.05.28 16:21:33
MOP,79.54,76.87,79.85,82.52,,2021.05.28 16:20:05
MOP,79.55,76.88,79.86,82.53,,2021.05.28 16:17:04
MOP,79.56,76.89,79.87,82.54,,2021.05.28 16:16:13
MOP,79.56,76.89,79.87,82.54,,2021.05.28 16:14:10
MOP,79.54,76.87,79.85,82.52,,2021.05.28 16:12:51
MOP,79.56,76.89,79.87,82.54,,2021.05.28 16:08:00
MOP,79.58,76.91,79.89,82.56,,2021.05.28 16:07:32
MOP,79.58,76.91,79.89,82.56,,2021.05.28 16:04:52
MOP,79.59,76.92,79.9,82.57,,2021.05.28 16:02:47
MOP,79.6,76.93,79.91,82.58,,2021.05.28 16:01:05
MOP,79.6,76.93,79.91,82.58,,2021.05.28 16:00:01
MOP,79.6,76.93,79.91,82.58,,2021.05.28 15:59:48
MOP,79.61,76.94,79.92,82.59,,2021.05.28 15:58:32
MOP,79.61,76.94,79.92,82.59,,2021.05.28 15:53:20
MOP,79.62,76.95,79.93,82.6,,2021.05.28 15:50:04
MOP,79.62,76.95,79.93,82.6,,2021.05.28 15:48:11
MOP,79.63,76.96,79.94,82.61,,2021.05.28 15:47:50
MOP,79.64,76.97,79.95,82.62,,2021.05.28 15:39:19
MOP,79.65,76.98,79.96,82.63,,2021.05.28 15:37:49
MOP,79.64,76.97,79.95,82.62,,2021.05.28 15:36:09
MOP,79.65,76.98,79.96,82.63,,2021.05.28 15:35:40
MOP,79.66,76.99,79.97,82.64,,2021.05.28 15:32:15
MOP,79.66,76.99,79.97,82.64,,2021.05.28 15:30:09
MOP,79.66,76.99,79.97,82.64,,2021.05.28 15:26:31
MOP,79.67,77,79.98,82.65,,2021.05.28 15:23:10
MOP,79.67,77,79.98,82.65,,2021.05.28 15:22:48
MOP,79.67,77,79.98,82.65,,2021.05.28 15:21:18
MOP,79.67,77,79.98,82.65,,2021.05.28 15:18:05
MOP,79.65,76.98,79.96,82.63,,2021.05.28 15:16:09
MOP,79.65,76.98,79.96,82.63,,2021.05.28 15:15:40
MOP,79.64,76.97,79.95,82.62,,2021.05.28 15:14:46
MOP,79.64,76.97,79.95,82.62,,2021.05.28 15:12:49
MOP,79.64,76.97,79.95,82.62,,2021.05.28 15:09:26
MOP,79.64,76.97,79.95,82.62,,2021.05.28 15:08:17
MOP,79.65,76.98,79.96,82.63,,2021.05.28 15:06:07
MOP,79.64,76.97,79.95,82.62,,2021.05.28 15:03:14
MOP,79.64,76.97,79.95,82.62,,2021.05.28 15:00:59
MOP,79.64,76.97,79.95,82.62,,2021.05.28 15:00:09
MOP,79.65,76.98,79.96,82.63,,2021.05.28 14:58:40
MOP,79.66,76.99,79.97,82.64,,2021.05.28 14:56:40
MOP,79.66,76.99,79.97,82.64,,2021.05.28 14:53:46
MOP,79.66,76.99,79.97,82.64,,2021.05.28 14:49:18
MOP,79.64,76.97,79.95,82.62,,2021.05.28 14:44:50
MOP,79.64,76.97,79.95,82.62,,2021.05.28 14:43:29
MOP,79.64,76.97,79.95,82.62,,2021.05.28 14:36:18
MOP,79.65,76.98,79.96,82.63,,2021.05.28 14:35:42
MOP,79.66,76.99,79.97,82.64,,2021.05.28 14:30:34
MOP,79.66,76.99,79.97,82.64,,2021.05.28 14:25:35
MOP,79.67,77,79.98,82.65,,2021.05.28 14:22:48
MOP,79.66,76.99,79.97,82.64,,2021.05.28 14:19:26
MOP,79.66,76.99,79.97,82.64,,2021.05.28 14:17:54
MOP,79.65,76.98,79.96,82.63,,2021.05.28 14:14:29
MOP,79.66,76.99,79.97,82.64,,2021.05.28 14:12:15
MOP,79.66,76.99,79.97,82.64,,2021.05.28 14:11:38
MOP,79.65,76.98,79.96,82.63,,2021.05.28 14:10:52
MOP,79.64,76.97,79.95,82.62,,2021.05.28 14:05:23
MOP,79.64,76.97,79.95,82.62,,2021.05.28 14:01:46
MOP,79.64,76.97,79.95,82.62,,2021.05.28 14:01:04
MOP,79.63,76.96,79.94,82.61,,2021.05.28 13:55:10
MOP,79.63,76.96,79.94,82.61,,2021.05.28 13:53:32
MOP,79.62,76.95,79.93,82.6,,2021.05.28 13:44:22
MOP,79.61,76.94,79.92,82.59,,2021.05.28 13:43:47
MOP,79.61,76.94,79.92,82.59,,2021.05.28 13:42:45
MOP,79.6,76.93,79.91,82.58,,2021.05.28 13:42:17
MOP,79.61,76.94,79.92,82.59,,2021.05.28 13:42:11
MOP,79.6,76.93,79.91,82.58,,2021.05.28 13:32:59
MOP,79.6,76.93,79.91,82.58,,2021.05.28 13:22:38
MOP,79.6,76.93,79.91,82.58,,2021.05.28 12:22:17
MOP,79.6,76.93,79.91,82.58,,2021.05.28 12:13:40
MOP,79.61,76.94,79.92,82.59,,2021.05.28 12:12:26
MOP,79.61,76.94,79.92,82.59,,2021.05.28 12:06:00
MOP,79.61,76.94,79.92,82.59,,2021.05.28 12:05:08
MOP,79.62,76.95,79.93,82.6,,2021.05.28 11:59:25
MOP,79.62,76.95,79.93,82.6,,2021.05.28 11:56:01
MOP,79.62,76.95,79.93,82.6,,2021.05.28 11:53:03
MOP,79.61,76.94,79.92,82.59,,2021.05.28 11:49:16
MOP,79.62,76.95,79.93,82.6,,2021.05.28 11:46:59
MOP,79.63,76.96,79.94,82.61,,2021.05.28 11:41:23
MOP,79.63,76.96,79.94,82.61,,2021.05.28 11:34:55
MOP,79.64,76.97,79.95,82.62,,2021.05.28 11:29:31
MOP,79.64,76.97,79.95,82.62,,2021.05.28 11:21:30
MOP,79.65,76.98,79.96,82.63,,2021.05.28 11:18:16
MOP,79.66,76.99,79.97,82.64,,2021.05.28 11:15:44
MOP,79.66,76.99,79.97,82.64,,2021.05.28 11:11:46
MOP,79.67,77,79.98,82.65,,2021.05.28 11:00:54
