CurrencyName,BuyingRate,CashBuyingRate,SellingRate,CashSellingRate,MiddleRate,PubTime
MYR,153.47,,154.86,,154.19,2021.05.29 10:30:00
MYR,153.47,,154.86,,154.19,2021.05.29 10:30:00
MYR,153.47,,154.86,,154.19,2021.05.29 05:30:00
MYR,153.47,,154.86,,154.19,2021.05.29 05:30:00
MYR,153.47,,154.86,,154.19,2021.05.29 05:30:00
MYR,153.47,,154.86,,154.19,2021.05.29 04:46:20
MYR,153.47,,154.86,,154.19,2021.05.29 00:00:05
MYR,153.47,,154.86,,154.19,2021.05.28 23:36:51
MYR,153.47,,154.86,,154.19,2021.05.28 23:36:51
MYR,153.47,,154.86,,154.19,2021.05.28 23:36:51
MYR,153.47,,154.86,,154.19,2021.05.28 23:07:15
MYR,153.47,,154.86,,154.19,2021.05.28 22:43:05
MYR,153.52,,154.91,,154.19,2021.05.28 22:13:15
MYR,153.52,,154.91,,154.19,2021.05.28 21:55:33
MYR,153.52,,154.91,,154.19,2021.05.28 21:33:51
MYR,153.54,,154.93,,154.19,2021.05.28 21:29:53
MYR,153.57,,154.96,,154.19,2021.05.28 21:07:56
MYR,153.59,,154.98,,154.19,2021.05.28 20:55:26
MYR,153.57,,154.96,,154.19,2021.05.28 20:22:00
MYR,153.61,,155,,154.19,2021.05.28 20:15:55
MYR,153.59,,154.98,,154.19,2021.05.28 20:13:36
MYR,153.57,,154.96,,154.19,2021.05.28 20:10:29
MYR,153.54,,154.93,,154.19,2021.05.28 20:10:19
MYR,153.52,,154.91,,154.19,2021.05.28 20:01:20
MYR,153.49,,154.88,,154.19,2021.05.28 19:52:08
MYR,153.47,,154.86,,154.19,2021.05.28 19:47:02
MYR,153.45,,154.84,,154.19,2021.05.28 19:43:05
MYR,153.42,,154.81,,154.19,2021.05.28 19:34:17
MYR,153.4,,154.79,,154.19,2021.05.28 19:19:38
MYR,153.37,,154.76,,154.19,2021.05.28 18:54:14
MYR,153.35,,154.74,,154.19,2021.05.28 18:49:27
MYR,153.32,,154.71,,154.19,2021.05.28 18:38:49
MYR,153.3,,154.69,,154.19,2021.05.28 18:31:46
MYR,153.35,,154.74,,154.19,2021.05.28 18:24:38
MYR,153.39,,154.78,,154.19,2021.05.28 18:01:20
MYR,153.4,,154.79,,154.19,2021.05.28 18:00:07
MYR,153.42,,154.81,,154.19,2021.05.28 17:45:36
MYR,153.4,,154.79,,154.19,2021.05.28 17:38:35
MYR,153.39,,154.78,,154.19,2021.05.28 17:32:45
MYR,153.39,,154.78,,154.19,2021.05.28 17:31:07
MYR,153.36,,154.75,,154.19,2021.05.28 17:29:44
MYR,153.35,,154.74,,154.19,2021.05.28 17:29:30
MYR,153.31,,154.7,,154.19,2021.05.28 17:28:35
MYR,153.29,,154.68,,154.19,2021.05.28 17:19:41
MYR,153.34,,154.73,,154.19,2021.05.28 17:12:49
MYR,153.35,,154.74,,154.19,2021.05.28 17:11:15
MYR,153.31,,154.7,,154.19,2021.05.28 17:09:23
MYR,153.29,,154.68,,154.19,2021.05.28 17:03:58
MYR,153.3,,154.69,,154.19,2021.05.28 17:01:47
MYR,153.3,,154.69,,154.19,2021.05.28 16:59:49
MYR,153.31,,154.7,,154.19,2021.05.28 16:59:02
MYR,153.3,,154.69,,154.19,2021.05.28 16:56:22
MYR,153.29,,154.68,,154.19,2021.05.28 16:47:36
MYR,153.3,,154.69,,154.19,2021.05.28 16:41:49
MYR,153.29,,154.68,,154.19,2021.05.28 16:39:38
MYR,153.28,,154.67,,154.19,2021.05.28 16:37:22
MYR,153.34,,154.73,,154.19,2021.05.28 16:32:33
MYR,153.32,,154.71,,154.19,2021.05.28 16:31:33
MYR,153.34,,154.73,,154.19,2021.05.28 16:30:57
MYR,153.35,,154.74,,154.19,2021.05.28 16:30:12
MYR,153.36,,154.75,,154.19,2021.05.28 16:27:52
MYR,153.37,,154.76,,154.19,2021.05.28 16:24:04
MYR,153.36,,154.75,,154.19,2021.05.28 16:21:33
MYR,153.36,,154.75,,154.19,2021.05.28 16:20:05
MYR,153.37,,154.76,,154.19,2021.05.28 16:17:04
MYR,153.4,,154.79,,154.19,2021.05.28 16:16:13
MYR,153.39,,154.78,,154.19,2021.05.28 16:14:10
MYR,153.36,,154.75,,154.19,2021.05.28 16:12:51
MYR,153.39,,154.78,,154.19,2021.05.28 16:08:00
MYR,153.42,,154.81,,154.19,2021.05.28 16:07:32
MYR,153.43,,154.82,,154.19,2021.05.28 16:04:52
MYR,153.45,,154.84,,154.19,2021.05.28 16:02:47
MYR,153.47,,154.86,,154.19,2021.05.28 16:01:05
MYR,153.46,,154.85,,154.19,2021.05.28 16:00:01
MYR,153.47,,154.86,,154.19,2021.05.28 15:59:48
MYR,153.49,,154.88,,154.19,2021.05.28 15:58:32
MYR,153.51,,154.9,,154.19,2021.05.28 15:53:20
MYR,153.52,,154.91,,154.19,2021.05.28 15:50:04
MYR,153.53,,154.92,,154.19,2021.05.28 15:48:11
MYR,153.54,,154.93,,154.19,2021.05.28 15:47:50
MYR,153.55,,154.94,,154.19,2021.05.28 15:39:19
MYR,153.58,,154.97,,154.19,2021.05.28 15:37:49
MYR,153.57,,154.96,,154.19,2021.05.28 15:36:09
MYR,153.58,,154.97,,154.19,2021.05.28 15:35:40
MYR,153.59,,154.98,,154.19,2021.05.28 15:32:15
MYR,153.6,,154.99,,154.19,2021.05.28 15:30:09
MYR,153.59,,154.98,,154.19,2021.05.28 15:26:31
MYR,153.6,,154.99,,154.19,2021.05.28 15:23:10
MYR,153.61,,155,,154.19,2021.05.28 15:22:48
MYR,153.6,,154.99,,154.19,2021.05.28 15:21:18
MYR,153.59,,154.98,,154.19,2021.05.28 15:18:05
MYR,153.57,,154.96,,154.19,2021.05.28 15:16:09
MYR,153.55,,154.94,,154.19,2021.05.28 15:15:40
MYR,153.54,,154.93,,154.19,2021.05.28 15:14:46
MYR,153.54,,154.93,,154.19,2021.05.28 15:12:49
MYR,153.53,,154.92,,154.19,2021.05.28 15:09:26
MYR,153.54,,154.93,,154.19,2021.05.28 15:08:17
MYR,153.55,,154.94,,154.19,2021.05.28 15:06:07
MYR,153.54,,154.93,,154.19,2021.05.28 15:03:14
MYR,153.53,,154.92,,154.19,2021.05.28 15:00:59
MYR,153.54,,154.93,,154.19,2021.05.28 15:00:09
MYR,153.55,,154.94,,154.19,2021.05.28 14:58:40
MYR,153.57,,154.96,,154.19,2021.05.28 14:56:40
MYR,153.58,,154.97,,154.19,2021.05.28 14:53:46
MYR,153.57,,154.96,,154.19,2021.05.28 14:49:18
MYR,153.54,,154.93,,154.19,2021.05.28 14:44:50
MYR,153.53,,154.92,,154.19,2021.05.28 14:43:29
MYR,153.54,,154.93,,154.19,2021.05.28 14:36:18
MYR,153.55,,154.94,,154.19,2021.05.28 14:35:42
MYR,153.57,,154.96,,154.19,2021.05.28 14:30:34
MYR,153.57,,154.96,,154.19,2021.05.28 14:25:35
MYR,153.58,,154.97,,154.19,2021.05.28 14:22:48
MYR,153.57,,154.96,,154.19,2021.05.28 14:19:26
MYR,153.57,,154.96,,154.19,2021.05.28 14:17:54
MYR,153.55,,154.94,,154.19,2021.05.28 14:14:29
MYR,153.57,,154.96,,154.19,2021.05.28 14:12:15
MYR,153.55,,154.94,,154.19,2021.05.28 14:11:38
MYR,153.54,,154.93,,154.19,2021.05.28 14:10:52
MYR,153.52,,154.91,,154.19,2021.05.28 14:05:23
MYR,153.53,,154.92,,154.19,2021.05.28 14:01:46
MYR,153.52,,154.91,,154.19,2021.05.28 14:01:04
MYR,153.51,,154.9,,154.19,2021.05.28 13:55:10
MYR,153.49,,154.88,,154.19,2021.05.28 13:53:32
MYR,153.48,,154.87,,154.19,2021.05.28 13:44:22
MYR,153.47,,154.86,,154.19,2021.05.28 13:43:47
MYR,153.46,,154.85,,154.19,2021.05.28 13:42:45
MYR,153.45,,154.84,,154.19,2021.05.28 13:42:17
MYR,153.46,,154.85,,154.19,2021.05.28 13:42:11
MYR,153.43,,154.82,,154.19,2021.05.28 13:32:59
MYR,153.42,,154.81,,154.19,2021.05.28 13:22:38
MYR,153.42,,154.81,,154.19,2021.05.28 12:22:17
MYR,153.43,,154.82,,154.19,2021.05.28 12:13:40
MYR,153.46,,154.85,,154.19,2021.05.28 12:12:26
MYR,153.46,,154.85,,154.19,2021.05.28 12:06:00
MYR,153.47,,154.86,,154.19,2021.05.28 12:05:08
MYR,153.48,,154.87,,154.19,2021.05.28 11:59:25
