CurrencyName,BuyingRate,CashBuyingRate,SellingRate,CashSellingRate,MiddleRate,PubTime
NOK,75.85,73.5,76.45,76.82,76.47,2021.05.29 10:30:00
NOK,75.85,73.5,76.45,76.82,76.47,2021.05.29 10:30:00
NOK,75.85,73.5,76.45,76.82,76.47,2021.05.29 05:30:00
NOK,75.85,73.5,76.45,76.82,76.47,2021.05.29 05:30:00
NOK,75.85,73.5,76.45,76.82,76.47,2021.05.29 05:30:00
NOK,75.85,73.5,76.45,76.82,76.47,2021.05.29 04:46:20
NOK,75.97,73.63,76.59,76.95,76.47,2021.05.29 00:00:05
NOK,75.97,73.63,76.59,76.95,76.47,2021.05.28 23:36:51
NOK,75.97,73.63,76.59,76.95,76.47,2021.05.28 23:36:51
NOK,75.97,73.63,76.59,76.95,76.47,2021.05.28 23:36:51
NOK,75.94,73.59,76.54,76.91,76.47,2021.05.28 23:07:15
NOK,75.96,73.62,76.58,76.94,76.47,2021.05.28 22:43:05
NOK,76.06,73.72,76.68,77.04,76.47,2021.05.28 22:13:15
NOK,76.02,73.68,76.64,77,76.47,2021.05.28 21:55:33
NOK,75.9,73.55,76.5,76.87,76.47,2021.05.28 21:33:51
NOK,75.84,73.49,76.44,76.81,76.47,2021.05.28 21:29:53
NOK,75.77,73.43,76.37,76.74,76.47,2021.05.28 21:07:56
NOK,75.73,73.39,76.33,76.7,76.47,2021.05.28 20:55:26
NOK,75.75,73.41,76.35,76.72,76.47,2021.05.28 20:22:00
NOK,75.73,73.39,76.33,76.7,76.47,2021.05.28 20:15:55
NOK,75.7,73.36,76.3,76.67,76.47,2021.05.28 20:13:36
NOK,75.69,73.35,76.29,76.66,76.47,2021.05.28 20:10:29
NOK,75.68,73.34,76.28,76.65,76.47,2021.05.28 20:10:19
NOK,75.75,73.41,76.35,76.72,76.47,2021.05.28 20:01:20
NOK,75.76,73.42,76.36,76.73,76.47,2021.05.28 19:52:08
NOK,75.76,73.42,76.36,76.73,76.47,2021.05.28 19:47:02
NOK,75.75,73.41,76.35,76.72,76.47,2021.05.28 19:43:05
NOK,75.74,73.4,76.34,76.71,76.47,2021.05.28 19:34:17
NOK,75.9,73.55,76.5,76.87,76.47,2021.05.28 19:19:38
