CurrencyName,BuyingRate,CashBuyingRate,SellingRate,CashSellingRate,MiddleRate,PubTime
NZD,460,445.81,463.24,469.61,464.85,2021.05.29 10:30:00
NZD,460,445.81,463.24,469.61,464.85,2021.05.29 10:30:00
NZD,460,445.81,463.24,469.61,464.85,2021.05.29 05:30:00
NZD,460,445.81,463.24,469.61,464.85,2021.05.29 05:30:00
NZD,460,445.81,463.24,469.61,464.85,2021.05.29 05:30:00
NZD,460,445.81,463.24,469.61,464.85,2021.05.29 04:46:20
NZD,460.19,445.99,463.43,469.8,464.85,2021.05.29 00:00:05
NZD,460.19,445.99,463.43,469.8,464.85,2021.05.28 23:36:51
NZD,460.19,445.99,463.43,469.8,464.85,2021.05.28 23:36:51
NZD,460.19,445.99,463.43,469.8,464.85,2021.05.28 23:36:51
NZD,459.93,445.74,463.17,469.53,464.85,2021.05.28 23:07:15
NZD,460.38,446.18,463.62,469.99,464.85,2021.05.28 22:43:05
NZD,460.52,446.31,463.76,470.14,464.85,2021.05.28 22:13:15
NZD,460.01,445.82,463.25,469.62,464.85,2021.05.28 21:55:33
NZD,459.13,444.96,462.35,468.71,464.85,2021.05.28 21:33:51
NZD,458.44,444.29,461.66,468.01,464.85,2021.05.28 21:29:53
NZD,459.15,444.98,462.37,468.73,464.85,2021.05.28 21:07:56
NZD,458.2,444.06,461.42,467.76,464.85,2021.05.28 20:55:26
NZD,458.7,444.54,461.92,468.27,464.85,2021.05.28 20:22:00
NZD,458.72,444.56,461.94,468.29,464.85,2021.05.28 20:15:55
NZD,458.58,444.43,461.8,468.15,464.85,2021.05.28 20:13:36
NZD,458.51,444.36,461.73,468.08,464.85,2021.05.28 20:10:29
NZD,458.5,444.35,461.72,468.07,464.85,2021.05.28 20:10:19
NZD,458.75,444.59,461.97,468.32,464.85,2021.05.28 20:01:20
NZD,458.55,444.4,461.77,468.12,464.85,2021.05.28 19:52:08
NZD,458.48,444.33,461.7,468.05,464.85,2021.05.28 19:47:02
NZD,458.72,444.56,461.94,468.29,464.85,2021.05.28 19:43:05
NZD,458.84,444.68,462.06,468.42,464.85,2021.05.28 19:34:17
NZD,458.96,444.8,462.18,468.54,464.85,2021.05.28 19:19:38
NZD,459.78,445.59,463,469.37,464.85,2021.05.28 18:54:14
NZD,459.77,445.58,462.99,469.36,464.85,2021.05.28 18:49:27
NZD,460.01,445.82,463.25,469.62,464.85,2021.05.28 18:38:49
NZD,459.87,445.68,463.11,469.47,464.85,2021.05.28 18:31:46
NZD,460.14,445.94,463.38,469.75,464.85,2021.05.28 18:24:38
