CurrencyName,BuyingRate,CashBuyingRate,SellingRate,CashSellingRate,MiddleRate,PubTime
SEK,76.35,74,76.97,77.33,77.11,2021.05.29 10:30:00
SEK,76.35,74,76.97,77.33,77.11,2021.05.29 10:30:00
SEK,76.35,74,76.97,77.33,77.11,2021.05.29 05:30:00
SEK,76.35,74,76.97,77.33,77.11,2021.05.29 05:30:00
SEK,76.35,74,76.97,77.33,77.11,2021.05.29 05:30:00
SEK,76.35,74,76.97,77.33,77.11,2021.05.29 04:46:20
SEK,76.4,74.04,77.02,77.39,77.11,2021.05.29 00:00:05
SEK,76.4,74.04,77.02,77.39,77.11,2021.05.28 23:36:51
SEK,76.4,74.04,77.02,77.39,77.11,2021.05.28 23:36:51
SEK,76.4,74.04,77.02,77.39,77.11,2021.05.28 23:36:51
SEK,76.24,73.89,76.86,77.22,77.11,2021.05.28 23:07:15
SEK,76.29,73.94,76.91,77.27,77.11,2021.05.28 22:43:05
SEK,76.31,73.96,76.93,77.29,77.11,2021.05.28 22:13:15
SEK,76.28,73.93,76.9,77.26,77.11,2021.05.28 21:55:33
SEK,76.22,73.87,76.84,77.2,77.11,2021.05.28 21:33:51
SEK,76.18,73.83,76.8,77.16,77.11,2021.05.28 21:29:53
SEK,76.12,73.77,76.74,77.1,77.11,2021.05.28 21:07:56
SEK,76.11,73.76,76.73,77.09,77.11,2021.05.28 20:55:26
SEK,76.1,73.75,76.72,77.08,77.11,2021.05.28 20:22:00
SEK,76.13,73.78,76.75,77.11,77.11,2021.05.28 20:15:55
SEK,76.12,73.77,76.74,77.1,77.11,2021.05.28 20:13:36
SEK,76.11,73.76,76.73,77.09,77.11,2021.05.28 20:10:29
SEK,76.1,73.75,76.72,77.08,77.11,2021.05.28 20:10:19
SEK,76.19,73.84,76.81,77.17,77.11,2021.05.28 20:01:20
SEK,76.17,73.82,76.79,77.15,77.11,2021.05.28 19:52:08
SEK,76.19,73.84,76.81,77.17,77.11,2021.05.28 19:47:02
SEK,76.2,73.85,76.82,77.18,77.11,2021.05.28 19:43:05
SEK,76.18,73.83,76.8,77.16,77.11,2021.05.28 19:34:17
SEK,76.27,73.92,76.89,77.25,77.11,2021.05.28 19:19:38
SEK,76.27,73.92,76.89,77.25,77.11,2021.05.28 18:54:14
SEK,76.24,73.89,76.86,77.22,77.11,2021.05.28 18:49:27
SEK,76.3,73.95,76.92,77.28,77.11,2021.05.28 18:38:49
SEK,76.29,73.94,76.91,77.27,77.11,2021.05.28 18:31:46
SEK,76.34,73.99,76.96,77.32,77.11,2021.05.28 18:24:38
SEK,76.36,74.01,76.98,77.34,77.11,2021.05.28 18:01:20
SEK,76.37,74.02,76.99,77.35,77.11,2021.05.28 18:00:07
SEK,76.36,74.01,76.98,77.34,77.11,2021.05.28 17:45:36
SEK,76.34,73.99,76.96,77.32,77.11,2021.05.28 17:38:35
SEK,76.4,74.04,77.02,77.39,77.11,2021.05.28 17:32:45
SEK,76.41,74.05,77.03,77.4,77.11,2021.05.28 17:31:07
