CurrencyName,BuyingRate,CashBuyingRate,SellingRate,CashSellingRate,MiddleRate,PubTime
SGD,479.65,464.84,483.01,485.42,481.89,2021.05.29 10:30:00
SGD,479.65,464.84,483.01,485.42,481.89,2021.05.29 10:30:00
SGD,479.65,464.84,483.01,485.42,481.89,2021.05.29 05:30:00
SGD,479.65,464.84,483.01,485.42,481.89,2021.05.29 05:30:00
SGD,479.65,464.84,483.01,485.42,481.89,2021.05.29 05:30:00
SGD,479.65,464.84,483.01,485.42,481.89,2021.05.29 04:46:20
SGD,479.72,464.91,483.08,485.49,481.89,2021.05.29 00:00:05
SGD,479.72,464.91,483.08,485.49,481.89,2021.05.28 23:36:51
SGD,479.72,464.91,483.08,485.49,481.89,2021.05.28 23:36:51
SGD,479.72,464.91,483.08,485.49,481.89,2021.05.28 23:36:51
SGD,479.61,464.81,482.97,485.38,481.89,2021.05.28 23:07:15
SGD,479.5,464.7,482.86,485.27,481.89,2021.05.28 22:43:05
SGD,479.66,464.85,483.02,485.43,481.89,2021.05.28 22:13:15
SGD,479.47,464.67,482.83,485.24,481.89,2021.05.28 21:55:33
SGD,479.22,464.43,482.58,484.99,481.89,2021.05.28 21:33:51
SGD,479.08,464.29,482.44,484.85,481.89,2021.05.28 21:29:53
SGD,479.19,464.4,482.55,484.96,481.89,2021.05.28 21:07:56
SGD,478.97,464.19,482.33,484.74,481.89,2021.05.28 20:55:26
SGD,478.94,464.16,482.3,484.71,481.89,2021.05.28 20:22:00
SGD,478.94,464.16,482.3,484.71,481.89,2021.05.28 20:15:55
SGD,478.87,464.09,482.23,484.63,481.89,2021.05.28 20:13:36
SGD,478.97,464.19,482.33,484.74,481.89,2021.05.28 20:10:29
SGD,478.9,464.12,482.26,484.66,481.89,2021.05.28 20:10:19
SGD,479,464.22,482.36,484.77,481.89,2021.05.28 20:01:20
SGD,479,464.22,482.36,484.77,481.89,2021.05.28 19:52:08
SGD,478.96,464.18,482.32,484.73,481.89,2021.05.28 19:47:02
SGD,478.92,464.14,482.28,484.69,481.89,2021.05.28 19:43:05
SGD,478.88,464.1,482.24,484.64,481.89,2021.05.28 19:34:17
SGD,478.99,464.21,482.35,484.76,481.89,2021.05.28 19:19:38
SGD,479.17,464.38,482.53,484.94,481.89,2021.05.28 18:54:14
SGD,479.13,464.34,482.49,484.9,481.89,2021.05.28 18:49:27
SGD,479.12,464.33,482.48,484.89,481.89,2021.05.28 18:38:49
SGD,479.08,464.29,482.44,484.85,481.89,2021.05.28 18:31:46
SGD,479.27,464.48,482.63,485.04,481.89,2021.05.28 18:24:38
SGD,479.24,464.45,482.6,485.01,481.89,2021.05.28 18:01:20
SGD,479.17,464.38,482.53,484.94,481.89,2021.05.28 18:00:07
SGD,479.24,464.45,482.6,485.01,481.89,2021.05.28 17:45:36
SGD,479.17,464.38,482.53,484.94,481.89,2021.05.28 17:38:35
SGD,479.2,464.41,482.56,484.97,481.89,2021.05.28 17:32:45
SGD,479.2,464.41,482.56,484.97,481.89,2021.05.28 17:31:07
SGD,479.13,464.34,482.49,484.9,481.89,2021.05.28 17:29:44
SGD,479.09,464.3,482.45,484.86,481.89,2021.05.28 17:29:30
SGD,478.98,464.2,482.34,484.75,481.89,2021.05.28 17:28:35
SGD,478.94,464.16,482.3,484.71,481.89,2021.05.28 17:19:41
SGD,479.09,464.3,482.45,484.86,481.89,2021.05.28 17:12:49
SGD,479.16,464.37,482.52,484.93,481.89,2021.05.28 17:11:15
SGD,479.05,464.26,482.41,484.82,481.89,2021.05.28 17:09:23
SGD,479.05,464.26,482.41,484.82,481.89,2021.05.28 17:03:58
SGD,479.05,464.26,482.41,484.82,481.89,2021.05.28 17:01:47
SGD,479.05,464.26,482.41,484.82,481.89,2021.05.28 16:59:49
SGD,479.09,464.3,482.45,484.86,481.89,2021.05.28 16:59:02
SGD,479.05,464.26,482.41,484.82,481.89,2021.05.28 16:56:22
SGD,479.12,464.33,482.48,484.89,481.89,2021.05.28 16:47:36
SGD,479.16,464.37,482.52,484.93,481.89,2021.05.28 16:41:49
SGD,479.05,464.26,482.41,484.82,481.89,2021.05.28 16:39:38
SGD,479.12,464.33,482.48,484.89,481.89,2021.05.28 16:37:22
SGD,479.2,464.41,482.56,484.97,481.89,2021.05.28 16:32:33
SGD,479.12,464.33,482.48,484.89,481.89,2021.05.28 16:31:33
SGD,479.16,464.37,482.52,484.93,481.89,2021.05.28 16:30:57
SGD,479.2,464.41,482.56,484.97,481.89,2021.05.28 16:30:12
SGD,479.2,464.41,482.56,484.97,481.89,2021.05.28 16:27:52
SGD,479.35,464.55,482.71,485.12,481.89,2021.05.28 16:24:04
SGD,479.35,464.55,482.71,485.12,481.89,2021.05.28 16:21:33
SGD,479.38,464.58,482.74,485.15,481.89,2021.05.28 16:20:05
SGD,479.38,464.58,482.74,485.15,481.89,2021.05.28 16:17:04
SGD,479.42,464.62,482.78,485.19,481.89,2021.05.28 16:16:13
SGD,479.42,464.62,482.78,485.19,481.89,2021.05.28 16:14:10
SGD,479.38,464.58,482.74,485.15,481.89,2021.05.28 16:12:51
SGD,479.39,464.59,482.75,485.16,481.89,2021.05.28 16:08:00
SGD,479.46,464.66,482.82,485.23,481.89,2021.05.28 16:07:32
SGD,479.5,464.7,482.86,485.27,481.89,2021.05.28 16:04:52
SGD,479.54,464.74,482.9,485.31,481.89,2021.05.28 16:02:47
SGD,479.58,464.78,482.94,485.35,481.89,2021.05.28 16:01:05
SGD,479.47,464.67,482.83,485.24,481.89,2021.05.28 16:00:01
SGD,479.5,464.7,482.86,485.27,481.89,2021.05.28 15:59:48
SGD,479.65,464.84,483.01,485.42,481.89,2021.05.28 15:58:32
SGD,479.73,464.92,483.09,485.5,481.89,2021.05.28 15:53:20
SGD,479.76,464.96,483.14,485.54,481.89,2021.05.28 15:50:04
SGD,479.76,464.96,483.14,485.54,481.89,2021.05.28 15:48:11
SGD,479.79,464.99,483.17,485.57,481.89,2021.05.28 15:47:50
SGD,479.8,465,483.18,485.58,481.89,2021.05.28 15:39:19
SGD,479.76,464.96,483.14,485.54,481.89,2021.05.28 15:37:49
SGD,479.76,464.96,483.14,485.54,481.89,2021.05.28 15:36:09
SGD,479.8,465,483.18,485.58,481.89,2021.05.28 15:35:40
SGD,479.76,464.96,483.14,485.54,481.89,2021.05.28 15:32:15
SGD,479.8,465,483.18,485.58,481.89,2021.05.28 15:30:09
SGD,479.74,464.93,483.1,485.51,481.89,2021.05.28 15:26:31
SGD,479.63,464.83,482.99,485.4,481.89,2021.05.28 15:23:10
SGD,479.7,464.89,483.06,485.47,481.89,2021.05.28 15:22:48
SGD,479.76,464.96,483.14,485.54,481.89,2021.05.28 15:21:18
SGD,479.66,464.85,483.02,485.43,481.89,2021.05.28 15:18:05
SGD,479.7,464.89,483.06,485.47,481.89,2021.05.28 15:16:09
SGD,479.59,464.79,482.95,485.36,481.89,2021.05.28 15:15:40
SGD,479.62,464.82,482.98,485.39,481.89,2021.05.28 15:14:46
SGD,479.59,464.79,482.95,485.36,481.89,2021.05.28 15:12:49
SGD,479.55,464.75,482.91,485.32,481.89,2021.05.28 15:09:26
SGD,479.59,464.79,482.95,485.36,481.89,2021.05.28 15:08:17
SGD,479.59,464.79,482.95,485.36,481.89,2021.05.28 15:06:07
SGD,479.51,464.71,482.87,485.28,481.89,2021.05.28 15:03:14
SGD,479.55,464.75,482.91,485.32,481.89,2021.05.28 15:00:59
SGD,479.51,464.71,482.87,485.28,481.89,2021.05.28 15:00:09
SGD,479.51,464.71,482.87,485.28,481.89,2021.05.28 14:58:40
SGD,479.52,464.72,482.88,485.29,481.89,2021.05.28 14:56:40
SGD,479.52,464.72,482.88,485.29,481.89,2021.05.28 14:53:46
SGD,479.48,464.68,482.84,485.25,481.89,2021.05.28 14:49:18
SGD,479.48,464.68,482.84,485.25,481.89,2021.05.28 14:44:50
SGD,479.48,464.68,482.84,485.25,481.89,2021.05.28 14:43:29
SGD,479.48,464.68,482.84,485.25,481.89,2021.05.28 14:36:18
SGD,479.51,464.71,482.87,485.28,481.89,2021.05.28 14:35:42
SGD,479.52,464.72,482.88,485.29,481.89,2021.05.28 14:30:34
SGD,479.41,464.61,482.77,485.18,481.89,2021.05.28 14:25:35
SGD,479.37,464.57,482.73,485.14,481.89,2021.05.28 14:22:48
SGD,479.3,464.51,482.66,485.07,481.89,2021.05.28 14:19:26
SGD,479.33,464.54,482.69,485.1,481.89,2021.05.28 14:17:54
SGD,479.3,464.51,482.66,485.07,481.89,2021.05.28 14:14:29
SGD,479.37,464.57,482.73,485.14,481.89,2021.05.28 14:12:15
SGD,479.33,464.54,482.69,485.1,481.89,2021.05.28 14:11:38
SGD,479.33,464.54,482.69,485.1,481.89,2021.05.28 14:10:52
SGD,479.33,464.54,482.69,485.1,481.89,2021.05.28 14:05:23
SGD,479.26,464.47,482.62,485.03,481.89,2021.05.28 14:01:46
SGD,479.26,464.47,482.62,485.03,481.89,2021.05.28 14:01:04
SGD,479.22,464.43,482.58,484.99,481.89,2021.05.28 13:55:10
SGD,479.22,464.43,482.58,484.99,481.89,2021.05.28 13:53:32
SGD,479.11,464.32,482.47,484.88,481.89,2021.05.28 13:44:22
SGD,479.07,464.28,482.43,484.84,481.89,2021.05.28 13:43:47
SGD,479.1,464.31,482.46,484.87,481.89,2021.05.28 13:42:45
SGD,479.1,464.31,482.46,484.87,481.89,2021.05.28 13:42:17
SGD,479.14,464.35,482.5,484.91,481.89,2021.05.28 13:42:11
SGD,479.06,464.27,482.42,484.83,481.89,2021.05.28 13:32:59
SGD,479.06,464.27,482.42,484.83,481.89,2021.05.28 13:22:38
SGD,479.28,464.49,482.64,485.05,481.89,2021.05.28 12:22:17
SGD,479.36,464.56,482.72,485.13,481.89,2021.05.28 12:13:40
SGD,479.43,464.63,482.79,485.2,481.89,2021.05.28 12:12:26
SGD,479.39,464.59,482.75,485.16,481.89,2021.05.28 12:06:00
SGD,479.43,464.63,482.79,485.2,481.89,2021.05.28 12:05:08
SGD,479.51,464.71,482.87,485.28,481.89,2021.05.28 11:59:25
SGD,479.54,464.74,482.9,485.31,481.89,2021.05.28 11:56:01
SGD,479.54,464.74,482.9,485.31,481.89,2021.05.28 11:53:03
SGD,479.5,464.7,482.86,485.27,481.89,2021.05.28 11:49:16
SGD,479.51,464.71,482.87,485.28,481.89,2021.05.28 11:46:59
SGD,479.51,464.71,482.87,485.28,481.89,2021.05.28 11:41:23
SGD,479.51,464.71,482.87,485.28,481.89,2021.05.28 11:34:55
SGD,479.51,464.71,482.87,485.28,481.89,2021.05.28 11:29:31
SGD,479.55,464.75,482.91,485.32,481.89,2021.05.28 11:21:30
SGD,479.59,464.79,482.95,485.36,481.89,2021.05.28 11:18:16
SGD,479.62,464.82,482.98,485.39,481.89,2021.05.28 11:15:44
SGD,479.66,464.85,483.02,485.43,481.89,2021.05.28 11:11:46
SGD,479.7,464.89,483.06,485.47,481.89,2021.05.28 11:00:54
SGD,479.7,464.89,483.06,485.47,481.89,2021.05.28 10:57:15
SGD,479.74,464.93,483.1,485.51,481.89,2021.05.28 10:52:15
SGD,479.77,464.97,483.15,485.55,481.89,2021.05.28 10:46:15
SGD,479.8,465,483.18,485.58,481.89,2021.05.28 10:40:39
SGD,479.81,465.01,483.19,485.59,481.89,2021.05.28 10:35:42
SGD,479.84,465.04,483.22,485.62,481.89,2021.05.28 10:31:16
SGD,479.8,465,483.18,485.58,481.89,2021.05.28 10:30:00
SGD,479.84,465.04,483.22,485.62,481.89,2021.05.28 10:30:12
SGD,479.8,465,483.18,485.58,481.89,2021.05.28 10:30:00
SGD,479.8,465,483.18,485.58,481.89,2021.05.28 10:30:00
SGD,479.8,465,483.18,485.58,481.89,2021.05.28 10:20:48
SGD,479.74,464.93,483.1,485.51,481.89,2021.05.28 10:18:51
SGD,479.63,464.83,482.99,485.4,481.89,2021.05.28 10:17:02
SGD,479.67,464.86,483.03,485.44,481.89,2021.05.28 10:11:58
SGD,479.67,464.86,483.03,485.44,481.89,2021.05.28 10:11:58
SGD,479.67,464.86,483.03,485.44,481.89,2021.05.28 10:10:34
SGD,479.7,464.89,483.06,485.47,481.89,2021.05.28 10:10:15
SGD,479.7,464.89,483.06,485.47,481.89,2021.05.28 10:10:15
SGD,479.7,464.89,483.06,485.47,481.89,2021.05.28 10:10:03
SGD,479.7,464.89,483.06,485.47,481.89,2021.05.28 09:57:22
SGD,479.77,464.97,483.15,485.55,481.89,2021.05.28 09:52:30
SGD,479.77,464.97,483.15,485.55,481.89,2021.05.28 09:50:01
SGD,479.84,465.04,483.22,485.62,481.89,2021.05.28 09:48:15
SGD,479.91,465.11,483.29,485.69,481.89,2021.05.28 09:42:18
SGD,479.84,465.04,483.22,485.62,481.89,2021.05.28 09:41:30
SGD,479.77,464.97,483.15,485.55,481.89,2021.05.28 09:40:48
SGD,479.77,464.97,483.15,485.55,481.89,2021.05.28 09:38:50
SGD,479.81,465.01,483.19,485.59,481.89,2021.05.28 09:38:29
SGD,479.77,464.97,483.15,485.55,481.89,2021.05.28 09:36:19
SGD,479.81,465.01,483.19,485.59,481.89,2021.05.28 09:35:42
SGD,479.89,465.09,483.27,485.67,481.89,2021.05.28 09:34:00
SGD,479.96,465.15,483.34,485.74,481.89,2021.05.28 09:33:00
SGD,479.96,465.15,483.34,485.74,481.89,2021.05.28 09:32:31
SGD,480.04,465.23,483.42,485.82,481.89,2021.05.28 09:32:00
SGD,479.97,465.16,483.35,485.75,481.89,2021.05.28 09:31:51
SGD,479.93,465.12,483.31,485.71,481.89,2021.05.28 09:19:30
SGD,479.93,465.12,483.31,485.71,481.89,2021.05.28 09:19:18
SGD,479.89,465.09,483.27,485.67,483.22,2021.05.28 09:18:29
SGD,479.86,465.06,483.24,485.64,483.22,2021.05.28 09:10:21
SGD,479.86,465.06,483.24,485.64,483.22,2021.05.28 08:58:35
SGD,479.93,465.12,483.31,485.71,483.22,2021.05.28 08:27:06
SGD,479.93,465.12,483.31,485.71,483.22,2021.05.28 07:41:26
SGD,480,465.19,483.38,485.78,483.22,2021.05.28 07:33:22
SGD,479.97,465.16,483.35,485.75,483.22,2021.05.28 07:30:49
SGD,479.97,465.16,483.35,485.75,483.22,2021.05.28 07:24:36
SGD,479.97,465.16,483.35,485.75,483.22,2021.05.28 06:50:09
SGD,479.86,465.06,483.24,485.64,483.22,2021.05.28 05:30:00
SGD,479.86,465.06,483.24,485.64,483.22,2021.05.28 05:30:00
SGD,479.86,465.06,483.24,485.64,483.22,2021.05.28 05:30:00
SGD,479.86,465.06,483.24,485.64,483.22,2021.05.28 00:00:05
SGD,479.86,465.06,483.24,485.64,483.22,2021.05.27 23:34:24
SGD,479.86,465.06,483.24,485.64,483.22,2021.05.27 23:34:24
SGD,479.86,465.06,483.24,485.64,483.22,2021.05.27 23:34:24
SGD,480.11,465.3,483.49,485.9,483.22,2021.05.27 23:19:31
SGD,480.26,465.44,483.64,486.05,483.22,2021.05.27 23:00:08
SGD,480.26,465.44,483.64,486.05,483.22,2021.05.27 22:43:02
SGD,480.08,465.27,483.46,485.87,483.22,2021.05.27 21:45:57
SGD,480.18,465.37,483.56,485.97,483.22,2021.05.27 21:31:11
SGD,480.26,465.44,483.64,486.05,483.22,2021.05.27 21:12:02
SGD,480.26,465.44,483.64,486.05,483.22,2021.05.27 21:08:35
SGD,480.15,465.34,483.53,485.94,483.22,2021.05.27 21:06:13
SGD,480.15,465.34,483.53,485.94,483.22,2021.05.27 20:51:22
SGD,480.15,465.34,483.53,485.94,483.22,2021.05.27 20:51:16
