CurrencyName,BuyingRate,CashBuyingRate,SellingRate,CashSellingRate,MiddleRate,PubTime
THB,20.3,19.67,20.46,21.11,20.41,2021.05.29 10:30:00
THB,20.3,19.67,20.46,21.11,20.41,2021.05.29 10:30:00
THB,20.3,19.67,20.46,21.11,20.41,2021.05.29 05:30:00
THB,20.3,19.67,20.46,21.11,20.41,2021.05.29 05:30:00
THB,20.3,19.67,20.46,21.11,20.41,2021.05.29 05:30:00
THB,20.3,19.67,20.46,21.11,20.41,2021.05.29 04:46:20
THB,20.3,19.67,20.46,21.11,20.41,2021.05.29 00:00:05
THB,20.3,19.67,20.46,21.11,20.41,2021.05.28 23:36:51
THB,20.3,19.67,20.46,21.11,20.41,2021.05.28 23:36:51
THB,20.3,19.67,20.46,21.11,20.41,2021.05.28 23:36:51
THB,20.3,19.67,20.46,21.11,20.41,2021.05.28 23:07:15
THB,20.29,19.66,20.45,21.1,20.41,2021.05.28 22:43:05
THB,20.29,19.66,20.45,21.1,20.41,2021.05.28 22:13:15
THB,20.29,19.66,20.45,21.1,20.41,2021.05.28 21:55:33
THB,20.28,19.65,20.44,21.09,20.41,2021.05.28 21:33:51
THB,20.29,19.66,20.45,21.1,20.41,2021.05.28 21:29:53
THB,20.28,19.65,20.44,21.09,20.41,2021.05.28 21:07:56
THB,20.29,19.66,20.45,21.1,20.41,2021.05.28 20:55:26
THB,20.28,19.65,20.44,21.09,20.41,2021.05.28 20:22:00
THB,20.28,19.65,20.44,21.09,20.41,2021.05.28 20:15:55
THB,20.28,19.65,20.44,21.09,20.41,2021.05.28 20:13:36
THB,20.29,19.66,20.45,21.1,20.41,2021.05.28 20:10:29
THB,20.28,19.65,20.44,21.09,20.41,2021.05.28 20:10:19
THB,20.28,19.65,20.44,21.09,20.41,2021.05.28 20:01:20
THB,20.28,19.65,20.44,21.09,20.41,2021.05.28 19:52:08
THB,20.28,19.65,20.44,21.09,20.41,2021.05.28 19:47:02
THB,20.28,19.65,20.44,21.09,20.41,2021.05.28 19:43:05
THB,20.27,19.64,20.43,21.08,20.41,2021.05.28 19:34:17
THB,20.27,19.64,20.43,21.08,20.41,2021.05.28 19:19:38
THB,20.27,19.64,20.43,21.08,20.41,2021.05.28 18:54:14
THB,20.27,19.64,20.43,21.08,20.41,2021.05.28 18:49:27
THB,20.28,19.65,20.44,21.09,20.41,2021.05.28 18:38:49
THB,20.27,19.64,20.43,21.08,20.41,2021.05.28 18:31:46
THB,20.28,19.65,20.44,21.09,20.41,2021.05.28 18:24:38
THB,20.28,19.65,20.44,21.09,20.41,2021.05.28 18:01:20
THB,20.28,19.65,20.44,21.09,20.41,2021.05.28 18:00:07
THB,20.29,19.66,20.45,21.1,20.41,2021.05.28 17:45:36
THB,20.28,19.65,20.44,21.09,20.41,2021.05.28 17:38:35
THB,20.28,19.65,20.44,21.09,20.41,2021.05.28 17:32:45
THB,20.28,19.65,20.44,21.09,20.41,2021.05.28 17:31:07
THB,20.28,19.65,20.44,21.09,20.41,2021.05.28 17:29:44
THB,20.28,19.65,20.44,21.09,20.41,2021.05.28 17:29:30
THB,20.27,19.64,20.43,21.08,20.41,2021.05.28 17:28:35
THB,20.27,19.64,20.43,21.08,20.41,2021.05.28 17:19:41
THB,20.28,19.65,20.44,21.09,20.41,2021.05.28 17:12:49
THB,20.28,19.65,20.44,21.09,20.41,2021.05.28 17:11:15
THB,20.27,19.64,20.43,21.08,20.41,2021.05.28 17:09:23
THB,20.27,19.64,20.43,21.08,20.41,2021.05.28 17:03:58
THB,20.27,19.64,20.43,21.08,20.41,2021.05.28 17:01:47
THB,20.27,19.64,20.43,21.08,20.41,2021.05.28 16:59:49
THB,20.27,19.64,20.43,21.08,20.41,2021.05.28 16:59:02
THB,20.26,19.63,20.42,21.07,20.41,2021.05.28 16:56:22
THB,20.26,19.63,20.42,21.07,20.41,2021.05.28 16:47:36
THB,20.26,19.63,20.42,21.07,20.41,2021.05.28 16:41:49
THB,20.26,19.63,20.42,21.07,20.41,2021.05.28 16:39:38
THB,20.26,19.63,20.42,21.07,20.41,2021.05.28 16:37:22
THB,20.27,19.64,20.43,21.08,20.41,2021.05.28 16:32:33
THB,20.27,19.64,20.43,21.08,20.41,2021.05.28 16:31:33
THB,20.27,19.64,20.43,21.08,20.41,2021.05.28 16:30:57
THB,20.27,19.64,20.43,21.08,20.41,2021.05.28 16:30:12
THB,20.27,19.64,20.43,21.08,20.41,2021.05.28 16:27:52
THB,20.28,19.65,20.44,21.09,20.41,2021.05.28 16:24:04
THB,20.28,19.65,20.44,21.09,20.41,2021.05.28 16:21:33
THB,20.28,19.65,20.44,21.09,20.41,2021.05.28 16:20:05
THB,20.28,19.65,20.44,21.09,20.41,2021.05.28 16:17:04
