CurrencyName,BuyingRate,CashBuyingRate,SellingRate,CashSellingRate,MiddleRate,PubTime
TRY,74.04,70.41,74.64,85.7,75.09,2021.05.29 10:30:00
TRY,74.04,70.41,74.64,85.7,75.09,2021.05.29 10:30:00
TRY,74.04,70.41,74.64,85.7,75.09,2021.05.29 05:30:00
TRY,74.04,70.41,74.64,85.7,75.09,2021.05.29 05:30:00
TRY,74.04,70.41,74.64,85.7,75.09,2021.05.29 05:30:00
TRY,74.04,70.41,74.64,85.7,75.09,2021.05.29 04:46:20
TRY,74.04,70.41,74.64,85.7,75.09,2021.05.29 00:00:05
TRY,74.04,70.41,74.64,85.7,75.09,2021.05.28 23:36:51
TRY,74.04,70.41,74.64,85.7,75.09,2021.05.28 23:36:51
TRY,74.04,70.41,74.64,85.7,75.09,2021.05.28 23:36:51
TRY,73.96,70.34,74.56,85.61,75.09,2021.05.28 23:07:15
TRY,73.91,70.29,74.51,85.55,75.09,2021.05.28 22:43:05
TRY,73.95,70.33,74.55,85.6,75.09,2021.05.28 22:13:15
TRY,73.91,70.29,74.51,85.55,75.09,2021.05.28 21:55:33
TRY,73.91,70.29,74.51,85.55,75.09,2021.05.28 21:33:51
TRY,73.85,70.23,74.45,85.48,75.09,2021.05.28 21:29:53
TRY,73.93,70.31,74.53,85.57,75.09,2021.05.28 21:07:56
TRY,73.72,70.11,74.32,85.33,75.09,2021.05.28 20:55:26
TRY,73.89,70.27,74.49,85.53,75.09,2021.05.28 20:22:00
TRY,73.83,70.22,74.43,85.46,75.09,2021.05.28 20:15:55
TRY,73.8,70.19,74.4,85.42,75.09,2021.05.28 20:13:36
TRY,73.95,70.33,74.55,85.6,75.09,2021.05.28 20:10:29
TRY,73.79,70.18,74.39,85.41,75.09,2021.05.28 20:10:19
TRY,73.85,70.23,74.45,85.48,75.09,2021.05.28 20:01:20
TRY,73.83,70.22,74.43,85.46,75.09,2021.05.28 19:52:08
TRY,73.83,70.22,74.43,85.46,75.09,2021.05.28 19:47:02
TRY,73.78,70.17,74.38,85.4,75.09,2021.05.28 19:43:05
TRY,73.88,70.26,74.48,85.51,75.09,2021.05.28 19:34:17
TRY,73.94,70.32,74.54,85.58,75.09,2021.05.28 19:19:38
TRY,73.94,70.32,74.54,85.58,75.09,2021.05.28 18:54:14
TRY,73.93,70.31,74.53,85.57,75.09,2021.05.28 18:49:27
TRY,73.9,70.28,74.5,85.54,75.09,2021.05.28 18:38:49
TRY,73.89,70.27,74.49,85.53,75.09,2021.05.28 18:31:46
TRY,74.06,70.43,74.66,85.72,75.09,2021.05.28 18:24:38
TRY,73.95,70.33,74.55,85.6,75.09,2021.05.28 18:01:20
TRY,73.97,70.35,74.57,85.62,75.09,2021.05.28 18:00:07
TRY,74.02,70.4,74.62,85.68,75.09,2021.05.28 17:45:36
TRY,74.01,70.39,74.61,85.66,75.09,2021.05.28 17:38:35
TRY,74,70.38,74.6,85.65,75.09,2021.05.28 17:32:45
TRY,74.02,70.4,74.62,85.68,75.09,2021.05.28 17:31:07
TRY,74.02,70.4,74.62,85.68,75.09,2021.05.28 17:29:44
TRY,74,70.38,74.6,85.65,75.09,2021.05.28 17:29:30
TRY,74.01,70.39,74.61,85.66,75.09,2021.05.28 17:28:35
TRY,74,70.38,74.6,85.65,75.09,2021.05.28 17:19:41
TRY,74.06,70.43,74.66,85.72,75.09,2021.05.28 17:12:49
TRY,74.03,70.41,74.63,85.69,75.09,2021.05.28 17:11:15
TRY,73.99,70.37,74.59,85.64,75.09,2021.05.28 17:09:23
TRY,73.97,70.35,74.57,85.62,75.09,2021.05.28 17:03:58
TRY,74.12,70.49,74.72,85.79,75.09,2021.05.28 17:01:47
TRY,74.11,70.48,74.71,85.78,75.09,2021.05.28 16:59:49
TRY,74,70.38,74.6,85.65,75.09,2021.05.28 16:59:02
TRY,74,70.38,74.6,85.65,75.09,2021.05.28 16:56:22
TRY,73.98,70.36,74.58,85.63,75.09,2021.05.28 16:47:36
TRY,74.06,70.43,74.66,85.72,75.09,2021.05.28 16:41:49
TRY,74.03,70.41,74.63,85.69,75.09,2021.05.28 16:39:38
TRY,73.97,70.35,74.57,85.62,75.09,2021.05.28 16:37:22
TRY,74.04,70.41,74.64,85.7,75.09,2021.05.28 16:32:33
TRY,74.04,70.41,74.64,85.7,75.09,2021.05.28 16:31:33
TRY,74.03,70.41,74.63,85.69,75.09,2021.05.28 16:30:57
TRY,74.03,70.41,74.63,85.69,75.09,2021.05.28 16:30:12
TRY,74.07,70.44,74.67,85.73,75.09,2021.05.28 16:27:52
TRY,74.09,70.46,74.69,85.76,75.09,2021.05.28 16:24:04
TRY,74.1,70.47,74.7,85.77,75.09,2021.05.28 16:21:33
TRY,74.12,70.49,74.72,85.79,75.09,2021.05.28 16:20:05
