CurrencyName,BuyingRate,CashBuyingRate,SellingRate,CashSellingRate,MiddleRate,PubTime
USD,635.6,630.43,638.3,638.3,638.58,2021.05.29 10:30:00
USD,635.6,630.43,638.3,638.3,638.58,2021.05.29 10:30:00
USD,635.6,630.43,638.3,638.3,638.58,2021.05.29 05:30:00
USD,635.6,630.43,638.3,638.3,638.58,2021.05.29 05:30:00
USD,635.6,630.43,638.3,638.3,638.58,2021.05.29 05:30:00
USD,635.6,630.43,638.3,638.3,638.58,2021.05.29 04:46:20
USD,635.6,630.43,638.3,638.3,638.58,2021.05.29 00:00:05
USD,635.6,630.43,638.3,638.3,638.58,2021.05.28 23:36:51
USD,635.6,630.43,638.3,638.3,638.58,2021.05.28 23:36:51
USD,635.6,630.43,638.3,638.3,638.58,2021.05.28 23:36:51
USD,635.6,630.43,638.3,638.3,638.58,2021.05.28 23:07:15
USD,635.6,630.43,638.3,638.3,638.58,2021.05.28 22:43:05
USD,635.8,630.63,638.5,638.5,638.58,2021.05.28 22:13:15
USD,635.8,630.63,638.5,638.5,638.58,2021.05.28 21:55:33
USD,635.8,630.63,638.5,638.5,638.58,2021.05.28 21:33:51
USD,635.9,630.73,638.6,638.6,638.58,2021.05.28 21:29:53
USD,636,630.83,638.7,638.7,638.58,2021.05.28 21:07:56
USD,636.1,630.93,638.8,638.8,638.58,2021.05.28 20:55:26
USD,636,630.83,638.7,638.7,638.58,2021.05.28 20:22:00
USD,636.2,631.03,638.9,638.9,638.58,2021.05.28 20:15:55
USD,636.1,630.93,638.8,638.8,638.58,2021.05.28 20:13:36
USD,636,630.83,638.7,638.7,638.58,2021.05.28 20:10:29
USD,635.9,630.73,638.6,638.6,638.58,2021.05.28 20:10:19
USD,635.8,630.63,638.5,638.5,638.58,2021.05.28 20:01:20
USD,635.7,630.53,638.4,638.4,638.58,2021.05.28 19:52:08
USD,635.6,630.43,638.3,638.3,638.58,2021.05.28 19:47:02
USD,635.5,630.33,638.2,638.2,638.58,2021.05.28 19:43:05
USD,635.4,630.23,638.1,638.1,638.58,2021.05.28 19:34:17
USD,635.3,630.14,638,638,638.58,2021.05.28 19:19:38
USD,635.2,630.04,637.9,637.9,638.58,2021.05.28 18:54:14
USD,635.1,629.94,637.8,637.8,638.58,2021.05.28 18:49:27
USD,635,629.84,637.7,637.7,638.58,2021.05.28 18:38:49
USD,634.9,629.74,637.59,637.59,638.58,2021.05.28 18:31:46
USD,635.1,629.94,637.8,637.8,638.58,2021.05.28 18:24:38
USD,635.25,630.09,637.95,637.95,638.58,2021.05.28 18:01:20
USD,635.3,630.14,638,638,638.58,2021.05.28 18:00:07
