CurrencyName,BuyingRate,CashBuyingRate,SellingRate,CashSellingRate,MiddleRate,PubTime
ZAR,46.15,42.61,46.47,50.09,46.38,2021.05.29 10:30:00
ZAR,46.15,42.61,46.47,50.09,46.38,2021.05.29 10:30:00
ZAR,46.15,42.61,46.47,50.09,46.38,2021.05.29 05:30:00
ZAR,46.15,42.61,46.47,50.09,46.38,2021.05.29 05:30:00
ZAR,46.15,42.61,46.47,50.09,46.38,2021.05.29 05:30:00
ZAR,46.15,42.61,46.47,50.09,46.38,2021.05.29 04:46:20
ZAR,46.15,42.61,46.47,50.09,46.38,2021.05.29 00:00:05
ZAR,46.15,42.61,46.47,50.09,46.38,2021.05.28 23:36:51
ZAR,46.15,42.61,46.47,50.09,46.38,2021.05.28 23:36:51
ZAR,46.15,42.61,46.47,50.09,46.38,2021.05.28 23:36:51
ZAR,46.06,42.53,46.38,50,46.38,2021.05.28 23:07:15
ZAR,46.04,42.51,46.36,49.97,46.38,2021.05.28 22:43:05
ZAR,46.06,42.53,46.38,50,46.38,2021.05.28 22:13:15
ZAR,46.01,42.48,46.33,49.94,46.38,2021.05.28 21:55:33
ZAR,45.91,42.39,46.23,49.83,46.38,2021.05.28 21:33:51
ZAR,45.88,42.36,46.2,49.8,46.38,2021.05.28 21:29:53
ZAR,45.91,42.39,46.23,49.83,46.38,2021.05.28 21:07:56
ZAR,45.86,42.34,46.18,49.78,46.38,2021.05.28 20:55:26
ZAR,45.92,42.4,46.24,49.84,46.38,2021.05.28 20:22:00
ZAR,45.92,42.4,46.24,49.84,46.38,2021.05.28 20:15:55
ZAR,45.91,42.39,46.23,49.83,46.38,2021.05.28 20:13:36
ZAR,45.92,42.4,46.24,49.84,46.38,2021.05.28 20:10:29
ZAR,45.91,42.39,46.23,49.83,46.38,2021.05.28 20:10:19
ZAR,45.92,42.4,46.24,49.84,46.38,2021.05.28 20:01:20
ZAR,45.87,42.35,46.19,49.79,46.38,2021.05.28 19:52:08
ZAR,45.87,42.35,46.19,49.79,46.38,2021.05.28 19:47:02
ZAR,45.87,42.35,46.19,49.79,46.38,2021.05.28 19:43:05
ZAR,45.85,42.33,46.17,49.77,46.38,2021.05.28 19:34:17
ZAR,45.93,42.41,46.25,49.86,46.38,2021.05.28 19:19:38
ZAR,45.91,42.39,46.23,49.83,46.38,2021.05.28 18:54:14
ZAR,45.9,42.38,46.22,49.82,46.38,2021.05.28 18:49:27
ZAR,45.89,42.37,46.21,49.81,46.38,2021.05.28 18:38:49
ZAR,45.91,42.39,46.23,49.83,46.38,2021.05.28 18:31:46
ZAR,45.92,42.4,46.24,49.84,46.38,2021.05.28 18:24:38
ZAR,45.86,42.34,46.18,49.78,46.38,2021.05.28 18:01:20
ZAR,45.88,42.36,46.2,49.8,46.38,2021.05.28 18:00:07
ZAR,45.91,42.39,46.23,49.83,46.38,2021.05.28 17:45:36
ZAR,45.89,42.37,46.21,49.81,46.38,2021.05.28 17:38:35
ZAR,45.87,42.35,46.19,49.79,46.38,2021.05.28 17:32:45
ZAR,45.88,42.36,46.2,49.8,46.38,2021.05.28 17:31:07
ZAR,45.86,42.34,46.18,49.78,46.38,2021.05.28 17:29:44
ZAR,45.86,42.34,46.18,49.78,46.38,2021.05.28 17:29:30
ZAR,45.84,42.32,46.16,49.76,46.38,2021.05.28 17:28:35
ZAR,45.83,42.32,46.15,49.75,46.38,2021.05.28 17:19:41
ZAR,45.82,42.31,46.14,49.74,46.38,2021.05.28 17:12:49
ZAR,45.82,42.31,46.14,49.74,46.38,2021.05.28 17:11:15
ZAR,45.79,42.28,46.11,49.7,46.38,2021.05.28 17:09:23
ZAR,45.81,42.3,46.13,49.73,46.38,2021.05.28 17:03:58
ZAR,45.81,42.3,46.13,49.73,46.38,2021.05.28 17:01:47
ZAR,45.83,42.32,46.15,49.75,46.38,2021.05.28 16:59:49
ZAR,45.82,42.31,46.14,49.74,46.38,2021.05.28 16:59:02
ZAR,45.81,42.3,46.13,49.73,46.38,2021.05.28 16:56:22
ZAR,45.85,42.33,46.17,49.77,46.38,2021.05.28 16:47:36
ZAR,45.86,42.34,46.18,49.78,46.38,2021.05.28 16:41:49
ZAR,45.85,42.33,46.17,49.77,46.38,2021.05.28 16:39:38
ZAR,45.88,42.36,46.2,49.8,46.38,2021.05.28 16:37:22
ZAR,45.86,42.34,46.18,49.78,46.38,2021.05.28 16:32:33
ZAR,45.86,42.34,46.18,49.78,46.38,2021.05.28 16:31:33
